t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 368, 149, 366, 150, 368, 149, 361, 150, 379, 150, 371, 
10, 150, 369, 149, 366, 150, 369, 150, 360, 149, 376, 150, 370, 
15, 150, 370, 149, 367, 149, 368, 150, 359, 150, 378, 150, 368, 
20, 150, 372, 150, 367, 149, 368, 150, 361, 149, 379, 150, 370, 
25, 150, 374, 149, 366, 150, 369, 149, 359, 150, 378, 149, 369, 
30, 150, 374, 149, 365, 149, 369, 149, 359, 150, 378, 150, 368, 
35, 150, 372, 149, 363, 149, 368, 149, 358, 149, 377, 150, 368, 
40, 150, 372, 149, 362, 149, 366, 149, 359, 150, 377, 150, 368, 
45, 149, 371, 149, 361, 150, 366, 149, 358, 150, 376, 150, 367, 
50, 149, 366, 149, 358, 150, 364, 149, 357, 149, 374, 150, 365, 
55, 150, 363, 149, 359, 150, 360, 149, 356, 150, 373, 150, 364, 
60, 149, 360, 150, 357, 149, 363, 150, 355, 150, 372, 150, 365, 
65, 149, 356, 149, 355, 150, 361, 150, 356, 149, 371, 150, 363, 
70, 150, 354, 149, 355, 149, 359, 149, 354, 149, 369, 150, 363, 
75, 150, 353, 149, 355, 150, 360, 150, 354, 149, 368, 150, 363, 
80, 150, 352, 150, 355, 150, 359, 149, 349, 149, 367, 150, 361, 
85, 150, 350, 150, 353, 149, 356, 150, 352, 150, 369, 150, 362, 
90, 150, 351, 150, 352, 150, 357, 149, 349, 150, 367, 149, 362, 
95, 150, 350, 150, 352, 149, 355, 150, 350, 150, 365, 150, 361, 
100, 150, 348, 149, 350, 150, 355, 150, 349, 149, 365, 150, 362, 
105, 150, 349, 150, 350, 149, 354, 150, 346, 150, 362, 149, 359, 
110, 150, 348, 149, 350, 150, 352, 150, 346, 149, 363, 149, 360, 
115, 150, 348, 149, 349, 150, 353, 150, 346, 150, 363, 150, 361, 
120, 150, 348, 150, 348, 150, 354, 150, 346, 149, 361, 149, 358, 
125, 150, 349, 149, 348, 150, 352, 149, 345, 150, 361, 150, 358, 
130, 150, 348, 150, 347, 149, 352, 150, 345, 149, 361, 150, 358, 
135, 150, 349, 149, 348, 150, 353, 149, 345, 149, 361, 150, 358, 
140, 150, 347, 149, 349, 149, 352, 150, 342, 150, 359, 150, 357, 
145, 150, 348, 149, 348, 150, 352, 150, 343, 149, 360, 150, 359, 
150, 150, 348, 150, 346, 149, 352, 150, 344, 150, 359, 150, 357, 
155, 150, 347, 150, 347, 149, 351, 150, 341, 150, 360, 150, 357, 
160, 150, 348, 149, 348, 149, 351, 149, 343, 150, 360, 149, 356, 
165, 150, 348, 150, 347, 150, 352, 149, 343, 149, 359, 150, 357, 
170, 150, 348, 149, 346, 150, 353, 150, 343, 150, 359, 150, 356, 
175, 150, 347, 149, 347, 149, 352, 149, 340, 149, 360, 150, 357, 
180, 150, 348, 149, 347, 150, 351, 149, 342, 150, 361, 149, 357, 
185, 150, 348, 149, 347, 150, 352, 149, 341, 150, 360, 150, 357, 
190, 149, 348, 150, 348, 149, 352, 149, 342, 150, 361, 150, 358, 
195, 150, 348, 149, 346, 150, 354, 149, 341, 150, 361, 149, 358, 
200, 150, 348, 149, 346, 149, 353, 150, 341, 150, 360, 150, 356, 
205, 150, 349, 149, 348, 150, 351, 149, 343, 149, 360, 149, 357, 
210, 150, 348, 150, 347, 150, 353, 149, 342, 149, 360, 150, 358, 
215, 150, 351, 150, 348, 149, 353, 150, 343, 150, 361, 149, 357, 
220, 150, 350, 150, 350, 150, 352, 149, 343, 150, 360, 150, 357, 
225, 150, 351, 150, 348, 149, 353, 150, 344, 150, 361, 150, 359, 
230, 150, 351, 149, 349, 150, 355, 150, 343, 150, 361, 150, 359, 
235, 150, 351, 149, 350, 149, 353, 149, 341, 149, 362, 150, 357, 
240, 150, 351, 149, 349, 150, 352, 150, 345, 150, 363, 150, 357, 
245, 150, 351, 150, 349, 150, 353, 149, 345, 149, 361, 149, 358, 
250, 150, 352, 150, 350, 149, 354, 150, 345, 149, 361, 150, 358, 
255, 150, 351, 149, 349, 149, 352, 150, 347, 149, 363, 150, 358, 
260, 150, 353, 150, 350, 149, 354, 150, 346, 150, 363, 150, 358, 
265, 150, 352, 149, 349, 149, 353, 150, 344, 149, 363, 150, 358, 
270, 150, 352, 149, 350, 150, 353, 150, 346, 150, 364, 150, 359, 
275, 149, 352, 149, 350, 149, 354, 149, 346, 149, 364, 150, 359, 
280, 149, 5, 149, 7, 150, 2, 150, -2, 150, 3, 150, -1, 
285, 150, 7, 150, 5, 149, 1, 150, -2, 150, 3, 150, -3, 
290, 0, 5, -1, 2, 0, 1, 0, -2, 149, 3, 149, 3, 
295, 3, 4, 2, 0, 3, 1, 2, -2, 149, 4, 149, 4, 
300, 3, 3, 1, 0, 3, 1, 2, -3, 150, 4, 149, 1, 
305, 2, 6, 2, 0, 2, 1, 2, -3, 149, 5, 149, 4, 
310, 2, 2, 2, 0, 2, 3, 2, -4, 149, 4, 150, 2, 
315, 2, 5, 2, 0, 3, 1, 3, -3, 150, 3, 149, 3, 
320, 2, 2, 2, 0, 3, 2, 2, -2, 149, 4, 149, 2, 
325, 2, 2, 2, 0, 3, 2, 3, -1, 149, 5, 149, 5, 
330, 2, 2, 2, 0, 3, 1, 3, -2, 149, 4, 149, 2, 
