t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 403, 149, 402, 150, 401, 150, 394, 150, 413, 150, 401, 
10, 150, 399, 150, 403, 150, 399, 150, 392, 150, 412, 150, 402, 
15, 150, 399, 150, 405, 150, 398, 150, 393, 150, 412, 150, 400, 
20, 150, 400, 149, 403, 150, 400, 150, 393, 150, 413, 149, 400, 
25, 150, 403, 149, 403, 149, 397, 149, 390, 150, 412, 149, 400, 
30, 150, 407, 149, 402, 150, 399, 149, 391, 150, 413, 149, 401, 
35, 150, 410, 149, 403, 149, 399, 149, 392, 150, 412, 150, 401, 
40, 150, 415, 149, 401, 150, 399, 150, 394, 149, 412, 150, 400, 
45, 149, 417, 149, 400, 150, 397, 149, 393, 149, 412, 150, 402, 
50, 150, 420, 149, 400, 150, 396, 150, 391, 150, 411, 150, 401, 
55, 150, 420, 149, 400, 150, 395, 149, 390, 149, 408, 150, 399, 
60, 150, 414, 149, 397, 149, 393, 150, 388, 150, 405, 149, 396, 
65, 150, 397, 150, 393, 149, 390, 150, 385, 149, 402, 150, 393, 
70, 150, 386, 149, 390, 150, 388, 150, 382, 150, 399, 150, 388, 
75, 149, 382, 149, 387, 150, 386, 150, 382, 150, 397, 150, 389, 
80, 150, 380, 149, 387, 149, 383, 150, 378, 149, 396, 150, 387, 
85, 150, 379, 150, 386, 149, 383, 150, 380, 149, 396, 150, 389, 
90, 149, 380, 150, 384, 149, 383, 150, 379, 150, 395, 150, 387, 
95, 149, 376, 149, 384, 149, 381, 150, 376, 150, 394, 150, 385, 
100, 150, 376, 149, 383, 150, 381, 149, 377, 149, 395, 150, 386, 
105, 150, 377, 149, 384, 149, 379, 149, 377, 149, 394, 150, 386, 
110, 150, 378, 149, 380, 149, 378, 149, 377, 150, 393, 150, 384, 
115, 150, 376, 150, 382, 150, 378, 149, 376, 149, 392, 150, 385, 
120, 150, 377, 150, 382, 150, 378, 150, 374, 150, 390, 150, 383, 
125, 150, 379, 149, 379, 150, 380, 150, 378, 150, 392, 149, 383, 
130, 149, 377, 149, 382, 150, 376, 150, 373, 149, 391, 150, 383, 
135, 150, 378, 150, 381, 150, 378, 149, 375, 150, 392, 150, 381, 
140, 150, 377, 150, 382, 149, 376, 149, 373, 150, 391, 149, 381, 
145, 150, 376, 150, 382, 149, 376, 150, 372, 150, 391, 150, 381, 
150, 149, 379, 149, 382, 149, 377, 150, 374, 149, 390, 149, 380, 
155, 150, 379, 149, 382, 150, 374, 150, 372, 150, 390, 150, 380, 
160, 150, 377, 149, 380, 149, 375, 149, 373, 150, 390, 149, 379, 
165, 150, 377, 149, 381, 150, 375, 149, 373, 150, 390, 149, 379, 
170, 150, 376, 150, 381, 149, 375, 150, 372, 150, 389, 149, 378, 
175, 149, 377, 150, 382, 150, 376, 150, 373, 150, 390, 150, 379, 
180, 150, 377, 150, 381, 150, 376, 150, 373, 149, 388, 150, 377, 
185, 150, 377, 150, 382, 150, 375, 150, 373, 150, 390, 150, 378, 
190, 150, 377, 149, 382, 150, 375, 149, 369, 149, 389, 150, 378, 
195, 150, 378, 149, 381, 149, 376, 149, 372, 149, 390, 149, 378, 
200, 150, 377, 149, 383, 149, 376, 150, 372, 150, 390, 150, 377, 
205, 150, 379, 150, 382, 149, 376, 150, 374, 149, 390, 150, 377, 
210, 150, 380, 150, 383, 149, 375, 150, 374, 150, 390, 150, 378, 
215, 150, 379, 149, 382, 150, 375, 150, 371, 150, 389, 150, 376, 
220, 150, 382, 149, 381, 150, 376, 149, 373, 149, 389, 150, 378, 
225, 150, 378, 149, 383, 150, 376, 150, 375, 149, 390, 150, 379, 
230, 150, 381, 149, 381, 149, 376, 149, 372, 149, 388, 150, 378, 
235, 150, 378, 150, 384, 150, 377, 150, 373, 150, 389, 150, 378, 
240, 150, 378, 149, 382, 150, 376, 150, 374, 150, 391, 150, 377, 
245, 150, 379, 150, 384, 150, 376, 149, 372, 149, 388, 150, 379, 
250, 150, 380, 149, 384, 149, 375, 150, 371, 150, 386, 150, 377, 
255, 150, 381, 149, 382, 149, 376, 149, 373, 149, 389, 150, 377, 
260, 150, 382, 149, 384, 150, 377, 149, 372, 149, 388, 150, 377, 
265, 150, 382, 149, 383, 150, 377, 150, 373, 150, 389, 150, 375, 
270, 150, 382, 150, 384, 150, 377, 150, 373, 150, 389, 150, 378, 
275, 150, 380, 149, 385, 150, 376, 150, 373, 149, 388, 150, 377, 
280, 150, 378, 149, 384, 150, 378, 149, 371, 150, 388, 150, 376, 
285, 150, 379, 150, 384, 150, 378, 150, 374, 149, 388, 150, 378, 
290, 150, 379, 150, 384, 149, 377, 150, 371, 150, 389, 150, 377, 
295, 149, 379, 150, 383, 150, 378, 150, 373, 150, 389, 149, 377, 
300, 150, 379, 149, 384, 150, 376, 150, 372, 150, 387, 150, 378, 
305, 149, 379, 149, 382, 150, 378, 149, 373, 150, 388, 150, 378, 
310, 150, 378, 149, 384, 150, 378, 150, 372, 150, 388, 150, 378, 
315, 150, 378, 149, 384, 150, 378, 150, 373, 150, 388, 149, 377, 
320, 150, 378, 150, 383, 150, 378, 149, 373, 150, 388, 150, 378, 
325, 150, 379, 149, 383, 150, 378, 149, 371, 149, 387, 149, 378, 
330, 150, 379, 149, 382, 149, 378, 149, 372, 149, 387, 149, 379, 
