t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 438, 149, 436, 149, 435, 150, 428, 149, 450, 149, 451, 
10, 150, 440, 149, 437, 149, 438, 150, 427, 149, 449, 150, 450, 
15, 150, 440, 150, 436, 149, 438, 150, 425, 150, 449, 149, 452, 
20, 150, 439, 149, 438, 149, 438, 149, 425, 150, 450, 150, 452, 
25, 150, 439, 149, 435, 149, 437, 149, 425, 150, 449, 150, 452, 
30, 150, 439, 149, 440, 150, 436, 150, 425, 149, 449, 150, 455, 
35, 150, 440, 149, 438, 150, 438, 150, 426, 150, 449, 149, 454, 
40, 149, 440, 150, 437, 149, 437, 149, 423, 150, 448, 150, 457, 
45, 150, 441, 149, 437, 150, 436, 150, 425, 150, 449, 150, 458, 
50, 150, 442, 149, 437, 149, 435, 149, 424, 149, 447, 150, 457, 
55, 150, 444, 149, 435, 149, 434, 149, 424, 150, 448, 150, 458, 
60, 150, 445, 149, 434, 149, 433, 150, 422, 150, 447, 150, 460, 
65, 150, 448, 149, 435, 150, 432, 149, 422, 150, 448, 149, 460, 
70, 150, 443, 150, 431, 150, 431, 149, 422, 149, 446, 150, 452, 
75, 149, 434, 149, 429, 150, 430, 149, 420, 150, 444, 150, 448, 
80, 149, 430, 149, 427, 149, 427, 150, 419, 150, 443, 150, 440, 
85, 149, 418, 149, 423, 150, 423, 150, 415, 149, 437, 150, 435, 
90, 150, 412, 149, 418, 150, 418, 149, 411, 150, 433, 149, 428, 
95, 150, 409, 149, 413, 150, 415, 150, 408, 150, 427, 150, 427, 
100, 150, 406, 149, 411, 150, 414, 149, 406, 149, 428, 150, 424, 
105, 150, 405, 149, 411, 149, 413, 150, 405, 150, 426, 150, 423, 
110, 150, 404, 149, 409, 150, 410, 149, 404, 150, 424, 150, 423, 
115, 150, 404, 149, 407, 150, 410, 150, 404, 149, 425, 150, 419, 
120, 150, 405, 149, 404, 150, 410, 149, 403, 150, 423, 150, 420, 
125, 150, 403, 149, 403, 149, 408, 150, 400, 149, 423, 150, 418, 
130, 150, 404, 150, 404, 150, 407, 149, 400, 149, 420, 150, 417, 
135, 150, 404, 149, 402, 149, 407, 150, 401, 150, 420, 150, 416, 
140, 150, 403, 150, 404, 150, 407, 149, 398, 150, 422, 150, 416, 
145, 150, 403, 149, 401, 149, 406, 149, 395, 149, 420, 150, 415, 
150, 150, 402, 149, 402, 150, 404, 149, 395, 150, 420, 149, 414, 
155, 150, 402, 149, 403, 150, 406, 150, 395, 149, 419, 149, 414, 
160, 150, 403, 149, 401, 150, 403, 150, 393, 150, 419, 150, 415, 
165, 150, 403, 150, 404, 149, 404, 150, 394, 150, 419, 150, 413, 
170, 150, 403, 150, 403, 150, 405, 149, 393, 149, 420, 149, 412, 
175, 150, 403, 150, 403, 150, 404, 150, 393, 150, 418, 150, 412, 
180, 150, 404, 150, 403, 149, 403, 149, 391, 150, 418, 149, 412, 
185, 150, 403, 149, 404, 150, 404, 150, 393, 150, 419, 150, 412, 
190, 150, 404, 149, 404, 150, 403, 149, 392, 150, 419, 150, 412, 
195, 150, 405, 149, 404, 149, 404, 149, 391, 150, 418, 149, 412, 
200, 150, 405, 149, 402, 150, 403, 150, 390, 150, 417, 150, 413, 
205, 149, 405, 150, 403, 150, 405, 149, 390, 149, 419, 149, 412, 
210, 149, 404, 149, 403, 150, 404, 150, 391, 150, 418, 150, 412, 
215, 150, 406, 149, 403, 149, 404, 150, 391, 149, 417, 149, 412, 
220, 150, 405, 150, 404, 150, 405, 149, 389, 150, 418, 150, 414, 
225, 150, 406, 149, 405, 149, 403, 149, 391, 149, 417, 150, 411, 
230, 150, 406, 150, 405, 150, 405, 149, 391, 150, 419, 149, 410, 
235, 150, 406, 149, 406, 150, 405, 150, 392, 150, 417, 150, 413, 
240, 150, 406, 150, 405, 150, 404, 149, 392, 150, 418, 150, 412, 
245, 150, 406, 149, 406, 150, 405, 150, 392, 149, 418, 150, 412, 
250, 150, 405, 149, 406, 150, 404, 149, 392, 150, 418, 150, 412, 
255, 150, 406, 149, 405, 149, 404, 150, 392, 150, 416, 150, 411, 
260, 150, 405, 150, 405, 149, 403, 150, 393, 149, 418, 149, 409, 
265, 150, 406, 150, 404, 150, 405, 149, 394, 150, 418, 149, 411, 
270, 150, 405, 149, 404, 150, 404, 150, 391, 149, 416, 150, 412, 
275, 150, 405, 149, 405, 149, 404, 150, 393, 150, 417, 149, 411, 
280, 150, 405, 149, 406, 150, 405, 150, 395, 149, 416, 149, 410, 
285, 150, 403, 149, 406, 150, 405, 149, 394, 150, 415, 150, 412, 
290, 150, 404, 149, 404, 149, 404, 150, 392, 150, 416, 150, 410, 
295, 150, 403, 150, 406, 150, 406, 149, 395, 150, 416, 149, 409, 
300, 150, 403, 150, 404, 150, 404, 150, 395, 149, 415, 150, 409, 
305, 150, 403, 149, 405, 150, 405, 150, 396, 150, 413, 150, 410, 
310, 150, 403, 149, 405, 149, 404, 150, 395, 149, 413, 150, 409, 
315, 150, 402, 149, 406, 150, 405, 150, 396, 150, 415, 150, 409, 
320, 150, 403, 149, 405, 149, 404, 150, 395, 149, 413, 150, 409, 
325, 150, 403, 149, 404, 150, 405, 150, 395, 150, 411, 150, 409, 
330, 149, 402, 150, 403, 150, 404, 150, 393, 150, 412, 150, 408, 
