t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 376, 149, 382, 150, 376, 149, 374, 150, 396, 150, 381, 
10, 150, 375, 149, 382, 150, 376, 150, 375, 150, 397, 150, 380, 
15, 150, 377, 149, 382, 150, 375, 150, 375, 150, 396, 150, 381, 
20, 150, 376, 149, 382, 149, 376, 149, 375, 150, 397, 149, 383, 
25, 149, 377, 149, 382, 149, 375, 150, 376, 149, 396, 150, 379, 
30, 150, 374, 149, 381, 150, 375, 149, 372, 150, 395, 150, 380, 
35, 150, 370, 149, 379, 150, 374, 150, 370, 150, 390, 150, 378, 
40, 150, 367, 150, 379, 150, 373, 150, 371, 149, 391, 149, 376, 
45, 150, 366, 149, 376, 149, 372, 150, 369, 150, 388, 150, 375, 
50, 150, 364, 149, 375, 150, 370, 150, 370, 149, 389, 149, 374, 
55, 149, 363, 149, 375, 150, 370, 150, 368, 150, 387, 150, 371, 
60, 150, 362, 150, 373, 150, 367, 149, 366, 149, 389, 150, 373, 
65, 149, 362, 149, 373, 150, 370, 150, 366, 149, 388, 149, 366, 
70, 150, 362, 149, 372, 150, 367, 149, 365, 150, 387, 150, 367, 
75, 149, 361, 150, 372, 149, 369, 150, 368, 149, 388, 150, 364, 
80, 150, 360, 149, 371, 150, 368, 149, 365, 150, 385, 149, 368, 
85, 149, 361, 149, 370, 150, 369, 149, 366, 149, 387, 149, 366, 
90, 150, 360, 149, 369, 149, 367, 149, 364, 149, 386, 150, 370, 
95, 149, 360, 149, 369, 150, 362, 149, 364, 150, 385, 150, 370, 
100, 149, 361, 150, 369, 150, 362, 149, 364, 150, 384, 150, 370, 
105, 149, 361, 150, 368, 150, 362, 149, 366, 149, 385, 150, 368, 
110, 150, 361, 149, 368, 150, 362, 150, 362, 149, 384, 150, 368, 
115, 150, 360, 149, 367, 150, 365, 149, 363, 149, 383, 150, 368, 
120, 150, 360, 149, 367, 150, 364, 150, 364, 150, 384, 150, 368, 
125, 150, 360, 149, 367, 149, 364, 150, 363, 149, 383, 150, 366, 
130, 150, 360, 149, 366, 150, 363, 150, 361, 150, 381, 149, 364, 
135, 150, 359, 149, 365, 149, 364, 150, 359, 150, 381, 150, 366, 
140, 149, 358, 149, 366, 149, 360, 149, 359, 150, 379, 150, 365, 
145, 150, 358, 150, 365, 150, 361, 149, 359, 150, 379, 150, 364, 
150, 150, 359, 150, 363, 149, 357, 149, 359, 149, 379, 150, 360, 
155, 150, 359, 149, 365, 150, 359, 149, 359, 150, 379, 150, 362, 
160, 149, 358, 150, 363, 149, 358, 149, 358, 150, 379, 150, 360, 
165, 150, 359, 149, 363, 150, 359, 150, 357, 150, 377, 150, 366, 
170, 150, 359, 149, 363, 150, 358, 150, 357, 149, 377, 149, 366, 
175, 150, 359, 149, 363, 149, 359, 150, 358, 150, 378, 149, 363, 
180, 150, 358, 149, 363, 150, 358, 150, 356, 150, 376, 150, 366, 
185, 149, 359, 149, 362, 149, 358, 150, 359, 150, 376, 150, 366, 
190, 150, 359, 149, 362, 150, 357, 149, 355, 149, 376, 150, 363, 
195, 150, 359, 149, 361, 149, 360, 149, 354, 150, 373, 150, 364, 
200, 150, 358, 149, 363, 149, 358, 149, 355, 150, 373, 150, 367, 
205, 150, 360, 149, 363, 150, 359, 150, 357, 150, 375, 150, 367, 
210, 150, 360, 150, 363, 149, 360, 150, 355, 149, 372, 150, 365, 
215, 150, 360, 149, 360, 150, 359, 150, 355, 150, 370, 149, 359, 
220, 150, 359, 149, 361, 150, 359, 150, 355, 150, 373, 150, 365, 
225, 150, 360, 149, 361, 150, 360, 150, 355, 150, 373, 150, 364, 
230, 150, 361, 149, 360, 150, 359, 150, 354, 149, 374, 150, 364, 
235, 150, 361, 149, 363, 149, 360, 149, 356, 150, 375, 150, 366, 
240, 149, 360, 149, 360, 150, 360, 150, 356, 150, 371, 150, 360, 
245, 150, 360, 149, 360, 150, 359, 149, 356, 150, 371, 150, 361, 
250, 150, 359, 149, 362, 150, 360, 150, 355, 150, 372, 150, 361, 
255, 150, 360, 149, 361, 150, 359, 150, 354, 149, 371, 150, 360, 
260, 150, 359, 149, 364, 150, 361, 150, 357, 150, 372, 150, 360, 
265, 150, 359, 150, 363, 150, 359, 149, 355, 150, 371, 150, 360, 
270, 150, 359, 149, 363, 150, 358, 149, 354, 149, 370, 150, 360, 
275, 150, 359, 149, 362, 150, 359, 150, 356, 150, 371, 149, 361, 
280, 150, 360, 150, 361, 150, 360, 150, 356, 149, 372, 150, 361, 
285, 149, 360, 150, 361, 150, 359, 150, 353, 150, 371, 149, 360, 
290, 150, 359, 150, 360, 149, 358, 149, 356, 149, 369, 150, 361, 
295, 150, 360, 149, 361, 150, 359, 150, 355, 150, 371, 150, 361, 
300, 150, 359, 149, 359, 149, 358, 150, 356, 150, 371, 150, 361, 
305, 150, 360, 149, 359, 150, 358, 150, 358, 150, 369, 150, 365, 
310, 149, 358, 149, 359, 150, 359, 150, 355, 150, 371, 150, 364, 
315, 149, 358, 150, 359, 149, 358, 150, 356, 150, 370, 150, 362, 
320, 150, 359, 150, 358, 150, 358, 150, 355, 150, 369, 150, 363, 
325, 150, 358, 150, 357, 150, 358, 150, 356, 150, 370, 150, 364, 
330, 150, 358, 149, 357, 150, 358, 149, 356, 149, 371, 150, 364, 
