t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 399, 150, 395, 149, 387, 150, 592, 149, 406, 149, 404, 
10, 150, 397, 150, 398, 150, 387, 150, 591, 149, 405, 150, 407, 
15, 150, 396, 149, 396, 150, 390, 149, 591, 150, 406, 150, 407, 
20, 150, 395, 149, 397, 149, 387, 150, 591, 150, 404, 150, 404, 
25, 150, 395, 149, 398, 150, 387, 149, 590, 149, 406, 150, 405, 
30, 150, 398, 150, 397, 150, 386, 149, 590, 150, 405, 149, 405, 
35, 150, 399, 149, 401, 150, 389, 150, 592, 150, 406, 150, 406, 
40, 150, 401, 149, 400, 150, 389, 150, 592, 149, 404, 150, 405, 
45, 150, 403, 149, 401, 149, 388, 149, 589, 150, 405, 150, 406, 
50, 150, 402, 149, 400, 150, 386, 150, 589, 149, 405, 150, 404, 
55, 150, 394, 149, 395, 150, 387, 150, 583, 150, 404, 150, 401, 
60, 150, 391, 149, 394, 150, 386, 150, 583, 150, 402, 150, 402, 
65, 150, 388, 149, 391, 150, 384, 150, 583, 150, 402, 150, 400, 
70, 150, 389, 150, 391, 150, 385, 149, 580, 150, 400, 150, 397, 
75, 150, 390, 149, 389, 150, 383, 150, 581, 150, 399, 149, 395, 
80, 150, 391, 149, 388, 150, 381, 149, 579, 150, 400, 150, 396, 
85, 150, 392, 149, 388, 149, 381, 150, 582, 150, 401, 149, 395, 
90, 150, 392, 149, 386, 150, 381, 149, 582, 149, 401, 150, 394, 
95, 150, 391, 149, 386, 149, 380, 149, 578, 150, 401, 150, 396, 
100, 150, 391, 150, 386, 150, 379, 150, 580, 149, 400, 150, 395, 
105, 150, 391, 149, 386, 150, 380, 149, 582, 149, 399, 150, 395, 
110, 149, 391, 149, 384, 150, 380, 149, 584, 150, 401, 150, 393, 
115, 150, 392, 149, 386, 150, 379, 150, 582, 150, 401, 150, 394, 
120, 150, 392, 149, 383, 149, 379, 150, 586, 150, 405, 149, 393, 
125, 150, 393, 149, 385, 150, 381, 150, 586, 149, 405, 150, 394, 
130, 149, 393, 150, 386, 150, 382, 150, 588, 150, 408, 150, 397, 
135, 150, 394, 149, 386, 149, 380, 150, 591, 150, 407, 150, 395, 
140, 150, 395, 149, 386, 150, 382, 149, 592, 149, 409, 150, 395, 
145, 150, 396, 150, 388, 149, 382, 150, 593, 149, 410, 150, 397, 
150, 150, 397, 149, 389, 150, 383, 149, 595, 149, 412, 150, 398, 
155, 150, 398, 150, 389, 149, 385, 150, 599, 150, 414, 149, 398, 
160, 150, 399, 149, 388, 149, 386, 149, 600, 149, 415, 149, 397, 
165, 150, 401, 150, 391, 150, 387, 150, 601, 150, 417, 150, 399, 
170, 150, 402, 149, 394, 150, 387, 149, 605, 149, 417, 150, 398, 
175, 150, 402, 149, 393, 150, 390, 150, 610, 149, 419, 150, 396, 
180, 150, 403, 149, 394, 150, 389, 150, 608, 150, 420, 150, 400, 
185, 150, 404, 149, 397, 149, 389, 149, 610, 149, 422, 149, 400, 
190, 150, 405, 150, 397, 150, 391, 149, 611, 149, 423, 150, 401, 
195, 150, 406, 149, 398, 150, 391, 149, 614, 150, 423, 149, 401, 
200, 150, 408, 150, 399, 150, 391, 149, 615, 149, 425, 150, 401, 
205, 150, 409, 150, 399, 149, 392, 150, 619, 150, 427, 150, 402, 
210, 150, 410, 149, 402, 149, 393, 150, 621, 150, 427, 150, 400, 
215, 150, 411, 150, 404, 150, 394, 150, 620, 149, 429, 150, 402, 
220, 150, 412, 149, 405, 150, 394, 150, 625, 149, 429, 150, 403, 
225, 149, 413, 149, 404, 150, 396, 149, 628, 150, 431, 150, 402, 
230, 150, 414, 150, 406, 149, 396, 149, 629, 149, 431, 150, 404, 
235, 150, 415, 149, 407, 150, 396, 150, 633, 150, 433, 150, 405, 
240, 150, 417, 149, 409, 149, 397, 150, 636, 149, 432, 150, 405, 
245, 150, 417, 149, 409, 149, 398, 149, 637, 150, 433, 149, 406, 
250, 150, 418, 149, 411, 150, 399, 150, 638, 149, 435, 149, 406, 
255, 150, 418, 149, 412, 149, 400, 150, 643, 150, 437, 150, 406, 
260, 150, 408, 149, 410, 150, 400, 150, 643, 149, 436, 150, 404, 
265, 150, 387, 149, 413, 150, 400, 149, 643, 149, 437, 150, 407, 
270, 149, 372, 149, 416, 150, 401, 149, 647, 150, 438, 150, 407, 
275, 150, 361, 149, 408, 150, 402, 149, 649, 150, 439, 150, 407, 
280, 149, 358, 150, 393, 149, 397, 150, 650, 150, 438, 150, 408, 
285, 150, 356, 149, 382, 150, 381, 149, 627, 149, 440, 150, 408, 
290, 150, 355, 149, 375, 149, 370, 150, 573, 150, 432, 150, 408, 
295, 150, 354, 149, 372, 150, 364, 150, 544, 150, 411, 149, 401, 
300, 150, 353, 149, 371, 150, 359, 149, 526, 150, 398, 150, 388, 
305, 149, 352, 149, 369, 149, 358, 150, 522, 150, 388, 150, 380, 
310, 150, 352, 149, 369, 150, 357, 149, 515, 150, 385, 149, 378, 
315, 150, 352, 149, 368, 149, 355, 150, 516, 149, 384, 150, 376, 
320, 150, 351, 149, 368, 150, 355, 149, 513, 149, 385, 150, 374, 
325, 150, 350, 149, 368, 149, 355, 149, 511, 150, 382, 150, 376, 
330, 150, 349, 149, 369, 150, 353, 150, 512, 150, 382, 150, 374, 
