t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 108, 149, 114, 149, 108, 150, 104, 150, 115, 150, 102, 
10, 150, 108, 150, 113, 150, 107, 149, 103, 150, 115, 149, 101, 
15, 150, 108, 149, 113, 150, 108, 149, 105, 149, 114, 150, 103, 
20, 149, 109, 149, 113, 150, 107, 149, 102, 150, 115, 150, 104, 
25, 150, 110, 149, 113, 150, 106, 150, 103, 149, 113, 150, 102, 
30, 150, 111, 149, 112, 150, 108, 149, 103, 149, 114, 149, 103, 
35, 150, 112, 149, 112, 150, 108, 149, 102, 149, 115, 150, 106, 
40, 150, 113, 149, 112, 150, 108, 150, 103, 149, 114, 150, 103, 
45, 150, 114, 149, 113, 149, 106, 149, 102, 150, 113, 150, 105, 
50, 150, 112, 149, 112, 150, 107, 150, 104, 149, 114, 150, 104, 
55, 150, 110, 149, 112, 150, 107, 150, 102, 150, 114, 150, 104, 
60, 150, 108, 149, 111, 150, 105, 150, 102, 150, 113, 150, 102, 
65, 149, 106, 149, 111, 149, 104, 150, 102, 150, 114, 150, 100, 
70, 150, 105, 149, 110, 150, 105, 150, 102, 149, 112, 150, 101, 
75, 150, 105, 149, 110, 150, 105, 149, 101, 150, 111, 150, 101, 
80, 150, 104, 149, 110, 149, 105, 149, 101, 149, 111, 150, 97, 
85, 150, 104, 149, 110, 150, 103, 150, 101, 150, 111, 149, 100, 
90, 150, 104, 149, 109, 149, 104, 150, 102, 150, 111, 150, 100, 
95, 150, 104, 150, 109, 149, 104, 149, 102, 150, 112, 149, 100, 
100, 150, 103, 149, 109, 149, 104, 150, 101, 150, 111, 150, 100, 
105, 150, 103, 149, 109, 150, 103, 150, 101, 150, 111, 150, 99, 
110, 150, 103, 149, 109, 149, 103, 150, 102, 150, 111, 150, 100, 
115, 150, 103, 149, 109, 150, 104, 149, 100, 150, 110, 150, 100, 
120, 149, 104, 149, 108, 150, 103, 150, 101, 150, 110, 150, 98, 
125, 150, 103, 150, 108, 150, 102, 150, 101, 149, 111, 150, 99, 
130, 150, 103, 149, 109, 149, 101, 149, 102, 150, 109, 150, 99, 
135, 150, 104, 149, 109, 149, 102, 149, 102, 150, 110, 149, 98, 
140, 150, 104, 150, 108, 150, 102, 150, 100, 150, 110, 150, 101, 
145, 150, 104, 150, 107, 149, 103, 150, 100, 149, 111, 149, 97, 
150, 150, 104, 149, 108, 149, 104, 149, 101, 150, 111, 150, 100, 
155, 150, 104, 150, 108, 150, 104, 149, 101, 150, 111, 149, 99, 
160, 150, 104, 149, 107, 149, 104, 150, 99, 150, 110, 150, 101, 
165, 149, 104, 150, 107, 150, 102, 150, 101, 150, 111, 149, 100, 
170, 150, 105, 149, 108, 150, 104, 149, 102, 150, 110, 150, 99, 
175, 150, 105, 150, 108, 150, 103, 150, 101, 150, 108, 149, 99, 
180, 150, 105, 149, 107, 149, 101, 150, 100, 150, 109, 150, 99, 
185, 150, 105, 150, 109, 150, 102, 150, 100, 149, 110, 149, 98, 
190, 150, 105, 149, 108, 150, 103, 150, 100, 149, 109, 150, 97, 
195, 150, 105, 149, 108, 150, 102, 149, 99, 150, 108, 149, 100, 
200, 150, 105, 149, 107, 149, 101, 150, 99, 149, 109, 150, 100, 
205, 150, 105, 149, 108, 150, 102, 149, 100, 150, 109, 150, 100, 
210, 150, 106, 149, 108, 149, 102, 150, 100, 149, 108, 150, 97, 
215, 150, 106, 150, 109, 149, 103, 149, 100, 149, 110, 150, 98, 
220, 150, 106, 149, 108, 149, 103, 150, 101, 149, 110, 150, 95, 
225, 150, 106, 149, 107, 150, 102, 149, 98, 149, 109, 149, 98, 
230, 150, 107, 149, 107, 149, 103, 150, 98, 150, 109, 150, 97, 
235, 150, 106, 150, 108, 149, 103, 149, 99, 150, 109, 150, 102, 
240, 150, 107, 149, 109, 150, 101, 150, 100, 149, 109, 150, 101, 
245, 150, 107, 150, 108, 150, 102, 149, 97, 150, 108, 150, 103, 
250, 150, 107, 149, 108, 150, 102, 149, 98, 149, 109, 150, 101, 
255, 150, 107, 150, 109, 150, 103, 149, 98, 150, 109, 150, 104, 
260, 150, 108, 149, 108, 149, 101, 149, 100, 150, 110, 150, 102, 
265, 150, 107, 149, 108, 150, 104, 149, 99, 149, 109, 149, 103, 
270, 150, 107, 149, 108, 150, 102, 150, 100, 149, 109, 149, 102, 
275, 150, 108, 149, 108, 149, 102, 149, 99, 149, 109, 150, 102, 
280, 150, 108, 149, 108, 150, 102, 150, 99, 149, 110, 149, 100, 
285, 150, 108, 150, 107, 150, 103, 149, 99, 150, 108, 150, 102, 
290, 150, 108, 149, 108, 149, 103, 150, 101, 150, 108, 150, 103, 
295, 150, 109, 149, 108, 150, 104, 149, 99, 149, 109, 150, 104, 
300, 150, 109, 149, 109, 150, 103, 150, 100, 149, 109, 149, 102, 
305, 150, 109, 149, 108, 150, 102, 149, 101, 150, 108, 150, 98, 
310, 150, 109, 149, 109, 150, 102, 150, 99, 149, 109, 149, 100, 
315, 149, 108, 149, 108, 150, 105, 150, 99, 150, 109, 150, 100, 
320, 150, 108, 150, 109, 150, 103, 150, 101, 150, 109, 150, 97, 
325, 150, 108, 149, 108, 150, 104, 149, 100, 149, 107, 150, 99, 
330, 149, 109, 150, 109, 149, 104, 150, 100, 150, 108, 149, 100, 
