t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 406, 149, 418, 149, 411, 149, 403, 150, 430, 150, 412, 
10, 150, 405, 150, 422, 150, 412, 149, 405, 149, 430, 150, 412, 
15, 150, 405, 149, 419, 149, 412, 149, 404, 149, 431, 150, 411, 
20, 150, 406, 149, 420, 149, 413, 150, 405, 150, 428, 150, 411, 
25, 150, 408, 150, 419, 149, 414, 150, 405, 149, 429, 150, 411, 
30, 149, 409, 150, 420, 150, 412, 150, 405, 150, 430, 150, 410, 
35, 150, 411, 149, 418, 149, 413, 149, 404, 150, 429, 149, 410, 
40, 150, 415, 149, 418, 150, 413, 149, 403, 149, 429, 150, 409, 
45, 150, 417, 150, 417, 149, 410, 150, 405, 149, 428, 150, 408, 
50, 149, 416, 149, 416, 149, 410, 149, 404, 150, 426, 150, 411, 
55, 150, 409, 150, 412, 150, 407, 150, 402, 150, 423, 150, 409, 
60, 150, 400, 149, 409, 150, 407, 150, 400, 149, 422, 150, 406, 
65, 150, 394, 150, 409, 150, 405, 150, 400, 149, 421, 149, 403, 
70, 149, 391, 149, 409, 150, 403, 150, 398, 150, 419, 150, 404, 
75, 150, 389, 149, 407, 149, 401, 150, 395, 149, 417, 149, 403, 
80, 150, 388, 149, 404, 150, 401, 150, 395, 150, 418, 150, 401, 
85, 150, 387, 150, 403, 150, 398, 150, 395, 149, 418, 150, 403, 
90, 150, 387, 150, 403, 150, 398, 150, 394, 150, 417, 149, 403, 
95, 150, 386, 149, 401, 149, 398, 150, 391, 149, 415, 149, 403, 
100, 150, 386, 149, 401, 149, 398, 149, 392, 150, 416, 150, 400, 
105, 150, 386, 150, 401, 150, 396, 149, 391, 149, 414, 150, 400, 
110, 150, 386, 149, 400, 150, 396, 149, 391, 149, 414, 150, 401, 
115, 150, 385, 149, 399, 149, 396, 150, 390, 149, 413, 150, 399, 
120, 150, 385, 149, 400, 150, 397, 149, 388, 150, 413, 150, 398, 
125, 150, 386, 149, 400, 149, 395, 150, 390, 149, 412, 149, 400, 
130, 150, 385, 149, 400, 149, 394, 149, 390, 150, 411, 149, 401, 
135, 150, 384, 149, 401, 150, 395, 150, 387, 149, 411, 150, 399, 
140, 150, 384, 149, 399, 149, 394, 149, 387, 150, 411, 150, 398, 
145, 150, 385, 150, 400, 150, 393, 149, 388, 149, 410, 150, 396, 
150, 150, 384, 149, 400, 149, 394, 149, 387, 150, 410, 150, 400, 
155, 150, 384, 150, 400, 150, 395, 150, 386, 149, 410, 149, 398, 
160, 150, 384, 149, 398, 149, 396, 150, 387, 150, 410, 150, 399, 
165, 150, 384, 150, 401, 150, 396, 150, 388, 149, 409, 150, 398, 
170, 150, 384, 149, 400, 150, 397, 150, 387, 150, 409, 150, 399, 
175, 150, 382, 149, 399, 149, 395, 150, 388, 149, 409, 150, 399, 
180, 150, 382, 149, 401, 150, 395, 149, 388, 150, 410, 150, 400, 
185, 150, 382, 149, 401, 149, 395, 150, 387, 149, 409, 150, 399, 
190, 150, 382, 149, 401, 149, 397, 150, 387, 149, 409, 150, 396, 
195, 150, 382, 150, 401, 149, 395, 150, 388, 149, 408, 150, 399, 
200, 150, 381, 149, 401, 150, 397, 149, 388, 150, 409, 150, 399, 
205, 150, 382, 149, 401, 150, 396, 149, 389, 150, 409, 150, 398, 
210, 150, 381, 149, 400, 150, 398, 150, 387, 150, 409, 149, 397, 
215, 150, 381, 150, 401, 150, 395, 150, 389, 150, 411, 150, 399, 
220, 150, 381, 149, 400, 150, 396, 149, 390, 150, 409, 149, 399, 
225, 150, 380, 149, 402, 150, 397, 150, 388, 149, 409, 150, 399, 
230, 150, 381, 149, 401, 149, 397, 150, 388, 150, 409, 150, 397, 
235, 150, 381, 150, 401, 149, 397, 149, 390, 149, 410, 149, 397, 
240, 150, 381, 150, 402, 149, 399, 149, 389, 150, 409, 150, 399, 
245, 150, 380, 149, 401, 150, 397, 150, 389, 150, 409, 150, 398, 
250, 150, 380, 149, 401, 150, 399, 149, 388, 149, 409, 149, 396, 
255, 150, 380, 149, 402, 150, 396, 150, 390, 149, 409, 150, 397, 
260, 150, 380, 149, 401, 149, 398, 149, 390, 150, 409, 150, 399, 
265, 150, 379, 150, 401, 150, 398, 150, 388, 150, 409, 150, 397, 
270, 150, 380, 149, 401, 150, 399, 149, 388, 150, 410, 150, 396, 
275, 150, 379, 150, 401, 149, 397, 150, 390, 150, 409, 150, 397, 
280, 150, 378, 149, 400, 149, 398, 149, 389, 150, 408, 149, 397, 
285, 150, 378, 150, 401, 150, 398, 150, 389, 149, 408, 149, 394, 
290, 150, 378, 149, 399, 149, 398, 149, 388, 149, 409, 150, 395, 
295, 150, 378, 149, 399, 150, 396, 150, 390, 149, 408, 150, 397, 
300, 149, 377, 149, 400, 149, 395, 149, 389, 150, 407, 150, 396, 
305, 150, 378, 150, 400, 150, 396, 150, 388, 150, 406, 150, 395, 
310, 150, 377, 149, 399, 149, 396, 149, 389, 150, 407, 150, 395, 
315, 150, 376, 149, 400, 150, 394, 150, 390, 149, 403, 150, 394, 
320, 150, 376, 149, 399, 149, 394, 149, 389, 149, 402, 150, 397, 
325, 150, 377, 149, 400, 150, 394, 150, 389, 149, 403, 149, 394, 
330, 150, 376, 149, 399, 149, 394, 149, 389, 150, 402, 150, 394, 
