t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 377, 149, 378, 150, 383, 150, 376, 150, 396, 150, 378, 
10, 150, 377, 149, 380, 150, 383, 149, 376, 149, 397, 150, 376, 
15, 150, 378, 149, 384, 150, 384, 150, 377, 149, 396, 149, 378, 
20, 150, 379, 149, 378, 150, 384, 150, 377, 150, 396, 150, 377, 
25, 150, 382, 149, 380, 149, 383, 149, 377, 149, 397, 150, 377, 
30, 150, 385, 149, 379, 150, 383, 150, 377, 150, 396, 150, 378, 
35, 150, 389, 149, 380, 150, 383, 150, 377, 150, 398, 149, 379, 
40, 150, 394, 149, 379, 150, 383, 150, 377, 150, 398, 150, 376, 
45, 149, 397, 149, 380, 150, 382, 150, 377, 150, 396, 150, 377, 
50, 150, 396, 149, 377, 149, 380, 150, 376, 150, 395, 150, 377, 
55, 150, 393, 149, 377, 150, 380, 150, 376, 150, 394, 150, 374, 
60, 150, 382, 149, 375, 149, 378, 149, 375, 150, 394, 149, 373, 
65, 150, 374, 149, 374, 149, 377, 149, 375, 150, 393, 150, 374, 
70, 150, 368, 150, 371, 150, 373, 150, 373, 149, 391, 150, 372, 
75, 149, 362, 149, 370, 150, 374, 150, 372, 150, 390, 150, 370, 
80, 150, 359, 149, 369, 150, 371, 150, 371, 149, 386, 149, 371, 
85, 150, 357, 149, 367, 149, 370, 149, 368, 149, 384, 150, 369, 
90, 150, 357, 150, 368, 150, 368, 151, 371, 150, 384, 150, 368, 
95, 150, 355, 149, 366, 149, 368, 149, 367, 150, 383, 150, 367, 
100, 150, 354, 149, 364, 150, 367, 150, 367, 150, 381, 150, 368, 
105, 149, 355, 149, 364, 149, 367, 150, 364, 149, 381, 150, 366, 
110, 150, 355, 149, 363, 150, 367, 150, 366, 150, 379, 150, 366, 
115, 149, 354, 149, 362, 150, 368, 150, 364, 150, 381, 150, 366, 
120, 150, 355, 149, 363, 149, 366, 149, 364, 150, 380, 149, 364, 
125, 150, 356, 149, 362, 150, 367, 150, 364, 150, 380, 150, 364, 
130, 150, 356, 149, 361, 150, 366, 150, 362, 149, 380, 150, 364, 
135, 150, 357, 149, 362, 150, 366, 149, 363, 149, 380, 150, 363, 
140, 150, 357, 149, 361, 150, 366, 150, 364, 150, 379, 149, 362, 
145, 150, 356, 149, 362, 150, 366, 150, 362, 149, 379, 150, 361, 
150, 150, 358, 150, 361, 150, 366, 150, 363, 150, 379, 150, 361, 
155, 150, 355, 149, 361, 149, 366, 150, 363, 149, 380, 149, 359, 
160, 150, 358, 149, 361, 150, 364, 150, 363, 150, 379, 150, 360, 
165, 150, 357, 149, 359, 150, 366, 150, 362, 150, 380, 149, 360, 
170, 150, 356, 149, 362, 150, 366, 150, 364, 149, 379, 150, 358, 
175, 149, 357, 149, 362, 150, 366, 150, 363, 149, 380, 150, 359, 
180, 150, 357, 149, 362, 150, 367, 150, 362, 150, 380, 150, 358, 
185, 150, 358, 149, 362, 149, 366, 149, 361, 149, 380, 150, 359, 
190, 150, 358, 149, 360, 149, 366, 150, 362, 150, 380, 150, 359, 
195, 150, 357, 149, 361, 150, 367, 150, 363, 150, 380, 150, 359, 
200, 150, 357, 150, 363, 149, 366, 149, 363, 149, 381, 150, 359, 
205, 150, 357, 149, 362, 150, 367, 150, 362, 149, 380, 150, 360, 
210, 150, 358, 150, 362, 150, 367, 149, 361, 150, 381, 150, 360, 
215, 150, 358, 149, 362, 150, 368, 149, 362, 150, 380, 150, 360, 
220, 150, 356, 150, 364, 149, 367, 150, 361, 150, 381, 149, 358, 
225, 150, 358, 149, 364, 150, 368, 150, 364, 150, 382, 150, 358, 
230, 149, 357, 150, 364, 150, 368, 149, 362, 150, 382, 150, 361, 
235, 150, 358, 149, 365, 150, 368, 150, 361, 150, 380, 150, 361, 
240, 149, 359, 149, 365, 150, 369, 150, 363, 149, 381, 149, 359, 
245, 149, 357, 150, 365, 150, 369, 150, 365, 149, 382, 150, 361, 
250, 150, 357, 149, 364, 150, 368, 149, 363, 150, 378, 150, 362, 
255, 150, 356, 149, 363, 149, 369, 149, 362, 150, 381, 149, 360, 
260, 150, 356, 149, 364, 149, 369, 150, 363, 149, 381, 150, 360, 
265, 150, 357, 149, 365, 150, 369, 150, 363, 150, 381, 150, 361, 
270, 150, 357, 149, 366, 149, 369, 150, 361, 149, 381, 149, 359, 
275, 150, 355, 149, 365, 150, 371, 150, 364, 149, 381, 150, 358, 
280, 150, 355, 150, 367, 149, 369, 149, 362, 149, 381, 150, 360, 
285, 149, 355, 149, 365, 150, 369, 150, 363, 150, 380, 150, 360, 
290, 150, 356, 149, 366, 150, 370, 150, 363, 150, 381, 150, 360, 
295, 150, 355, 150, 366, 150, 371, 150, 364, 149, 381, 150, 360, 
300, 150, 356, 149, 367, 150, 369, 150, 364, 150, 379, 150, 361, 
305, 150, 356, 149, 367, 150, 369, 150, 361, 150, 380, 149, 359, 
310, 150, 354, 149, 366, 150, 369, 150, 364, 149, 379, 150, 360, 
315, 150, 355, 150, 367, 150, 369, 150, 361, 150, 379, 149, 360, 
320, 149, 355, 149, 368, 149, 368, 150, 363, 149, 380, 150, 361, 
325, 150, 354, 150, 368, 150, 367, 150, 363, 150, 380, 150, 360, 
330, 150, 353, 149, 366, 150, 369, 150, 363, 150, 379, 150, 361, 
