t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 387, 149, 380, 150, 382, 149, 378, 150, 394, 150, 381, 
10, 150, 387, 149, 380, 150, 382, 150, 380, 150, 393, 150, 380, 
15, 150, 388, 149, 381, 149, 383, 149, 378, 150, 392, 149, 378, 
20, 150, 388, 149, 380, 150, 384, 150, 379, 149, 392, 150, 378, 
25, 150, 388, 149, 379, 150, 383, 151, 382, 150, 393, 150, 379, 
30, 150, 389, 150, 378, 150, 381, 150, 378, 150, 391, 150, 379, 
35, 150, 392, 149, 379, 149, 382, 149, 378, 150, 392, 150, 380, 
40, 150, 394, 150, 378, 150, 381, 150, 377, 149, 392, 150, 380, 
45, 150, 398, 149, 379, 150, 381, 150, 377, 150, 391, 150, 379, 
50, 150, 395, 150, 378, 150, 379, 150, 378, 150, 390, 150, 378, 
55, 150, 394, 149, 377, 149, 378, 149, 376, 150, 390, 150, 379, 
60, 150, 393, 150, 380, 150, 377, 150, 374, 150, 388, 149, 378, 
65, 150, 392, 149, 377, 149, 376, 149, 373, 150, 388, 150, 380, 
70, 150, 390, 149, 376, 150, 376, 150, 375, 150, 389, 150, 379, 
75, 150, 383, 149, 373, 149, 375, 149, 373, 150, 388, 150, 379, 
80, 150, 378, 150, 372, 149, 374, 150, 373, 149, 387, 150, 377, 
85, 150, 374, 149, 369, 150, 373, 150, 373, 150, 385, 150, 377, 
90, 150, 372, 149, 369, 150, 375, 150, 371, 150, 385, 150, 375, 
95, 150, 369, 149, 368, 150, 373, 149, 370, 149, 384, 150, 376, 
100, 150, 368, 149, 365, 149, 372, 150, 369, 150, 383, 150, 373, 
105, 150, 367, 149, 364, 149, 372, 149, 367, 150, 382, 150, 373, 
110, 150, 365, 149, 363, 149, 370, 150, 368, 149, 382, 149, 373, 
115, 150, 366, 149, 364, 150, 371, 149, 367, 150, 381, 150, 374, 
120, 149, 365, 149, 363, 150, 369, 149, 365, 149, 380, 150, 371, 
125, 150, 364, 149, 360, 149, 369, 150, 367, 150, 379, 150, 372, 
130, 149, 364, 149, 361, 150, 370, 150, 367, 150, 378, 150, 373, 
135, 150, 363, 149, 361, 149, 369, 149, 365, 149, 377, 150, 372, 
140, 150, 363, 149, 360, 150, 368, 150, 362, 150, 378, 150, 370, 
145, 150, 364, 150, 359, 149, 369, 149, 365, 150, 379, 150, 371, 
150, 149, 363, 149, 359, 150, 369, 150, 367, 150, 377, 150, 369, 
155, 149, 363, 149, 360, 149, 370, 149, 363, 149, 377, 150, 369, 
160, 149, 362, 149, 359, 150, 370, 150, 365, 149, 376, 150, 370, 
165, 150, 363, 149, 360, 150, 369, 150, 365, 150, 376, 150, 369, 
170, 150, 364, 149, 358, 149, 368, 149, 363, 149, 377, 149, 366, 
175, 150, 365, 149, 359, 150, 367, 149, 363, 150, 375, 150, 368, 
180, 150, 365, 150, 360, 150, 367, 150, 364, 150, 377, 150, 368, 
185, 149, 365, 149, 360, 150, 368, 149, 363, 150, 377, 150, 368, 
190, 149, 366, 149, 359, 150, 367, 150, 365, 149, 376, 150, 368, 
195, 150, 365, 149, 359, 150, 366, 150, 364, 150, 376, 150, 367, 
200, 150, 365, 149, 359, 150, 367, 150, 365, 150, 376, 150, 369, 
205, 150, 366, 149, 359, 149, 367, 150, 366, 149, 377, 149, 367, 
210, 149, 365, 149, 360, 150, 366, 150, 365, 149, 377, 149, 366, 
215, 150, 367, 149, 359, 150, 366, 149, 364, 150, 376, 150, 368, 
220, 150, 366, 149, 359, 149, 365, 150, 367, 149, 376, 150, 368, 
225, 150, 367, 149, 359, 150, 365, 150, 365, 150, 376, 150, 368, 
230, 150, 367, 150, 362, 149, 367, 150, 367, 149, 375, 150, 369, 
235, 150, 367, 149, 360, 150, 367, 150, 367, 150, 378, 150, 369, 
240, 150, 368, 150, 362, 150, 366, 149, 367, 149, 377, 150, 368, 
245, 149, 367, 149, 359, 150, 366, 149, 367, 150, 376, 150, 369, 
250, 150, 367, 150, 360, 150, 366, 150, 367, 149, 377, 150, 370, 
255, 150, 367, 149, 361, 150, 367, 149, 368, 150, 378, 150, 369, 
260, 150, 367, 149, 360, 150, 366, 150, 370, 149, 377, 150, 370, 
265, 150, 366, 149, 360, 150, 367, 150, 369, 150, 377, 149, 370, 
270, 150, 367, 150, 361, 149, 366, 149, 367, 149, 378, 150, 369, 
275, 150, 367, 150, 361, 150, 366, 150, 366, 150, 378, 150, 368, 
280, 150, 365, 149, 360, 149, 365, 150, 368, 149, 378, 149, 369, 
285, 150, 366, 149, 361, 150, 368, 149, 368, 150, 379, 150, 369, 
290, 150, 366, 149, 360, 150, 367, 150, 369, 150, 379, 150, 368, 
295, 150, 366, 149, 361, 150, 367, 150, 368, 149, 377, 150, 368, 
300, 150, 366, 149, 361, 149, 368, 149, 368, 149, 380, 149, 368, 
305, 150, 366, 149, 361, 150, 366, 149, 366, 150, 378, 150, 367, 
310, 150, 366, 149, 359, 149, 366, 149, 367, 150, 378, 149, 367, 
315, 150, 365, 149, 361, 149, 367, 150, 366, 149, 378, 150, 367, 
320, 150, 365, 149, 361, 150, 368, 150, 367, 150, 378, 150, 365, 
325, 150, 365, 149, 361, 150, 367, 150, 368, 149, 378, 150, 364, 
330, 150, 363, 149, 361, 150, 367, 150, 370, 149, 377, 149, 366, 
