t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 436, 149, 441, 150, 438, 149, 436, 150, 461, 150, 452, 
10, 150, 435, 149, 439, 150, 440, 150, 436, 150, 461, 150, 454, 
15, 150, 434, 149, 442, 150, 439, 150, 438, 149, 460, 150, 453, 
20, 150, 434, 149, 439, 149, 439, 150, 438, 150, 461, 150, 453, 
25, 150, 433, 149, 438, 150, 439, 150, 437, 150, 459, 150, 451, 
30, 150, 433, 149, 438, 150, 438, 150, 436, 149, 459, 149, 451, 
35, 150, 433, 149, 438, 150, 439, 149, 436, 149, 459, 150, 453, 
40, 150, 434, 149, 438, 150, 438, 149, 436, 150, 459, 149, 450, 
45, 149, 435, 149, 437, 150, 436, 150, 436, 150, 459, 150, 451, 
50, 150, 436, 149, 437, 150, 437, 149, 437, 150, 459, 149, 451, 
55, 150, 438, 149, 436, 150, 437, 150, 438, 149, 458, 150, 451, 
60, 150, 437, 149, 435, 149, 435, 149, 433, 150, 457, 149, 449, 
65, 150, 435, 150, 434, 150, 433, 150, 433, 149, 457, 150, 448, 
70, 149, 435, 150, 433, 149, 433, 149, 434, 150, 457, 150, 448, 
75, 150, 430, 149, 429, 150, 433, 150, 433, 150, 454, 150, 448, 
80, 150, 425, 149, 428, 149, 432, 150, 430, 150, 453, 150, 447, 
85, 150, 421, 149, 424, 150, 432, 150, 428, 150, 452, 149, 446, 
90, 150, 418, 149, 422, 150, 431, 150, 429, 150, 451, 150, 445, 
95, 150, 417, 149, 418, 150, 430, 149, 426, 149, 450, 150, 445, 
100, 150, 416, 149, 417, 149, 428, 150, 425, 150, 449, 150, 444, 
105, 150, 415, 149, 414, 150, 427, 150, 424, 149, 447, 149, 441, 
110, 149, 415, 149, 412, 150, 427, 150, 424, 150, 446, 150, 441, 
115, 150, 414, 149, 410, 150, 426, 149, 425, 150, 446, 150, 441, 
120, 150, 412, 149, 410, 150, 425, 149, 421, 150, 444, 149, 440, 
125, 150, 413, 149, 411, 150, 423, 150, 422, 150, 444, 150, 439, 
130, 150, 413, 149, 412, 150, 425, 149, 419, 150, 444, 150, 439, 
135, 150, 413, 150, 411, 150, 424, 150, 419, 150, 443, 149, 439, 
140, 150, 413, 149, 411, 149, 423, 149, 420, 149, 442, 150, 439, 
145, 150, 413, 150, 412, 149, 425, 149, 420, 149, 443, 150, 437, 
150, 150, 413, 149, 411, 150, 424, 150, 418, 149, 443, 150, 438, 
155, 149, 411, 149, 412, 150, 424, 150, 418, 150, 442, 150, 437, 
160, 150, 414, 149, 413, 149, 422, 150, 419, 149, 443, 150, 435, 
165, 150, 413, 149, 411, 149, 423, 150, 419, 149, 444, 149, 435, 
170, 150, 414, 150, 415, 149, 422, 149, 416, 149, 444, 150, 435, 
175, 150, 413, 149, 415, 150, 423, 150, 421, 150, 445, 150, 435, 
180, 150, 413, 149, 414, 150, 425, 149, 420, 150, 446, 150, 437, 
185, 150, 414, 150, 416, 150, 424, 149, 418, 150, 445, 150, 439, 
190, 150, 414, 149, 417, 150, 423, 150, 420, 150, 447, 150, 437, 
195, 150, 413, 149, 418, 150, 425, 149, 419, 150, 447, 150, 437, 
200, 150, 413, 149, 419, 149, 425, 150, 422, 150, 448, 150, 438, 
205, 150, 414, 149, 421, 150, 426, 149, 420, 150, 447, 150, 438, 
210, 150, 414, 149, 421, 150, 425, 150, 421, 149, 448, 150, 439, 
215, 150, 414, 150, 423, 150, 426, 150, 421, 149, 448, 150, 440, 
220, 150, 414, 149, 423, 149, 428, 150, 422, 150, 449, 150, 441, 
225, 150, 414, 149, 422, 150, 427, 149, 423, 149, 448, 150, 441, 
230, 150, 414, 150, 424, 150, 428, 150, 423, 149, 449, 150, 441, 
235, 150, 414, 150, 423, 150, 429, 150, 422, 150, 449, 149, 441, 
240, 150, 414, 150, 423, 150, 428, 149, 424, 149, 447, 150, 440, 
245, 150, 414, 149, 424, 149, 429, 150, 424, 150, 449, 149, 440, 
250, 150, 415, 149, 426, 149, 428, 150, 423, 149, 449, 150, 441, 
255, 150, 415, 150, 426, 149, 428, 150, 423, 150, 449, 150, 443, 
260, 150, 415, 149, 426, 150, 427, 149, 425, 149, 449, 150, 441, 
265, 150, 415, 149, 426, 150, 429, 149, 425, 150, 451, 150, 440, 
270, 150, 414, 149, 426, 149, 429, 150, 424, 149, 450, 150, 442, 
275, 150, 414, 149, 427, 150, 428, 149, 426, 149, 450, 150, 441, 
280, 150, 415, 149, 425, 149, 427, 149, 426, 149, 449, 150, 440, 
285, 150, 415, 149, 425, 150, 430, 150, 425, 150, 452, 150, 442, 
290, 150, 415, 150, 424, 149, 427, 150, 426, 149, 449, 150, 441, 
295, 149, 415, 149, 424, 150, 429, 149, 427, 150, 449, 150, 440, 
300, 150, 415, 150, 425, 150, 429, 150, 426, 150, 449, 150, 441, 
305, 150, 414, 150, 426, 150, 428, 149, 424, 150, 449, 150, 440, 
310, 150, 415, 149, 424, 150, 428, 149, 425, 150, 450, 150, 441, 
315, 150, 415, 149, 426, 149, 428, 150, 424, 149, 449, 150, 440, 
320, 150, 414, 149, 426, 150, 427, 149, 425, 150, 448, 150, 440, 
325, 150, 414, 149, 425, 150, 427, 149, 426, 150, 450, 150, 438, 
330, 150, 414, 149, 425, 150, 427, 149, 425, 149, 448, 150, 440, 
