t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 504, 149, 513, 149, 501, 149, 497, 150, 528, 150, 505, 
10, 150, 503, 150, 512, 150, 503, 150, 497, 150, 524, 150, 506, 
15, 150, 503, 150, 512, 149, 503, 149, 494, 150, 525, 150, 505, 
20, 150, 503, 150, 513, 150, 501, 150, 496, 150, 525, 149, 504, 
25, 150, 504, 149, 510, 150, 502, 150, 496, 150, 524, 150, 504, 
30, 150, 506, 149, 510, 149, 501, 149, 496, 149, 524, 150, 504, 
35, 150, 509, 150, 509, 150, 501, 149, 496, 150, 525, 150, 504, 
40, 150, 504, 150, 509, 149, 502, 149, 493, 150, 523, 150, 505, 
45, 150, 500, 150, 507, 150, 500, 150, 496, 150, 523, 149, 502, 
50, 149, 497, 149, 507, 149, 500, 150, 495, 149, 522, 150, 502, 
55, 150, 495, 149, 507, 150, 499, 150, 494, 150, 521, 150, 501, 
60, 150, 492, 149, 506, 149, 498, 149, 491, 150, 520, 150, 500, 
65, 150, 491, 149, 505, 150, 497, 150, 493, 149, 520, 150, 499, 
70, 150, 490, 149, 505, 149, 496, 150, 492, 150, 519, 150, 499, 
75, 150, 490, 149, 503, 149, 495, 149, 490, 150, 518, 149, 497, 
80, 150, 488, 150, 503, 150, 492, 149, 490, 150, 518, 150, 495, 
85, 149, 489, 149, 503, 149, 492, 150, 493, 150, 517, 150, 497, 
90, 150, 489, 149, 501, 150, 492, 150, 488, 150, 515, 150, 497, 
95, 149, 489, 149, 499, 149, 491, 149, 487, 150, 516, 150, 495, 
100, 150, 489, 149, 499, 150, 491, 150, 489, 150, 516, 150, 495, 
105, 150, 489, 150, 500, 150, 491, 150, 488, 150, 515, 149, 494, 
110, 150, 489, 149, 498, 150, 490, 149, 485, 149, 514, 150, 494, 
115, 150, 489, 149, 498, 150, 489, 149, 485, 149, 516, 150, 491, 
120, 150, 488, 149, 498, 150, 489, 149, 484, 149, 514, 149, 492, 
125, 150, 488, 149, 497, 149, 489, 149, 482, 149, 513, 150, 490, 
130, 150, 488, 149, 498, 150, 489, 149, 484, 150, 513, 149, 489, 
135, 150, 487, 149, 498, 149, 488, 149, 483, 149, 512, 150, 489, 
140, 150, 489, 149, 498, 150, 489, 150, 483, 150, 512, 149, 489, 
145, 150, 489, 149, 496, 149, 487, 149, 481, 150, 513, 149, 489, 
150, 150, 489, 149, 498, 149, 486, 150, 482, 150, 515, 150, 489, 
155, 150, 489, 149, 496, 150, 488, 150, 482, 149, 512, 150, 489, 
160, 150, 488, 149, 499, 149, 487, 149, 479, 149, 511, 150, 490, 
165, 150, 490, 150, 498, 150, 487, 150, 482, 150, 512, 150, 489, 
170, 150, 488, 149, 499, 150, 487, 149, 481, 150, 512, 150, 490, 
175, 149, 488, 149, 498, 150, 487, 149, 481, 150, 511, 149, 489, 
180, 150, 488, 150, 498, 149, 489, 150, 480, 149, 511, 150, 488, 
185, 150, 488, 149, 498, 149, 487, 149, 481, 149, 510, 150, 489, 
190, 150, 488, 150, 497, 150, 488, 150, 482, 150, 511, 150, 489, 
195, 150, 489, 150, 496, 149, 487, 149, 481, 150, 511, 150, 489, 
200, 150, 489, 150, 498, 150, 487, 150, 482, 150, 513, 149, 489, 
205, 150, 488, 149, 497, 150, 488, 149, 480, 149, 511, 150, 489, 
210, 150, 488, 149, 495, 150, 488, 149, 479, 149, 511, 149, 488, 
215, 150, 488, 149, 496, 150, 487, 150, 481, 150, 511, 150, 488, 
220, 150, 489, 149, 497, 149, 487, 149, 480, 149, 511, 149, 489, 
225, 150, 488, 150, 496, 149, 487, 149, 478, 149, 510, 150, 489, 
230, 150, 489, 149, 496, 150, 488, 149, 479, 150, 511, 150, 487, 
235, 150, 489, 149, 497, 150, 487, 150, 479, 150, 511, 149, 489, 
240, 150, 488, 149, 496, 150, 488, 149, 477, 150, 510, 150, 489, 
245, 150, 488, 149, 495, 150, 488, 151, 478, 150, 511, 150, 488, 
250, 150, 488, 149, 497, 150, 487, 150, 478, 150, 512, 149, 486, 
255, 150, 488, 149, 497, 149, 487, 149, 479, 150, 510, 150, 488, 
260, 150, 488, 149, 496, 149, 487, 149, 477, 149, 509, 150, 488, 
265, 150, 487, 150, 496, 150, 488, 150, 478, 150, 510, 150, 488, 
270, 150, 487, 149, 497, 149, 488, 149, 478, 149, 508, 150, 487, 
275, 150, 487, 150, 496, 150, 489, 149, 478, 149, 509, 150, 488, 
280, 149, 486, 149, 495, 149, 487, 149, 477, 150, 509, 150, 487, 
285, 149, 486, 149, 496, 149, 486, 149, 477, 149, 508, 150, 486, 
290, 150, 486, 149, 495, 150, 487, 149, 477, 150, 509, 150, 487, 
295, 150, 486, 149, 495, 150, 486, 149, 475, 149, 509, 150, 485, 
300, 150, 485, 150, 496, 150, 486, 150, 476, 150, 508, 150, 484, 
305, 150, 485, 149, 496, 149, 488, 149, 476, 149, 506, 149, 485, 
310, 150, 484, 149, 494, 150, 487, 149, 475, 149, 508, 149, 483, 
315, 149, 484, 149, 494, 150, 487, 150, 475, 150, 507, 150, 484, 
320, 150, 482, 149, 495, 149, 486, 150, 473, 150, 505, 150, 484, 
325, 150, 482, 149, 495, 149, 487, 149, 474, 150, 507, 150, 484, 
330, 150, 481, 149, 494, 150, 486, 149, 473, 149, 507, 149, 484, 
