t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 444, 149, 434, 150, 435, 149, 427, 150, 451, 150, 435, 
10, 150, 441, 149, 434, 149, 434, 150, 424, 150, 451, 150, 434, 
15, 149, 441, 149, 435, 150, 432, 149, 424, 150, 452, 150, 437, 
20, 150, 442, 149, 434, 150, 434, 150, 422, 150, 451, 150, 437, 
25, 150, 442, 149, 434, 150, 435, 150, 427, 150, 452, 150, 435, 
30, 150, 445, 150, 433, 150, 435, 150, 423, 149, 450, 150, 435, 
35, 150, 444, 150, 433, 149, 433, 149, 425, 149, 451, 149, 435, 
40, 150, 449, 149, 432, 150, 435, 149, 423, 150, 451, 150, 433, 
45, 150, 451, 150, 432, 149, 434, 150, 423, 149, 450, 150, 436, 
50, 150, 445, 149, 431, 150, 432, 150, 424, 150, 451, 150, 436, 
55, 150, 437, 149, 429, 150, 432, 151, 426, 150, 450, 150, 438, 
60, 150, 430, 149, 427, 149, 430, 150, 420, 150, 448, 150, 435, 
65, 150, 428, 149, 426, 149, 428, 149, 418, 150, 450, 150, 435, 
70, 149, 424, 149, 425, 149, 426, 150, 420, 149, 448, 150, 436, 
75, 150, 424, 150, 425, 150, 427, 150, 420, 149, 450, 150, 433, 
80, 150, 424, 150, 423, 149, 425, 149, 417, 150, 448, 149, 435, 
85, 150, 424, 150, 421, 150, 423, 149, 418, 149, 448, 150, 433, 
90, 150, 423, 150, 421, 149, 425, 149, 416, 149, 449, 150, 433, 
95, 150, 423, 150, 420, 150, 424, 150, 415, 149, 448, 149, 434, 
100, 150, 422, 149, 420, 150, 421, 150, 415, 150, 449, 150, 434, 
105, 150, 422, 149, 420, 150, 421, 150, 416, 149, 448, 150, 433, 
110, 149, 420, 150, 420, 150, 421, 150, 413, 150, 449, 150, 433, 
115, 150, 419, 149, 419, 150, 419, 150, 410, 150, 449, 149, 433, 
120, 150, 419, 150, 418, 150, 417, 150, 411, 150, 448, 149, 434, 
125, 150, 418, 149, 419, 150, 419, 150, 410, 150, 450, 150, 432, 
130, 150, 419, 150, 420, 149, 417, 149, 407, 150, 450, 150, 434, 
135, 150, 420, 149, 418, 149, 418, 150, 408, 149, 449, 150, 435, 
140, 150, 418, 149, 417, 150, 417, 150, 408, 150, 450, 150, 436, 
145, 150, 419, 150, 417, 150, 417, 150, 406, 149, 451, 149, 436, 
150, 150, 420, 150, 416, 149, 416, 149, 406, 150, 453, 150, 437, 
155, 150, 419, 149, 415, 149, 414, 150, 406, 149, 453, 150, 436, 
160, 149, 420, 149, 414, 150, 415, 150, 407, 149, 454, 150, 436, 
165, 150, 419, 149, 416, 150, 414, 149, 403, 149, 456, 150, 438, 
170, 150, 420, 150, 415, 149, 412, 149, 405, 150, 457, 149, 439, 
175, 150, 419, 149, 413, 150, 413, 149, 404, 150, 458, 150, 439, 
180, 150, 418, 150, 414, 149, 413, 150, 405, 149, 459, 150, 443, 
185, 150, 418, 150, 414, 149, 410, 150, 406, 150, 462, 150, 443, 
190, 150, 417, 150, 414, 150, 413, 149, 404, 150, 463, 149, 444, 
195, 150, 417, 149, 413, 150, 414, 149, 404, 150, 463, 150, 444, 
200, 150, 414, 149, 415, 149, 413, 149, 401, 149, 464, 150, 447, 
205, 150, 413, 149, 413, 149, 413, 149, 405, 149, 466, 150, 447, 
210, 150, 415, 150, 416, 150, 414, 150, 404, 150, 468, 150, 447, 
215, 150, 415, 149, 416, 149, 412, 149, 402, 150, 469, 150, 451, 
220, 150, 414, 150, 415, 149, 410, 150, 403, 150, 471, 149, 452, 
225, 150, 414, 149, 415, 149, 412, 150, 406, 149, 473, 150, 452, 
230, 150, 413, 150, 416, 150, 412, 150, 403, 149, 474, 149, 454, 
235, 150, 414, 149, 416, 150, 410, 150, 403, 150, 475, 149, 456, 
240, 149, 413, 149, 415, 149, 412, 149, 403, 149, 477, 150, 458, 
245, 150, 412, 150, 416, 150, 411, 150, 403, 150, 477, 150, 458, 
250, 150, 412, 149, 417, 149, 412, 149, 401, 149, 479, 150, 462, 
255, 149, 411, 149, 416, 149, 410, 149, 402, 150, 481, 149, 462, 
260, 150, 412, 149, 416, 150, 411, 150, 403, 150, 483, 149, 464, 
265, 150, 411, 149, 416, 149, 410, 150, 400, 150, 483, 150, 466, 
270, 150, 411, 149, 415, 150, 409, 149, 402, 150, 485, 149, 466, 
275, 150, 410, 149, 416, 149, 410, 149, 402, 150, 486, 150, 466, 
280, 149, 411, 149, 415, 149, 411, 149, 402, 149, 485, 149, 470, 
285, 150, 410, 149, 416, 149, 409, 150, 401, 150, 488, 150, 472, 
290, 149, 410, 150, 416, 149, 410, 150, 401, 149, 488, 150, 472, 
295, 150, 410, 150, 415, 150, 410, 149, 401, 150, 489, 150, 471, 
300, 149, 409, 149, 415, 150, 408, 149, 400, 150, 490, 150, 475, 
305, 150, 409, 150, 415, 149, 407, 149, 400, 149, 491, 150, 475, 
310, 150, 409, 149, 415, 150, 409, 149, 399, 150, 492, 150, 476, 
315, 150, 408, 150, 414, 150, 408, 150, 400, 150, 494, 149, 477, 
320, 150, 408, 149, 414, 149, 406, 150, 398, 150, 494, 150, 476, 
325, 150, 408, 149, 414, 149, 407, 150, 397, 149, 494, 150, 479, 
330, 150, 407, 149, 414, 150, 408, 149, 397, 149, 495, 149, 479, 
