t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 307, 149, 323, 150, 398, 150, 381, 149, 481, 150, 481, 
10, 150, 321, 149, 348, 149, 437, 150, 397, 149, 495, 150, 490, 
15, 150, 346, 149, 380, 150, 465, 150, 419, 150, 501, 149, 493, 
20, 150, 372, 149, 413, 150, 477, 151, 441, 150, 504, 150, 498, 
25, 150, 400, 150, 441, 150, 485, 149, 449, 150, 505, 150, 499, 
30, 150, 423, 149, 459, 149, 488, 149, 456, 150, 508, 150, 499, 
35, 150, 435, 149, 465, 149, 490, 149, 460, 150, 510, 150, 501, 
40, 150, 443, 149, 470, 149, 490, 150, 464, 150, 511, 150, 502, 
45, 150, 444, 149, 467, 149, 488, 149, 465, 149, 510, 150, 501, 
50, 150, 441, 149, 459, 150, 487, 150, 466, 150, 511, 149, 500, 
55, 149, 439, 150, 456, 150, 486, 149, 469, 149, 511, 150, 495, 
60, 150, 437, 149, 451, 150, 477, 149, 472, 149, 508, 149, 488, 
65, 149, 434, 149, 447, 150, 468, 150, 471, 149, 502, 150, 473, 
70, 150, 433, 149, 446, 149, 462, 150, 474, 150, 497, 149, 456, 
75, 150, 432, 149, 443, 149, 452, 149, 475, 150, 486, 150, 436, 
80, 149, 431, 150, 442, 149, 445, 150, 471, 149, 480, 149, 411, 
85, 150, 430, 149, 441, 149, 441, 150, 459, 150, 473, 150, 385, 
90, 150, 429, 150, 443, 149, 435, 150, 448, 149, 461, 150, 377, 
95, 150, 429, 150, 442, 150, 428, 149, 435, 149, 452, 150, 364, 
100, 150, 427, 149, 443, 150, 423, 149, 426, 149, 444, 149, 360, 
105, 150, 427, 150, 444, 150, 414, 150, 419, 149, 438, 150, 351, 
110, 150, 427, 149, 444, 150, 396, 149, 416, 150, 428, 150, 353, 
115, 149, 427, 149, 444, 149, 390, 150, 408, 149, 419, 149, 348, 
120, 150, 427, 150, 444, 150, 372, 150, 407, 149, 411, 150, 344, 
125, 150, 426, 149, 444, 150, 365, 149, 401, 149, 401, 150, 345, 
130, 150, 426, 150, 443, 150, 360, 150, 398, 149, 396, 149, 339, 
135, 150, 426, 149, 442, 150, 357, 150, 392, 150, 393, 149, 336, 
140, 150, 425, 149, 442, 149, 353, 150, 392, 149, 391, 150, 336, 
145, 150, 425, 150, 441, 150, 348, 150, 385, 150, 389, 150, 332, 
150, 149, 424, 149, 439, 150, 344, 149, 381, 150, 390, 150, 330, 
155, 150, 424, 150, 441, 150, 341, 150, 368, 149, 386, 149, 323, 
160, 150, 424, 149, 441, 150, 337, 150, 361, 150, 371, 150, 325, 
165, 150, 424, 150, 439, 149, 337, 149, 352, 150, 367, 150, 323, 
170, 150, 424, 150, 438, 150, 337, 150, 345, 150, 361, 150, 319, 
175, 150, 424, 149, 437, 149, 331, 149, 337, 149, 352, 150, 316, 
180, 150, 424, 149, 438, 150, 328, 150, 334, 150, 350, 149, 312, 
185, 149, 422, 149, 436, 150, 326, 149, 325, 150, 347, 150, 308, 
190, 150, 422, 150, 437, 149, 323, 150, 321, 149, 343, 150, 306, 
195, 150, 422, 149, 437, 149, 318, 150, 319, 150, 343, 150, 300, 
200, 150, 422, 149, 435, 150, 312, 149, 310, 150, 339, 150, 299, 
205, 150, 421, 150, 434, 150, 310, 150, 311, 150, 335, 149, 301, 
210, 150, 421, 149, 434, 149, 309, 150, 304, 150, 334, 149, 296, 
215, 150, 419, 149, 434, 150, 302, 150, 301, 149, 329, 149, 293, 
220, 150, 419, 149, 431, 150, 300, 149, 294, 150, 330, 150, 291, 
225, 150, 418, 149, 430, 150, 293, 150, 293, 149, 324, 150, 293, 
230, 150, 417, 149, 430, 150, 291, 150, 289, 150, 323, 149, 285, 
235, 150, 416, 149, 428, 150, 294, 150, 289, 150, 323, 150, 281, 
240, 150, 415, 149, 428, 150, 290, 150, 285, 149, 321, 150, 290, 
245, 150, 414, 149, 427, 150, 288, 150, 292, 149, 320, 150, 281, 
250, 150, 412, 149, 425, 150, 284, 150, 285, 149, 316, 149, 285, 
255, 150, 412, 149, 424, 149, 287, 149, 287, 150, 312, 150, 285, 
260, 150, 411, 149, 424, 150, 286, 150, 282, 149, 312, 150, 286, 
265, 150, 409, 150, 422, 149, 283, 150, 280, 150, 311, 149, 282, 
270, 150, 407, 149, 419, 149, 286, 150, 277, 150, 313, 150, 273, 
275, 150, 405, 149, 420, 150, 283, 150, 275, 149, 308, 150, 276, 
280, 150, 402, 149, 419, 150, 278, 150, 276, 150, 304, 150, 270, 
285, 149, 401, 149, 418, 150, 280, 150, 271, 150, 302, 150, 275, 
290, 150, 399, 150, 417, 150, 280, 150, 266, 149, 301, 150, 270, 
295, 150, 398, 149, 416, 150, 278, 150, 268, 150, 296, 150, 269, 
300, 150, 397, 149, 414, 150, 275, 150, 264, 150, 297, 150, 271, 
305, 150, 395, 149, 413, 149, 274, 150, 260, 150, 295, 150, 271, 
310, 150, 395, 149, 413, 150, 274, 150, 263, 149, 293, 150, 275, 
315, 149, 392, 150, 412, 149, 270, 150, 258, 150, 290, 149, 261, 
320, 150, 390, 149, 408, 150, 269, 150, 256, 149, 292, 150, 261, 
325, 150, 387, 149, 407, 149, 272, 149, 260, 149, 292, 150, 265, 
330, 150, 386, 149, 405, 150, 265, 150, 254, 149, 288, 149, 261, 
