t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 421, 150, 425, 149, 415, 149, 420, 150, 454, 149, 446, 
10, 150, 422, 149, 424, 150, 415, 149, 420, 149, 453, 150, 445, 
15, 150, 423, 149, 423, 150, 414, 149, 420, 149, 452, 150, 447, 
20, 150, 425, 149, 422, 149, 412, 149, 421, 149, 452, 150, 447, 
25, 150, 428, 149, 422, 149, 412, 150, 422, 149, 452, 150, 447, 
30, 150, 433, 149, 421, 150, 412, 150, 421, 150, 452, 150, 449, 
35, 150, 434, 149, 421, 150, 411, 149, 422, 150, 451, 149, 446, 
40, 150, 432, 149, 419, 149, 411, 150, 419, 150, 451, 150, 447, 
45, 150, 423, 149, 418, 150, 411, 149, 418, 150, 451, 150, 446, 
50, 150, 414, 149, 415, 149, 408, 150, 422, 150, 449, 149, 444, 
55, 150, 406, 149, 413, 150, 407, 149, 417, 149, 444, 150, 442, 
60, 150, 401, 150, 412, 150, 405, 150, 415, 150, 444, 150, 439, 
65, 150, 399, 149, 409, 149, 403, 149, 415, 149, 441, 150, 439, 
70, 150, 395, 149, 407, 150, 402, 149, 414, 150, 440, 150, 436, 
75, 149, 393, 149, 406, 149, 403, 149, 412, 150, 441, 150, 437, 
80, 150, 392, 149, 406, 150, 403, 149, 411, 150, 439, 150, 436, 
85, 150, 393, 149, 404, 149, 401, 150, 411, 150, 438, 149, 435, 
90, 150, 392, 149, 405, 149, 399, 149, 410, 149, 436, 150, 433, 
95, 150, 391, 149, 403, 150, 400, 149, 406, 150, 438, 150, 434, 
100, 150, 392, 150, 403, 150, 400, 150, 407, 150, 436, 150, 433, 
105, 150, 393, 149, 401, 149, 397, 149, 407, 150, 434, 150, 434, 
110, 150, 393, 149, 401, 150, 398, 150, 406, 150, 435, 149, 431, 
115, 150, 394, 149, 401, 149, 398, 150, 406, 149, 434, 150, 434, 
120, 150, 394, 150, 402, 150, 396, 149, 407, 150, 436, 150, 432, 
125, 150, 395, 149, 402, 150, 397, 150, 407, 150, 437, 150, 433, 
130, 150, 397, 149, 401, 150, 398, 150, 408, 149, 436, 150, 433, 
135, 150, 397, 150, 402, 149, 396, 150, 408, 150, 438, 150, 435, 
140, 150, 399, 149, 402, 149, 394, 149, 409, 149, 438, 150, 432, 
145, 150, 400, 150, 402, 149, 397, 149, 407, 150, 441, 150, 435, 
150, 150, 401, 149, 401, 149, 397, 150, 409, 150, 441, 150, 435, 
155, 150, 403, 149, 402, 150, 396, 149, 411, 150, 443, 149, 434, 
160, 150, 403, 149, 402, 150, 398, 150, 411, 149, 442, 150, 435, 
165, 150, 405, 149, 402, 150, 398, 149, 412, 150, 442, 150, 435, 
170, 150, 406, 150, 403, 150, 398, 150, 414, 150, 446, 150, 439, 
175, 150, 408, 149, 403, 149, 398, 149, 412, 150, 445, 150, 436, 
180, 150, 409, 149, 403, 149, 400, 149, 411, 149, 444, 149, 438, 
185, 150, 408, 150, 405, 149, 398, 150, 415, 150, 444, 150, 437, 
190, 150, 409, 149, 403, 150, 398, 149, 415, 149, 443, 150, 437, 
195, 150, 409, 150, 405, 149, 398, 150, 414, 150, 446, 149, 437, 
200, 149, 409, 149, 405, 150, 398, 149, 415, 150, 444, 149, 438, 
205, 150, 410, 149, 405, 150, 401, 149, 415, 150, 444, 150, 438, 
210, 149, 411, 149, 406, 149, 401, 149, 416, 149, 444, 150, 436, 
215, 150, 412, 149, 404, 150, 401, 149, 415, 149, 444, 150, 439, 
220, 150, 411, 149, 407, 150, 402, 150, 416, 150, 446, 150, 440, 
225, 149, 409, 149, 408, 149, 401, 149, 417, 150, 444, 150, 437, 
230, 150, 410, 149, 407, 149, 402, 150, 415, 150, 445, 149, 437, 
235, 149, 411, 150, 407, 150, 402, 149, 415, 150, 444, 150, 435, 
240, 150, 410, 149, 408, 149, 401, 149, 416, 150, 445, 150, 437, 
245, 150, 413, 149, 408, 150, 402, 150, 415, 149, 444, 150, 436, 
250, 150, 410, 149, 407, 149, 401, 149, 415, 150, 446, 150, 437, 
255, 150, 410, 149, 408, 149, 401, 150, 415, 150, 444, 150, 437, 
260, 150, 409, 149, 409, 150, 403, 150, 414, 149, 445, 150, 434, 
265, 150, 410, 149, 406, 149, 404, 149, 413, 150, 445, 150, 436, 
270, 150, 411, 150, 409, 149, 404, 150, 415, 149, 445, 149, 434, 
275, 149, 409, 149, 409, 149, 403, 149, 414, 150, 444, 150, 434, 
280, 150, 410, 150, 408, 150, 403, 150, 411, 150, 445, 150, 434, 
285, 150, 409, 150, 408, 150, 403, 149, 412, 150, 444, 150, 435, 
290, 150, 408, 149, 408, 149, 400, 149, 412, 150, 443, 149, 435, 
295, 150, 408, 150, 407, 150, 406, 150, 411, 150, 444, 150, 433, 
300, 150, 407, 149, 407, 150, 405, 149, 413, 150, 444, 150, 433, 
305, 150, 408, 150, 407, 150, 404, 150, 413, 150, 444, 150, 434, 
310, 150, 407, 149, 406, 150, 401, 149, 412, 150, 444, 150, 431, 
315, 150, 408, 149, 406, 150, 403, 149, 410, 150, 444, 150, 432, 
320, 150, 407, 150, 406, 150, 403, 150, 411, 150, 445, 149, 432, 
325, 150, 407, 149, 405, 150, 401, 149, 411, 150, 441, 150, 433, 
330, 150, 407, 149, 406, 150, 403, 150, 410, 150, 443, 150, 435, 
