t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 398, 149, 391, 149, 388, 150, 390, 150, 410, 150, 402, 
10, 149, 397, 149, 391, 149, 389, 150, 389, 150, 412, 150, 403, 
15, 150, 398, 150, 389, 150, 388, 150, 388, 150, 411, 150, 401, 
20, 150, 401, 149, 390, 150, 387, 149, 387, 150, 412, 150, 401, 
25, 150, 401, 149, 391, 150, 388, 150, 389, 150, 411, 150, 400, 
30, 150, 403, 149, 389, 149, 387, 150, 389, 150, 411, 150, 400, 
35, 149, 404, 149, 388, 150, 388, 149, 387, 150, 412, 150, 402, 
40, 150, 406, 149, 390, 150, 388, 150, 387, 150, 411, 150, 400, 
45, 150, 409, 149, 386, 150, 385, 150, 389, 150, 410, 150, 400, 
50, 150, 404, 149, 387, 149, 386, 150, 389, 150, 410, 150, 399, 
55, 150, 397, 149, 386, 149, 386, 150, 388, 150, 409, 150, 400, 
60, 150, 388, 149, 384, 150, 386, 150, 385, 149, 406, 149, 397, 
65, 150, 385, 149, 385, 150, 383, 149, 386, 150, 405, 150, 394, 
70, 150, 384, 149, 384, 150, 383, 150, 384, 150, 407, 150, 395, 
75, 149, 383, 149, 382, 149, 382, 150, 385, 150, 402, 150, 394, 
80, 150, 380, 149, 379, 149, 380, 149, 383, 150, 402, 149, 395, 
85, 150, 379, 149, 377, 149, 379, 150, 379, 149, 402, 150, 395, 
90, 150, 379, 149, 377, 149, 376, 149, 380, 150, 400, 150, 392, 
95, 150, 378, 149, 376, 149, 376, 150, 381, 149, 402, 149, 393, 
100, 150, 377, 149, 377, 149, 375, 149, 380, 150, 401, 150, 392, 
105, 150, 377, 149, 377, 149, 375, 150, 377, 150, 402, 149, 392, 
110, 150, 376, 149, 374, 149, 373, 150, 378, 150, 400, 150, 389, 
115, 150, 376, 150, 374, 149, 374, 150, 378, 150, 400, 150, 392, 
120, 150, 375, 149, 373, 150, 375, 149, 376, 150, 396, 150, 391, 
125, 150, 375, 149, 372, 149, 372, 150, 374, 150, 396, 150, 389, 
130, 150, 375, 149, 372, 150, 374, 149, 377, 150, 396, 150, 388, 
135, 150, 374, 149, 372, 149, 371, 149, 376, 149, 397, 149, 388, 
140, 149, 377, 149, 370, 150, 371, 150, 376, 150, 396, 150, 386, 
145, 150, 376, 149, 372, 149, 371, 150, 374, 150, 395, 150, 387, 
150, 149, 376, 149, 370, 150, 371, 149, 372, 149, 395, 150, 387, 
155, 149, 376, 149, 370, 150, 371, 150, 372, 150, 396, 150, 388, 
160, 150, 374, 149, 372, 149, 371, 150, 371, 150, 396, 150, 386, 
165, 150, 375, 149, 371, 150, 371, 150, 373, 149, 395, 150, 386, 
170, 150, 376, 149, 372, 150, 371, 150, 375, 150, 394, 150, 386, 
175, 149, 375, 149, 372, 149, 369, 149, 372, 149, 393, 150, 388, 
180, 150, 376, 150, 372, 150, 368, 149, 372, 150, 393, 150, 386, 
185, 150, 375, 149, 370, 150, 371, 150, 374, 149, 394, 150, 386, 
190, 150, 376, 149, 370, 150, 370, 149, 374, 150, 394, 150, 387, 
195, 150, 377, 149, 371, 150, 370, 150, 371, 150, 396, 150, 387, 
200, 150, 376, 149, 371, 150, 369, 149, 372, 150, 396, 150, 386, 
205, 150, 376, 149, 370, 150, 370, 150, 374, 149, 394, 150, 386, 
210, 150, 376, 150, 371, 150, 371, 149, 370, 150, 395, 150, 388, 
215, 149, 377, 149, 371, 150, 371, 150, 372, 149, 394, 149, 386, 
220, 150, 377, 149, 371, 150, 370, 149, 371, 150, 394, 150, 386, 
225, 150, 377, 149, 372, 150, 371, 150, 373, 150, 394, 149, 386, 
230, 150, 379, 150, 371, 150, 371, 149, 372, 149, 395, 150, 386, 
235, 150, 379, 149, 373, 149, 371, 150, 372, 149, 395, 149, 386, 
240, 150, 378, 150, 372, 150, 370, 150, 374, 150, 394, 150, 386, 
245, 150, 379, 150, 372, 149, 371, 150, 374, 150, 395, 150, 386, 
250, 150, 379, 149, 375, 150, 373, 149, 373, 150, 395, 149, 386, 
255, 149, 379, 149, 375, 149, 372, 150, 373, 149, 394, 149, 385, 
260, 150, 379, 150, 374, 150, 370, 150, 374, 150, 396, 150, 384, 
265, 150, 379, 149, 374, 150, 372, 150, 373, 150, 396, 150, 386, 
270, 150, 380, 149, 375, 149, 372, 150, 374, 149, 395, 150, 385, 
275, 150, 380, 149, 374, 149, 371, 150, 374, 150, 395, 150, 386, 
280, 149, 381, 150, 374, 150, 373, 150, 375, 150, 394, 150, 387, 
285, 149, 381, 149, 376, 150, 373, 149, 373, 149, 393, 150, 385, 
290, 150, 381, 150, 376, 149, 374, 149, 373, 149, 395, 150, 385, 
295, 150, 381, 149, 375, 149, 373, 150, 374, 150, 394, 150, 386, 
300, 149, 381, 149, 375, 149, 373, 150, 374, 150, 394, 150, 386, 
305, 150, 380, 149, 376, 150, 372, 150, 377, 150, 394, 150, 385, 
310, 150, 380, 150, 375, 150, 373, 150, 373, 149, 394, 150, 385, 
315, 150, 380, 149, 377, 150, 373, 150, 374, 150, 394, 150, 386, 
320, 150, 380, 149, 375, 150, 372, 150, 373, 150, 395, 150, 385, 
325, 150, 380, 149, 376, 150, 372, 150, 376, 149, 393, 150, 384, 
330, 150, 380, 149, 375, 150, 373, 150, 375, 150, 392, 149, 385, 
