t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 428, 149, 414, 149, 414, 149, 424, 150, 442, 149, 431, 
10, 150, 428, 149, 413, 150, 413, 150, 424, 150, 443, 150, 432, 
15, 150, 429, 149, 413, 149, 414, 150, 424, 150, 442, 150, 432, 
20, 150, 431, 150, 414, 149, 414, 150, 428, 150, 443, 150, 432, 
25, 150, 434, 149, 412, 149, 414, 150, 423, 150, 442, 150, 431, 
30, 150, 436, 149, 411, 149, 415, 150, 426, 150, 442, 150, 430, 
35, 150, 440, 149, 412, 149, 413, 150, 425, 149, 442, 150, 432, 
40, 150, 445, 149, 414, 149, 413, 149, 422, 149, 443, 149, 431, 
45, 150, 447, 149, 413, 149, 414, 151, 428, 150, 441, 150, 432, 
50, 150, 437, 150, 414, 149, 413, 150, 426, 149, 440, 150, 429, 
55, 150, 428, 150, 413, 150, 414, 149, 423, 150, 439, 150, 429, 
60, 150, 421, 149, 409, 150, 410, 149, 420, 150, 437, 150, 427, 
65, 150, 416, 149, 410, 149, 408, 150, 419, 150, 437, 150, 426, 
70, 150, 416, 149, 408, 150, 407, 149, 418, 150, 436, 150, 426, 
75, 149, 414, 149, 407, 149, 407, 150, 415, 150, 436, 150, 426, 
80, 149, 412, 149, 407, 150, 403, 150, 416, 149, 434, 150, 425, 
85, 150, 412, 149, 402, 149, 404, 150, 415, 149, 434, 150, 425, 
90, 150, 411, 149, 401, 149, 400, 149, 415, 150, 436, 150, 424, 
95, 150, 410, 149, 401, 149, 403, 149, 415, 149, 433, 150, 422, 
100, 149, 410, 149, 403, 150, 402, 149, 413, 150, 434, 150, 422, 
105, 150, 409, 150, 404, 150, 403, 150, 412, 149, 434, 150, 422, 
110, 149, 410, 149, 402, 149, 400, 150, 414, 150, 432, 150, 425, 
115, 150, 410, 150, 404, 150, 401, 149, 413, 150, 433, 150, 423, 
120, 149, 408, 149, 403, 150, 401, 149, 413, 150, 434, 149, 424, 
125, 149, 409, 150, 407, 149, 402, 150, 413, 149, 434, 150, 425, 
130, 150, 408, 149, 406, 150, 401, 150, 415, 149, 433, 150, 428, 
135, 150, 409, 150, 409, 150, 403, 150, 415, 150, 433, 150, 427, 
140, 150, 408, 149, 409, 150, 405, 150, 415, 150, 434, 150, 430, 
145, 150, 409, 149, 411, 149, 405, 150, 414, 150, 435, 150, 429, 
150, 150, 410, 149, 411, 150, 406, 150, 417, 150, 435, 150, 430, 
155, 150, 409, 150, 412, 150, 408, 149, 419, 150, 433, 150, 429, 
160, 150, 410, 149, 413, 150, 410, 149, 419, 150, 435, 150, 430, 
165, 150, 410, 149, 412, 149, 409, 150, 416, 150, 435, 150, 430, 
170, 150, 411, 149, 411, 150, 409, 150, 418, 150, 434, 150, 430, 
175, 150, 411, 149, 412, 150, 410, 149, 421, 150, 435, 150, 428, 
180, 149, 411, 149, 412, 150, 411, 150, 420, 150, 435, 150, 428, 
185, 150, 411, 149, 413, 150, 409, 150, 419, 149, 434, 150, 428, 
190, 150, 413, 149, 412, 150, 411, 149, 417, 150, 435, 150, 429, 
195, 150, 413, 149, 412, 150, 411, 149, 418, 149, 434, 150, 428, 
200, 149, 414, 149, 412, 150, 410, 149, 418, 150, 434, 150, 428, 
205, 150, 413, 149, 411, 149, 409, 150, 420, 150, 434, 150, 425, 
210, 150, 413, 149, 412, 150, 410, 149, 418, 150, 434, 150, 426, 
215, 150, 414, 149, 410, 149, 409, 150, 418, 150, 434, 150, 428, 
220, 150, 414, 149, 411, 149, 410, 149, 419, 150, 433, 150, 426, 
225, 150, 414, 149, 411, 150, 410, 149, 417, 150, 434, 150, 426, 
230, 149, 414, 149, 410, 150, 408, 149, 418, 150, 434, 150, 428, 
235, 150, 414, 149, 410, 150, 408, 150, 418, 150, 432, 150, 425, 
240, 150, 414, 149, 410, 150, 409, 150, 418, 149, 433, 150, 424, 
245, 150, 413, 149, 411, 149, 408, 150, 418, 150, 435, 150, 425, 
250, 149, 413, 149, 409, 149, 408, 150, 417, 149, 434, 149, 424, 
255, 149, 413, 149, 408, 149, 406, 150, 418, 150, 431, 150, 423, 
260, 150, 413, 149, 409, 150, 407, 149, 418, 150, 431, 149, 423, 
265, 149, 413, 149, 409, 150, 407, 150, 416, 150, 434, 150, 423, 
270, 150, 415, 149, 406, 149, 405, 150, 417, 150, 433, 150, 423, 
275, 150, 413, 149, 409, 149, 405, 150, 417, 150, 433, 150, 422, 
280, 149, 412, 149, 409, 150, 406, 149, 417, 150, 433, 150, 422, 
285, 149, 413, 149, 407, 150, 405, 149, 417, 149, 432, 150, 421, 
290, 150, 412, 149, 408, 150, 406, 150, 418, 149, 432, 150, 420, 
295, 150, 412, 149, 406, 150, 405, 150, 415, 150, 433, 150, 421, 
300, 150, 412, 149, 404, 149, 404, 150, 416, 149, 433, 149, 421, 
305, 150, 412, 149, 405, 150, 404, 150, 416, 150, 432, 149, 420, 
310, 150, 412, 149, 404, 149, 404, 150, 418, 150, 432, 150, 420, 
315, 150, 412, 149, 404, 150, 402, 149, 416, 149, 432, 149, 419, 
320, 150, 411, 149, 404, 149, 404, 150, 416, 149, 432, 150, 420, 
325, 150, 410, 149, 406, 150, 403, 149, 414, 149, 430, 150, 419, 
330, 149, 409, 149, 404, 149, 404, 149, 415, 150, 429, 150, 419, 
