t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 470, 149, 471, 150, 474, 149, 465, 149, 494, 150, 476, 
10, 150, 470, 149, 471, 149, 474, 150, 468, 150, 494, 150, 477, 
15, 150, 470, 149, 473, 150, 475, 149, 469, 150, 494, 149, 477, 
20, 150, 470, 149, 471, 149, 475, 149, 472, 150, 494, 149, 478, 
25, 149, 469, 149, 472, 149, 473, 150, 471, 149, 493, 150, 478, 
30, 150, 470, 149, 470, 149, 475, 149, 471, 150, 489, 150, 475, 
35, 150, 468, 149, 468, 149, 471, 150, 463, 150, 489, 150, 475, 
40, 150, 470, 149, 469, 150, 470, 150, 467, 150, 489, 149, 477, 
45, 150, 470, 149, 469, 150, 474, 149, 468, 150, 486, 150, 475, 
50, 150, 470, 149, 470, 150, 471, 150, 467, 150, 487, 149, 476, 
55, 150, 471, 149, 469, 150, 469, 150, 465, 150, 488, 150, 475, 
60, 150, 470, 149, 468, 150, 469, 150, 465, 149, 488, 150, 474, 
65, 150, 470, 149, 468, 149, 465, 150, 463, 150, 487, 150, 473, 
70, 150, 470, 149, 466, 150, 467, 149, 462, 150, 484, 150, 471, 
75, 150, 469, 149, 465, 149, 463, 149, 463, 150, 484, 150, 472, 
80, 150, 469, 149, 464, 150, 461, 149, 461, 150, 484, 150, 470, 
85, 150, 469, 149, 463, 150, 462, 149, 459, 150, 481, 150, 470, 
90, 150, 468, 149, 463, 149, 458, 149, 459, 149, 483, 150, 467, 
95, 149, 467, 149, 463, 150, 461, 149, 457, 150, 480, 149, 467, 
100, 150, 467, 149, 462, 150, 459, 149, 458, 149, 478, 150, 466, 
105, 150, 468, 150, 461, 150, 456, 149, 457, 150, 479, 150, 463, 
110, 150, 466, 149, 460, 149, 455, 149, 456, 150, 478, 150, 464, 
115, 149, 465, 150, 460, 149, 456, 150, 457, 150, 477, 150, 463, 
120, 150, 463, 149, 459, 149, 455, 150, 454, 150, 478, 149, 460, 
125, 150, 463, 150, 459, 150, 455, 149, 455, 149, 476, 150, 460, 
130, 150, 462, 149, 458, 149, 455, 149, 454, 150, 477, 149, 459, 
135, 150, 461, 150, 457, 149, 455, 149, 454, 149, 474, 150, 457, 
140, 150, 461, 149, 457, 150, 453, 149, 455, 150, 475, 150, 459, 
145, 149, 462, 149, 458, 150, 452, 149, 455, 150, 478, 149, 457, 
150, 150, 460, 149, 457, 150, 455, 150, 455, 150, 476, 150, 457, 
155, 150, 460, 149, 458, 150, 454, 149, 454, 150, 478, 150, 456, 
160, 150, 459, 150, 457, 150, 455, 149, 455, 149, 478, 150, 455, 
165, 150, 460, 149, 457, 149, 453, 149, 455, 150, 478, 149, 456, 
170, 149, 457, 149, 456, 149, 457, 149, 453, 150, 479, 149, 457, 
175, 150, 459, 149, 458, 150, 458, 149, 454, 149, 477, 150, 457, 
180, 150, 459, 150, 458, 150, 457, 149, 455, 149, 477, 150, 457, 
185, 150, 458, 149, 457, 150, 459, 149, 455, 150, 480, 150, 456, 
190, 150, 457, 149, 457, 150, 458, 150, 456, 150, 479, 150, 458, 
195, 150, 458, 149, 459, 150, 461, 150, 455, 150, 480, 149, 458, 
200, 150, 457, 149, 457, 150, 461, 150, 455, 150, 480, 149, 457, 
205, 149, 455, 149, 458, 149, 463, 149, 451, 150, 480, 149, 457, 
210, 150, 454, 149, 458, 149, 463, 150, 455, 149, 480, 149, 459, 
215, 150, 455, 149, 459, 150, 463, 149, 454, 149, 481, 150, 460, 
220, 150, 456, 149, 460, 149, 465, 150, 452, 150, 482, 150, 460, 
225, 149, 455, 149, 459, 149, 467, 150, 456, 149, 481, 150, 459, 
230, 150, 455, 149, 459, 150, 466, 149, 456, 149, 482, 149, 461, 
235, 150, 454, 150, 460, 150, 468, 150, 457, 150, 482, 150, 460, 
240, 150, 454, 149, 460, 149, 467, 149, 456, 150, 481, 150, 462, 
245, 150, 453, 149, 460, 149, 467, 150, 455, 149, 483, 150, 462, 
250, 150, 453, 149, 462, 150, 470, 150, 457, 149, 482, 150, 461, 
255, 150, 453, 149, 462, 149, 468, 149, 459, 150, 482, 150, 462, 
260, 149, 451, 149, 463, 150, 467, 149, 459, 150, 483, 149, 463, 
265, 150, 451, 149, 464, 150, 470, 149, 460, 150, 484, 150, 464, 
270, 150, 451, 150, 465, 149, 470, 150, 459, 149, 486, 149, 463, 
275, 150, 452, 149, 465, 149, 470, 149, 460, 149, 486, 150, 464, 
280, 150, 451, 149, 464, 149, 472, 150, 461, 149, 486, 149, 464, 
285, 150, 450, 150, 466, 150, 471, 149, 460, 150, 487, 150, 465, 
290, 150, 451, 149, 466, 149, 472, 150, 460, 150, 487, 150, 466, 
295, 150, 449, 149, 468, 150, 473, 149, 460, 150, 489, 149, 464, 
300, 150, 450, 149, 469, 149, 473, 150, 463, 149, 487, 150, 465, 
305, 150, 449, 149, 471, 149, 470, 149, 461, 150, 488, 150, 466, 
310, 150, 449, 150, 471, 150, 474, 149, 463, 149, 487, 149, 465, 
315, 150, 449, 149, 472, 150, 475, 149, 464, 150, 489, 150, 465, 
320, 150, 448, 150, 472, 150, 475, 150, 465, 149, 488, 149, 466, 
325, 150, 448, 149, 474, 149, 474, 150, 465, 149, 489, 149, 467, 
330, 150, 448, 149, 473, 149, 474, 150, 464, 150, 489, 150, 467, 
