t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 483, 149, 459, 150, 449, 150, 445, 150, 469, 150, 456, 
10, 150, 486, 149, 461, 150, 448, 150, 444, 150, 471, 150, 454, 
15, 150, 488, 149, 463, 149, 450, 150, 446, 149, 471, 149, 455, 
20, 150, 491, 150, 472, 149, 458, 149, 443, 150, 473, 150, 457, 
25, 150, 492, 149, 474, 150, 464, 150, 450, 149, 476, 150, 463, 
30, 150, 496, 150, 479, 150, 467, 150, 452, 149, 480, 150, 462, 
35, 149, 477, 149, 479, 149, 466, 150, 448, 149, 473, 149, 462, 
40, 150, 476, 150, 472, 149, 464, 149, 448, 150, 468, 150, 457, 
45, 150, 475, 149, 464, 150, 455, 149, 442, 150, 462, 150, 453, 
50, 150, 471, 149, 457, 150, 448, 150, 441, 150, 458, 150, 451, 
55, 149, 467, 150, 452, 150, 445, 149, 436, 150, 452, 149, 449, 
60, 149, 460, 149, 447, 149, 442, 149, 436, 149, 452, 150, 446, 
65, 150, 457, 149, 444, 150, 441, 150, 435, 150, 452, 149, 444, 
70, 150, 454, 149, 441, 149, 436, 149, 432, 149, 448, 150, 443, 
75, 149, 449, 149, 443, 149, 437, 150, 428, 149, 444, 150, 440, 
80, 149, 446, 149, 438, 149, 435, 149, 431, 150, 445, 150, 441, 
85, 149, 444, 149, 437, 150, 433, 149, 431, 149, 443, 150, 439, 
90, 149, 440, 149, 441, 149, 434, 150, 427, 150, 441, 150, 439, 
95, 150, 438, 149, 440, 149, 434, 150, 431, 150, 440, 149, 439, 
100, 150, 434, 150, 438, 150, 434, 150, 430, 150, 441, 149, 438, 
105, 150, 434, 149, 436, 149, 432, 149, 431, 150, 442, 150, 439, 
110, 149, 434, 149, 434, 150, 435, 150, 430, 149, 441, 150, 437, 
115, 149, 433, 149, 438, 150, 434, 150, 431, 150, 440, 150, 436, 
120, 149, 431, 149, 438, 150, 436, 149, 431, 149, 442, 149, 438, 
125, 150, 429, 150, 441, 150, 435, 150, 433, 150, 441, 150, 437, 
130, 150, 429, 150, 440, 150, 436, 149, 430, 149, 441, 150, 438, 
135, 149, 426, 149, 442, 150, 438, 150, 428, 149, 442, 150, 438, 
140, 149, 425, 149, 440, 150, 437, 149, 430, 150, 442, 150, 436, 
145, 149, 424, 149, 441, 150, 436, 150, 432, 149, 442, 150, 437, 
150, 150, 424, 149, 442, 150, 439, 150, 433, 149, 443, 150, 438, 
155, 149, 421, 150, 444, 150, 438, 149, 432, 150, 443, 150, 439, 
160, 150, 421, 150, 442, 149, 439, 149, 433, 149, 442, 149, 439, 
165, 150, 421, 149, 440, 149, 440, 149, 436, 150, 445, 149, 439, 
170, 150, 419, 149, 444, 150, 438, 149, 434, 149, 443, 150, 441, 
175, 149, 418, 150, 442, 150, 442, 150, 432, 150, 443, 150, 440, 
180, 149, 413, 149, 446, 149, 441, 150, 438, 150, 443, 150, 441, 
185, 150, 411, 149, 447, 149, 443, 149, 436, 150, 446, 150, 441, 
190, 150, 409, 149, 446, 149, 442, 150, 437, 149, 444, 149, 441, 
195, 150, 410, 150, 449, 150, 441, 149, 436, 149, 443, 150, 440, 
200, 150, 408, 149, 443, 149, 442, 150, 438, 149, 444, 150, 442, 
205, 150, 409, 149, 447, 150, 445, 150, 440, 149, 446, 150, 443, 
210, 150, 409, 149, 448, 149, 444, 149, 437, 150, 446, 150, 445, 
215, 150, 406, 149, 446, 150, 445, 149, 438, 149, 444, 150, 443, 
220, 149, 406, 149, 447, 150, 446, 149, 439, 150, 447, 149, 442, 
225, 150, 405, 149, 448, 149, 443, 149, 440, 150, 447, 150, 445, 
230, 150, 404, 149, 450, 149, 446, 150, 439, 149, 444, 150, 445, 
235, 150, 405, 149, 449, 149, 447, 149, 441, 150, 447, 149, 444, 
240, 150, 404, 149, 451, 150, 449, 150, 442, 149, 446, 149, 446, 
245, 150, 402, 150, 453, 150, 448, 150, 439, 150, 445, 149, 446, 
250, 149, 401, 150, 451, 150, 449, 150, 441, 150, 445, 149, 445, 
255, 149, 401, 150, 452, 150, 450, 150, 443, 150, 448, 150, 446, 
260, 149, 401, 149, 450, 150, 448, 150, 441, 150, 448, 150, 448, 
265, 150, 401, 149, 452, 149, 449, 150, 440, 149, 447, 149, 446, 
270, 150, 400, 149, 453, 149, 450, 149, 441, 150, 446, 149, 447, 
275, 150, 401, 150, 454, 149, 449, 149, 440, 150, 448, 150, 448, 
280, 150, 399, 149, 453, 149, 451, 150, 441, 149, 446, 149, 447, 
285, 149, 400, 149, 452, 150, 452, 150, 440, 150, 448, 150, 447, 
290, 150, 399, 149, 453, 149, 451, 150, 441, 149, 445, 150, 449, 
295, 149, 399, 149, 453, 149, 451, 149, 439, 149, 446, 150, 447, 
300, 150, 400, 149, 453, 149, 450, 150, 440, 149, 446, 150, 449, 
305, 150, 398, 149, 452, 149, 452, 149, 438, 149, 445, 150, 447, 
310, 150, 398, 149, 455, 150, 453, 150, 441, 150, 446, 149, 448, 
315, 149, 397, 150, 456, 150, 450, 149, 439, 150, 446, 150, 447, 
320, 149, 397, 149, 455, 150, 451, 149, 438, 149, 445, 150, 446, 
325, 150, 397, 150, 456, 150, 451, 150, 440, 149, 446, 149, 448, 
330, 150, 396, 149, 455, 149, 451, 149, 439, 150, 446, 150, 447, 
