t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 467, 150, 460, 150, 454, 150, 449, 150, 473, 149, 457, 
10, 150, 471, 149, 464, 149, 457, 150, 455, 149, 476, 150, 461, 
15, 150, 475, 150, 466, 150, 458, 149, 455, 150, 480, 150, 459, 
20, 149, 476, 150, 466, 150, 460, 150, 455, 150, 480, 150, 464, 
25, 150, 477, 150, 468, 149, 460, 150, 458, 150, 479, 150, 464, 
30, 150, 477, 149, 469, 150, 460, 149, 458, 150, 481, 150, 464, 
35, 150, 475, 149, 468, 150, 462, 150, 460, 150, 480, 149, 464, 
40, 150, 472, 149, 464, 150, 458, 149, 453, 150, 475, 149, 458, 
45, 150, 471, 149, 465, 150, 459, 150, 449, 150, 475, 150, 460, 
50, 149, 469, 149, 466, 150, 457, 150, 450, 150, 475, 149, 458, 
55, 150, 467, 150, 465, 150, 455, 150, 451, 150, 474, 150, 459, 
60, 150, 465, 149, 463, 150, 453, 150, 446, 149, 473, 150, 456, 
65, 150, 462, 149, 461, 149, 452, 150, 444, 150, 472, 150, 455, 
70, 150, 460, 150, 459, 150, 449, 149, 443, 149, 468, 150, 451, 
75, 149, 458, 149, 455, 150, 448, 150, 445, 150, 467, 150, 450, 
80, 149, 456, 150, 454, 150, 449, 149, 438, 150, 466, 150, 449, 
85, 150, 456, 149, 452, 150, 447, 149, 439, 150, 461, 150, 447, 
90, 150, 454, 149, 450, 150, 445, 150, 437, 150, 461, 150, 445, 
95, 150, 454, 149, 449, 150, 445, 150, 437, 149, 460, 150, 445, 
100, 150, 453, 149, 448, 150, 443, 149, 436, 149, 458, 150, 444, 
105, 150, 452, 149, 448, 150, 441, 150, 435, 150, 458, 150, 443, 
110, 150, 452, 149, 445, 150, 442, 150, 435, 149, 457, 150, 442, 
115, 149, 452, 149, 445, 150, 442, 150, 435, 150, 457, 150, 441, 
120, 150, 452, 150, 444, 149, 440, 150, 434, 150, 455, 150, 441, 
125, 150, 452, 149, 443, 150, 441, 149, 434, 150, 456, 150, 439, 
130, 150, 452, 149, 445, 150, 441, 150, 435, 149, 457, 150, 441, 
135, 149, 451, 150, 444, 149, 442, 150, 434, 149, 456, 150, 440, 
140, 150, 451, 149, 442, 150, 441, 150, 436, 150, 455, 150, 440, 
145, 149, 451, 149, 443, 149, 441, 150, 437, 150, 456, 150, 439, 
150, 150, 453, 150, 442, 149, 443, 150, 435, 150, 456, 150, 440, 
155, 150, 453, 149, 443, 150, 443, 149, 436, 150, 455, 150, 440, 
160, 150, 454, 149, 443, 150, 442, 150, 439, 150, 456, 150, 441, 
165, 149, 454, 149, 444, 150, 445, 150, 436, 149, 456, 150, 440, 
170, 150, 455, 149, 445, 149, 445, 151, 438, 149, 458, 150, 442, 
175, 150, 455, 150, 445, 150, 445, 150, 439, 150, 458, 150, 442, 
180, 150, 457, 149, 445, 150, 448, 149, 439, 150, 459, 150, 441, 
185, 150, 457, 149, 445, 150, 448, 149, 439, 150, 459, 150, 442, 
190, 150, 461, 149, 448, 150, 451, 149, 444, 150, 461, 149, 445, 
195, 149, 463, 149, 449, 150, 452, 150, 446, 150, 463, 150, 446, 
200, 149, 464, 150, 451, 150, 454, 149, 447, 149, 463, 149, 447, 
205, 150, 465, 149, 451, 149, 454, 149, 447, 150, 464, 150, 447, 
210, 150, 466, 150, 451, 150, 457, 150, 447, 149, 464, 150, 448, 
215, 150, 466, 150, 450, 149, 457, 149, 449, 150, 464, 150, 447, 
220, 150, 467, 149, 452, 149, 456, 150, 450, 150, 465, 150, 447, 
225, 149, 468, 150, 450, 150, 458, 150, 450, 149, 465, 150, 447, 
230, 150, 468, 149, 451, 149, 456, 150, 450, 150, 465, 150, 447, 
235, 149, 468, 149, 452, 150, 458, 150, 453, 150, 465, 150, 447, 
240, 150, 468, 150, 452, 149, 456, 150, 451, 149, 465, 150, 447, 
245, 150, 468, 149, 451, 150, 458, 150, 452, 150, 466, 150, 448, 
250, 150, 469, 150, 451, 150, 458, 150, 452, 150, 464, 150, 448, 
255, 150, 469, 150, 451, 149, 460, 150, 452, 150, 462, 149, 446, 
260, 150, 469, 150, 452, 149, 459, 150, 452, 150, 464, 149, 446, 
265, 150, 469, 150, 451, 150, 460, 150, 452, 149, 463, 149, 445, 
270, 150, 469, 149, 451, 150, 462, 150, 453, 150, 463, 150, 446, 
275, 150, 469, 150, 452, 150, 459, 150, 451, 149, 462, 150, 445, 
280, 149, 468, 149, 453, 150, 462, 150, 453, 149, 461, 150, 444, 
285, 150, 468, 149, 451, 149, 461, 150, 448, 150, 461, 150, 443, 
290, 150, 467, 150, 451, 149, 461, 150, 450, 149, 458, 150, 444, 
295, 150, 467, 149, 451, 150, 462, 150, 451, 150, 459, 150, 442, 
300, 150, 466, 150, 450, 149, 462, 150, 449, 150, 456, 150, 441, 
305, 150, 466, 150, 449, 149, 461, 150, 449, 149, 455, 149, 441, 
310, 150, 465, 149, 450, 150, 462, 149, 448, 149, 455, 150, 441, 
315, 150, 464, 149, 448, 150, 463, 150, 449, 149, 454, 150, 439, 
320, 149, 462, 149, 448, 149, 463, 150, 445, 149, 454, 150, 438, 
325, 150, 462, 149, 448, 150, 462, 150, 447, 149, 453, 150, 438, 
330, 150, 461, 149, 448, 150, 464, 150, 445, 150, 451, 150, 435, 
