t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 469, 149, 484, 150, 477, 149, 473, 149, 503, 150, 482, 
10, 150, 469, 149, 485, 150, 481, 149, 474, 150, 507, 150, 483, 
15, 150, 469, 150, 487, 150, 481, 149, 473, 149, 506, 150, 484, 
20, 149, 469, 149, 487, 150, 481, 150, 476, 150, 507, 150, 483, 
25, 150, 470, 149, 488, 149, 482, 149, 478, 150, 508, 150, 484, 
30, 150, 470, 149, 488, 149, 483, 149, 474, 150, 508, 150, 485, 
35, 150, 471, 149, 488, 150, 480, 149, 475, 149, 507, 150, 484, 
40, 150, 471, 150, 488, 149, 482, 150, 477, 150, 507, 150, 485, 
45, 150, 470, 149, 486, 149, 481, 149, 475, 149, 505, 150, 485, 
50, 150, 469, 150, 485, 150, 479, 149, 476, 149, 503, 150, 484, 
55, 150, 469, 149, 484, 149, 477, 150, 478, 149, 505, 149, 483, 
60, 150, 468, 149, 484, 149, 476, 150, 472, 149, 503, 150, 482, 
65, 150, 468, 149, 481, 149, 475, 150, 473, 149, 500, 150, 480, 
70, 150, 468, 149, 481, 149, 474, 150, 471, 149, 501, 150, 480, 
75, 150, 467, 150, 481, 150, 471, 150, 473, 149, 499, 150, 478, 
80, 150, 467, 149, 480, 149, 470, 150, 469, 149, 497, 150, 477, 
85, 150, 468, 150, 479, 149, 467, 150, 468, 150, 496, 149, 475, 
90, 150, 467, 149, 477, 149, 470, 150, 468, 150, 495, 150, 475, 
95, 149, 467, 149, 477, 149, 470, 149, 467, 150, 495, 150, 473, 
100, 150, 467, 149, 477, 150, 468, 150, 468, 150, 494, 150, 473, 
105, 150, 469, 149, 475, 150, 468, 149, 469, 150, 494, 150, 471, 
110, 150, 467, 149, 475, 150, 469, 150, 471, 150, 495, 150, 472, 
115, 150, 467, 149, 473, 149, 468, 150, 469, 149, 495, 149, 472, 
120, 150, 466, 150, 472, 150, 466, 150, 471, 150, 493, 150, 472, 
125, 150, 465, 149, 471, 149, 470, 149, 470, 150, 495, 149, 471, 
130, 150, 464, 149, 472, 149, 471, 149, 468, 149, 494, 150, 472, 
135, 150, 464, 149, 472, 150, 471, 150, 470, 150, 495, 150, 470, 
140, 150, 465, 149, 472, 150, 473, 150, 471, 149, 495, 149, 472, 
145, 150, 463, 149, 472, 150, 474, 149, 470, 150, 497, 149, 473, 
150, 150, 464, 150, 472, 150, 473, 150, 472, 149, 496, 149, 472, 
155, 150, 464, 149, 472, 150, 474, 150, 476, 149, 497, 150, 472, 
160, 150, 463, 149, 472, 149, 477, 150, 473, 149, 497, 150, 473, 
165, 150, 464, 149, 472, 149, 475, 149, 477, 149, 497, 150, 472, 
170, 149, 463, 149, 471, 149, 479, 149, 479, 150, 499, 150, 474, 
175, 150, 463, 149, 472, 149, 480, 150, 478, 150, 500, 150, 474, 
180, 150, 464, 149, 473, 150, 483, 149, 482, 150, 500, 149, 473, 
185, 150, 464, 149, 473, 150, 484, 150, 483, 149, 501, 149, 473, 
190, 149, 465, 150, 474, 150, 487, 149, 485, 150, 500, 150, 475, 
195, 150, 465, 149, 474, 149, 489, 149, 484, 150, 503, 149, 475, 
200, 150, 465, 149, 475, 150, 490, 149, 488, 150, 501, 150, 476, 
205, 149, 465, 149, 475, 149, 491, 150, 491, 149, 503, 150, 473, 
210, 150, 466, 150, 477, 150, 492, 150, 496, 150, 503, 149, 476, 
215, 149, 465, 150, 478, 149, 492, 149, 495, 150, 505, 149, 476, 
220, 150, 466, 150, 477, 150, 495, 150, 500, 150, 505, 150, 477, 
225, 149, 468, 149, 479, 150, 497, 150, 498, 150, 504, 150, 478, 
230, 150, 467, 150, 478, 150, 495, 150, 501, 150, 503, 149, 478, 
235, 149, 467, 149, 478, 149, 498, 149, 502, 150, 506, 150, 476, 
240, 150, 467, 149, 480, 150, 498, 149, 504, 150, 504, 150, 477, 
245, 149, 465, 150, 480, 149, 499, 150, 505, 150, 507, 150, 480, 
250, 150, 465, 149, 481, 150, 502, 150, 505, 149, 507, 149, 479, 
255, 150, 465, 150, 479, 150, 501, 149, 508, 149, 507, 150, 480, 
260, 149, 466, 149, 480, 150, 501, 149, 510, 149, 508, 150, 479, 
265, 150, 466, 150, 482, 150, 504, 149, 508, 149, 508, 150, 481, 
270, 150, 466, 149, 482, 150, 507, 150, 514, 150, 508, 149, 479, 
275, 149, 467, 149, 481, 150, 503, 150, 511, 150, 508, 150, 480, 
280, 150, 467, 150, 481, 150, 505, 150, 516, 150, 510, 150, 482, 
285, 149, 467, 149, 479, 150, 503, 149, 512, 150, 509, 149, 482, 
290, 150, 467, 149, 481, 149, 504, 149, 514, 149, 508, 150, 481, 
295, 150, 467, 149, 482, 149, 505, 151, 511, 149, 510, 150, 483, 
300, 149, 467, 149, 482, 149, 505, 150, 516, 150, 510, 150, 484, 
305, 149, 468, 149, 481, 149, 504, 150, 514, 149, 509, 150, 481, 
310, 150, 468, 150, 483, 150, 506, 150, 515, 150, 511, 150, 483, 
315, 150, 468, 149, 483, 150, 506, 150, 516, 150, 510, 149, 484, 
320, 150, 469, 149, 482, 149, 505, 149, 515, 149, 510, 150, 484, 
325, 150, 470, 150, 483, 149, 505, 150, 516, 150, 512, 150, 484, 
330, 150, 470, 149, 482, 149, 504, 149, 512, 150, 510, 150, 486, 
