t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 472, 150, 482, 150, 475, 150, 472, 149, 494, 150, 475, 
10, 150, 474, 149, 484, 149, 476, 149, 474, 149, 495, 150, 475, 
15, 150, 474, 149, 484, 150, 479, 149, 474, 150, 496, 150, 478, 
20, 150, 475, 149, 484, 149, 478, 149, 474, 149, 496, 150, 478, 
25, 150, 474, 150, 486, 150, 477, 149, 476, 149, 496, 150, 479, 
30, 150, 473, 149, 484, 150, 473, 149, 470, 150, 494, 150, 474, 
35, 149, 469, 150, 482, 150, 473, 150, 466, 150, 493, 150, 472, 
40, 150, 472, 149, 485, 150, 478, 150, 472, 149, 494, 150, 475, 
45, 150, 472, 149, 485, 150, 477, 150, 474, 149, 494, 150, 478, 
50, 150, 472, 149, 487, 149, 478, 149, 474, 149, 495, 150, 478, 
55, 150, 471, 150, 488, 150, 476, 149, 470, 150, 496, 150, 479, 
60, 150, 470, 150, 487, 149, 476, 149, 471, 149, 494, 150, 480, 
65, 150, 468, 150, 486, 150, 472, 149, 470, 149, 492, 150, 477, 
70, 150, 467, 149, 487, 149, 471, 150, 468, 150, 494, 150, 478, 
75, 150, 466, 150, 485, 150, 471, 150, 467, 150, 491, 150, 475, 
80, 149, 465, 150, 483, 150, 469, 149, 465, 149, 490, 150, 474, 
85, 150, 464, 149, 482, 149, 470, 150, 465, 149, 488, 150, 474, 
90, 150, 464, 150, 480, 149, 469, 149, 463, 149, 488, 149, 473, 
95, 150, 463, 150, 480, 149, 467, 149, 463, 150, 488, 150, 472, 
100, 150, 463, 149, 480, 150, 466, 150, 462, 150, 488, 149, 470, 
105, 150, 463, 150, 478, 150, 467, 149, 461, 149, 488, 150, 471, 
110, 150, 463, 149, 478, 150, 467, 150, 463, 150, 489, 150, 471, 
115, 150, 464, 149, 478, 150, 466, 149, 463, 150, 486, 150, 469, 
120, 149, 464, 149, 480, 149, 466, 149, 461, 150, 489, 149, 470, 
125, 150, 465, 149, 478, 150, 466, 150, 464, 150, 490, 150, 470, 
130, 150, 465, 150, 478, 150, 468, 149, 463, 149, 490, 150, 471, 
135, 150, 466, 149, 480, 150, 468, 150, 464, 149, 489, 150, 470, 
140, 149, 467, 149, 479, 150, 468, 149, 465, 149, 492, 150, 471, 
145, 150, 468, 150, 480, 150, 470, 149, 465, 150, 494, 150, 473, 
150, 150, 470, 150, 479, 150, 469, 149, 466, 150, 493, 149, 473, 
155, 150, 470, 150, 482, 150, 471, 150, 468, 149, 493, 150, 474, 
160, 150, 472, 150, 482, 150, 470, 149, 468, 149, 494, 150, 475, 
165, 150, 473, 149, 483, 149, 473, 149, 468, 149, 495, 150, 476, 
170, 150, 475, 150, 483, 149, 476, 150, 470, 150, 499, 150, 478, 
175, 150, 477, 150, 486, 149, 476, 150, 473, 150, 500, 149, 480, 
180, 150, 481, 149, 487, 149, 478, 150, 472, 149, 500, 149, 480, 
185, 150, 480, 149, 489, 150, 480, 149, 473, 149, 504, 149, 481, 
190, 150, 481, 149, 489, 150, 480, 150, 477, 150, 504, 150, 482, 
195, 150, 483, 149, 490, 150, 481, 149, 478, 149, 506, 150, 484, 
200, 149, 484, 149, 491, 149, 482, 150, 477, 150, 508, 150, 484, 
205, 150, 486, 150, 492, 150, 484, 149, 478, 149, 508, 150, 485, 
210, 150, 488, 149, 493, 149, 484, 149, 481, 150, 509, 150, 486, 
215, 150, 488, 149, 496, 149, 487, 150, 482, 149, 510, 150, 486, 
220, 149, 490, 149, 497, 150, 487, 149, 482, 150, 514, 150, 488, 
225, 149, 491, 149, 497, 150, 490, 149, 483, 149, 515, 149, 487, 
230, 149, 491, 149, 498, 149, 490, 149, 482, 149, 515, 150, 488, 
235, 150, 493, 149, 502, 150, 491, 149, 482, 150, 516, 149, 490, 
240, 149, 494, 149, 501, 150, 493, 150, 484, 150, 517, 149, 490, 
245, 149, 495, 150, 502, 150, 492, 149, 485, 150, 518, 150, 492, 
250, 150, 496, 149, 504, 150, 494, 150, 487, 150, 518, 149, 491, 
255, 150, 497, 149, 505, 150, 494, 150, 488, 150, 517, 150, 492, 
260, 150, 498, 149, 505, 150, 495, 149, 488, 149, 519, 150, 494, 
265, 149, 497, 149, 508, 150, 497, 150, 489, 150, 520, 150, 494, 
270, 150, 500, 150, 508, 150, 496, 150, 491, 149, 522, 150, 494, 
275, 150, 500, 149, 510, 150, 496, 150, 490, 150, 524, 150, 496, 
280, 150, 501, 149, 510, 149, 495, 150, 491, 150, 522, 150, 497, 
285, 150, 501, 150, 511, 150, 497, 149, 492, 150, 523, 150, 497, 
290, 150, 502, 149, 509, 150, 497, 150, 495, 150, 524, 149, 496, 
295, 150, 503, 149, 512, 149, 499, 150, 495, 150, 524, 150, 498, 
300, 150, 503, 149, 512, 150, 497, 150, 500, 150, 523, 150, 498, 
305, 150, 503, 149, 512, 150, 498, 150, 499, 150, 524, 149, 498, 
310, 150, 504, 149, 513, 150, 500, 149, 497, 150, 525, 150, 498, 
315, 150, 504, 149, 513, 150, 501, 150, 499, 150, 524, 150, 499, 
320, 150, 505, 149, 513, 149, 500, 150, 501, 150, 527, 149, 497, 
325, 149, 505, 149, 512, 150, 502, 149, 498, 149, 523, 150, 498, 
330, 150, 506, 149, 512, 150, 503, 150, 500, 149, 525, 149, 497, 
