t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 485, 150, 487, 150, 480, 150, 476, 150, 502, 150, 488, 
10, 150, 485, 149, 489, 149, 481, 149, 474, 150, 504, 150, 486, 
15, 150, 486, 149, 489, 150, 481, 150, 475, 150, 505, 150, 490, 
20, 150, 486, 149, 488, 150, 481, 150, 476, 149, 505, 149, 490, 
25, 150, 487, 150, 488, 150, 481, 150, 474, 150, 503, 150, 487, 
30, 150, 488, 149, 486, 150, 480, 150, 473, 150, 503, 150, 487, 
35, 150, 491, 150, 484, 150, 478, 150, 473, 150, 503, 149, 486, 
40, 150, 481, 150, 483, 150, 480, 150, 472, 150, 502, 149, 487, 
45, 150, 476, 150, 483, 149, 479, 150, 470, 149, 500, 150, 483, 
50, 150, 471, 150, 479, 150, 475, 149, 469, 150, 501, 150, 484, 
55, 150, 468, 150, 479, 150, 475, 149, 468, 150, 498, 149, 482, 
60, 150, 466, 149, 477, 150, 473, 149, 465, 150, 495, 150, 477, 
65, 149, 465, 149, 476, 150, 472, 149, 465, 150, 493, 150, 478, 
70, 150, 463, 150, 473, 149, 469, 150, 463, 150, 493, 150, 476, 
75, 150, 462, 150, 473, 149, 468, 150, 460, 150, 489, 150, 473, 
80, 150, 461, 149, 470, 149, 466, 150, 462, 150, 491, 149, 474, 
85, 150, 460, 149, 469, 150, 464, 150, 462, 150, 488, 150, 472, 
90, 150, 460, 149, 467, 150, 465, 150, 457, 150, 488, 150, 471, 
95, 150, 460, 149, 466, 149, 463, 149, 457, 150, 485, 150, 467, 
100, 150, 459, 150, 466, 150, 460, 149, 456, 150, 485, 150, 467, 
105, 150, 460, 149, 465, 150, 460, 150, 454, 149, 483, 149, 467, 
110, 150, 459, 150, 466, 150, 459, 150, 455, 150, 481, 150, 464, 
115, 150, 460, 150, 465, 150, 456, 150, 454, 149, 481, 150, 465, 
120, 150, 461, 149, 465, 149, 458, 150, 454, 149, 482, 149, 464, 
125, 150, 462, 150, 465, 149, 457, 150, 452, 149, 481, 150, 462, 
130, 149, 463, 149, 465, 150, 455, 150, 454, 149, 481, 150, 462, 
135, 150, 464, 149, 464, 149, 455, 149, 451, 150, 482, 150, 463, 
140, 150, 464, 149, 464, 150, 456, 150, 451, 149, 479, 150, 463, 
145, 150, 464, 149, 465, 150, 456, 150, 451, 149, 481, 150, 461, 
150, 150, 465, 150, 467, 150, 456, 149, 451, 150, 481, 150, 461, 
155, 150, 465, 149, 464, 150, 458, 150, 450, 150, 480, 149, 461, 
160, 150, 465, 150, 465, 150, 457, 150, 449, 150, 481, 150, 459, 
165, 150, 465, 150, 466, 150, 457, 149, 451, 150, 480, 150, 462, 
170, 150, 467, 149, 465, 150, 458, 150, 451, 149, 481, 149, 461, 
175, 150, 467, 149, 467, 149, 459, 149, 450, 149, 480, 150, 461, 
180, 150, 468, 149, 467, 150, 456, 150, 452, 150, 481, 150, 461, 
185, 150, 469, 149, 468, 150, 459, 151, 455, 150, 480, 150, 461, 
190, 150, 470, 150, 468, 150, 460, 149, 451, 150, 482, 150, 461, 
195, 150, 471, 149, 469, 149, 458, 150, 454, 149, 483, 150, 462, 
200, 150, 471, 149, 467, 150, 458, 150, 454, 150, 483, 150, 462, 
205, 149, 472, 149, 471, 150, 459, 150, 453, 150, 483, 150, 462, 
210, 150, 473, 150, 471, 149, 457, 149, 454, 149, 482, 150, 461, 
215, 150, 473, 150, 471, 150, 459, 149, 455, 150, 483, 150, 463, 
220, 150, 474, 149, 472, 149, 459, 150, 456, 150, 483, 149, 462, 
225, 150, 475, 150, 473, 150, 461, 149, 453, 150, 483, 150, 463, 
230, 150, 476, 150, 474, 150, 461, 149, 456, 149, 484, 150, 464, 
235, 150, 477, 150, 475, 150, 463, 149, 455, 149, 484, 150, 463, 
240, 150, 478, 149, 477, 150, 462, 150, 460, 149, 485, 150, 464, 
245, 150, 478, 150, 476, 150, 463, 150, 458, 149, 485, 150, 464, 
250, 150, 479, 149, 477, 149, 464, 149, 460, 150, 484, 150, 465, 
255, 150, 479, 150, 478, 150, 461, 150, 461, 150, 485, 150, 466, 
260, 150, 479, 149, 478, 149, 465, 149, 459, 149, 485, 149, 465, 
265, 150, 479, 149, 479, 149, 465, 150, 459, 149, 484, 150, 466, 
270, 150, 480, 149, 480, 149, 464, 150, 460, 150, 486, 150, 466, 
275, 150, 479, 149, 479, 150, 465, 149, 457, 149, 486, 149, 467, 
280, 150, 480, 150, 481, 150, 465, 150, 459, 149, 485, 150, 465, 
285, 149, 481, 149, 482, 150, 467, 150, 460, 150, 485, 149, 465, 
290, 150, 481, 150, 481, 149, 465, 149, 460, 150, 488, 150, 466, 
295, 150, 482, 149, 481, 150, 467, 149, 459, 150, 489, 150, 465, 
300, 150, 482, 149, 482, 149, 466, 149, 462, 150, 485, 149, 462, 
305, 150, 482, 149, 480, 150, 465, 150, 465, 149, 487, 150, 466, 
310, 150, 482, 150, 482, 150, 468, 150, 462, 150, 487, 149, 464, 
315, 149, 483, 150, 484, 149, 466, 150, 459, 150, 484, 150, 464, 
320, 150, 483, 149, 483, 150, 466, 150, 462, 150, 484, 150, 463, 
325, 150, 483, 149, 481, 150, 465, 149, 465, 149, 485, 150, 465, 
330, 150, 483, 149, 482, 150, 466, 149, 463, 149, 485, 149, 463, 
