t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 448, 149, 447, 149, 438, 149, 439, 150, 465, 150, 444, 
10, 150, 449, 149, 450, 149, 437, 150, 439, 150, 466, 150, 446, 
15, 150, 450, 149, 451, 149, 439, 149, 442, 149, 466, 150, 444, 
20, 150, 450, 149, 451, 150, 437, 150, 445, 150, 466, 150, 446, 
25, 150, 450, 150, 452, 150, 439, 149, 445, 150, 465, 150, 445, 
30, 150, 450, 149, 453, 150, 440, 150, 446, 150, 465, 150, 446, 
35, 150, 451, 149, 451, 150, 439, 149, 447, 150, 465, 150, 447, 
40, 150, 449, 149, 450, 149, 437, 149, 445, 150, 466, 150, 444, 
45, 150, 448, 149, 451, 149, 437, 149, 443, 149, 465, 149, 444, 
50, 150, 446, 149, 449, 150, 438, 149, 442, 150, 461, 150, 445, 
55, 150, 444, 149, 449, 149, 434, 150, 441, 149, 460, 150, 442, 
60, 150, 443, 149, 447, 150, 434, 150, 438, 150, 459, 150, 443, 
65, 150, 442, 149, 448, 150, 431, 149, 437, 150, 456, 150, 443, 
70, 150, 442, 149, 444, 150, 429, 149, 437, 149, 454, 150, 441, 
75, 150, 439, 149, 445, 150, 429, 150, 436, 150, 454, 150, 440, 
80, 150, 437, 149, 442, 149, 427, 150, 432, 150, 451, 150, 439, 
85, 150, 437, 149, 442, 150, 425, 150, 435, 150, 450, 150, 438, 
90, 150, 436, 149, 440, 150, 424, 149, 433, 149, 449, 150, 434, 
95, 150, 434, 149, 440, 150, 423, 150, 427, 149, 449, 150, 432, 
100, 150, 434, 149, 436, 150, 421, 149, 429, 149, 444, 149, 432, 
105, 150, 433, 149, 436, 150, 420, 149, 430, 149, 447, 150, 432, 
110, 150, 432, 149, 433, 150, 420, 150, 428, 149, 443, 150, 430, 
115, 150, 432, 149, 432, 149, 420, 150, 427, 149, 443, 150, 429, 
120, 150, 432, 149, 430, 149, 419, 149, 425, 150, 442, 150, 429, 
125, 150, 431, 149, 431, 150, 418, 150, 425, 149, 440, 149, 426, 
130, 150, 431, 149, 429, 149, 418, 149, 426, 150, 439, 150, 424, 
135, 150, 431, 150, 428, 150, 417, 150, 424, 149, 440, 149, 425, 
140, 150, 431, 150, 430, 150, 414, 149, 423, 149, 440, 150, 423, 
145, 150, 432, 149, 430, 150, 413, 150, 421, 149, 439, 149, 424, 
150, 150, 432, 149, 428, 150, 415, 149, 421, 150, 439, 150, 421, 
155, 150, 431, 150, 428, 150, 416, 150, 421, 149, 439, 150, 423, 
160, 150, 432, 149, 427, 150, 413, 150, 420, 149, 438, 150, 421, 
165, 150, 433, 149, 425, 150, 413, 150, 421, 150, 438, 150, 421, 
170, 150, 433, 150, 424, 150, 414, 150, 421, 150, 440, 150, 421, 
175, 150, 433, 149, 424, 150, 415, 149, 418, 150, 438, 150, 421, 
180, 149, 433, 149, 422, 150, 414, 149, 420, 149, 439, 150, 422, 
185, 150, 432, 150, 423, 150, 415, 149, 420, 150, 440, 150, 420, 
190, 149, 432, 149, 423, 150, 416, 150, 420, 149, 440, 149, 423, 
195, 150, 433, 149, 424, 150, 414, 149, 421, 150, 438, 150, 424, 
200, 150, 432, 149, 421, 150, 416, 150, 420, 150, 440, 150, 421, 
205, 150, 434, 150, 422, 150, 417, 149, 420, 149, 438, 150, 425, 
210, 150, 434, 149, 423, 150, 417, 149, 418, 150, 439, 149, 423, 
215, 149, 434, 149, 422, 149, 417, 149, 421, 149, 440, 150, 422, 
220, 150, 433, 150, 422, 149, 417, 150, 420, 150, 440, 150, 424, 
225, 150, 434, 149, 421, 150, 417, 149, 419, 150, 440, 149, 425, 
230, 150, 434, 150, 422, 149, 416, 150, 421, 149, 440, 150, 425, 
235, 150, 435, 149, 421, 150, 417, 149, 421, 149, 439, 150, 424, 
240, 150, 436, 149, 420, 149, 418, 149, 420, 150, 439, 150, 425, 
245, 150, 435, 150, 422, 150, 418, 150, 421, 149, 438, 150, 426, 
250, 150, 435, 149, 421, 149, 419, 150, 421, 150, 439, 150, 424, 
255, 150, 437, 149, 423, 150, 421, 149, 422, 150, 438, 150, 425, 
260, 150, 436, 149, 422, 150, 420, 149, 422, 149, 438, 149, 425, 
265, 150, 438, 149, 422, 150, 420, 149, 422, 149, 437, 150, 426, 
270, 150, 438, 150, 424, 150, 421, 149, 422, 150, 437, 150, 426, 
275, 149, 438, 149, 422, 149, 421, 149, 422, 150, 436, 149, 426, 
280, 150, 438, 150, 422, 150, 421, 149, 423, 149, 436, 150, 426, 
285, 150, 437, 149, 421, 150, 423, 149, 423, 150, 436, 149, 426, 
290, 150, 439, 149, 423, 150, 423, 149, 424, 150, 435, 150, 428, 
295, 149, 439, 150, 423, 150, 423, 150, 425, 149, 434, 150, 429, 
300, 150, 438, 149, 422, 149, 422, 149, 424, 150, 434, 149, 428, 
305, 149, 439, 149, 423, 149, 424, 150, 426, 149, 433, 150, 428, 
310, 150, 438, 149, 423, 150, 423, 149, 426, 149, 432, 150, 428, 
315, 150, 438, 149, 422, 150, 426, 149, 426, 149, 433, 150, 428, 
320, 150, 438, 149, 423, 149, 425, 150, 426, 149, 432, 150, 429, 
325, 149, 437, 150, 422, 150, 427, 149, 424, 150, 431, 150, 429, 
330, 150, 437, 149, 420, 150, 424, 149, 426, 149, 431, 150, 428, 
