t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 460, 149, 464, 150, 460, 149, 451, 150, 488, 149, 477, 
10, 150, 459, 149, 465, 150, 457, 149, 451, 149, 487, 150, 476, 
15, 150, 458, 149, 463, 149, 458, 149, 452, 150, 486, 150, 475, 
20, 150, 459, 149, 463, 150, 461, 149, 450, 149, 487, 150, 474, 
25, 150, 459, 149, 463, 149, 459, 149, 450, 150, 485, 150, 475, 
30, 150, 459, 149, 462, 149, 459, 149, 452, 149, 486, 150, 475, 
35, 150, 458, 149, 464, 150, 457, 149, 451, 150, 486, 149, 476, 
40, 150, 459, 149, 463, 149, 457, 149, 452, 149, 485, 150, 475, 
45, 150, 459, 149, 463, 150, 458, 149, 451, 150, 487, 149, 476, 
50, 149, 457, 149, 463, 149, 456, 150, 449, 150, 485, 150, 476, 
55, 150, 457, 149, 463, 150, 456, 149, 450, 149, 485, 150, 475, 
60, 150, 456, 149, 462, 149, 453, 150, 450, 150, 484, 150, 474, 
65, 150, 456, 149, 463, 150, 456, 149, 448, 149, 483, 149, 473, 
70, 150, 455, 149, 462, 150, 454, 150, 446, 150, 484, 150, 472, 
75, 150, 455, 149, 461, 149, 453, 150, 447, 149, 484, 149, 472, 
80, 150, 456, 149, 460, 149, 453, 149, 447, 150, 485, 150, 471, 
85, 150, 458, 150, 459, 149, 454, 149, 448, 150, 488, 149, 471, 
90, 149, 460, 149, 458, 149, 456, 149, 448, 149, 492, 150, 471, 
95, 150, 462, 149, 460, 149, 456, 149, 449, 150, 495, 150, 472, 
100, 150, 466, 149, 458, 149, 457, 150, 453, 150, 498, 150, 476, 
105, 150, 469, 149, 459, 149, 461, 149, 456, 150, 505, 150, 477, 
110, 150, 472, 149, 461, 149, 462, 150, 455, 150, 509, 150, 483, 
115, 150, 476, 149, 463, 149, 464, 149, 460, 150, 514, 150, 485, 
120, 150, 479, 149, 464, 150, 468, 149, 462, 149, 519, 150, 485, 
125, 150, 483, 149, 466, 150, 469, 150, 466, 150, 524, 150, 489, 
130, 150, 486, 149, 469, 149, 469, 149, 468, 150, 528, 150, 494, 
135, 150, 490, 150, 472, 150, 475, 149, 473, 150, 531, 149, 497, 
140, 150, 494, 149, 476, 149, 477, 150, 479, 150, 536, 150, 498, 
145, 150, 498, 150, 482, 150, 478, 149, 478, 150, 538, 150, 503, 
150, 150, 501, 149, 485, 150, 482, 150, 485, 149, 540, 150, 508, 
155, 150, 504, 149, 489, 149, 484, 149, 487, 149, 543, 150, 507, 
160, 150, 507, 150, 492, 150, 488, 150, 489, 149, 546, 150, 512, 
165, 149, 510, 149, 497, 149, 490, 149, 492, 150, 548, 149, 514, 
170, 150, 513, 150, 499, 149, 493, 149, 496, 149, 551, 149, 517, 
175, 150, 517, 150, 503, 149, 496, 150, 498, 149, 555, 149, 520, 
180, 149, 519, 149, 507, 149, 496, 149, 503, 149, 555, 150, 526, 
185, 149, 521, 150, 510, 150, 502, 150, 509, 150, 559, 150, 526, 
190, 149, 524, 149, 512, 149, 504, 150, 510, 149, 558, 150, 526, 
195, 150, 527, 149, 517, 150, 506, 150, 511, 149, 560, 150, 529, 
200, 150, 530, 149, 519, 149, 509, 150, 516, 149, 563, 150, 533, 
205, 150, 533, 149, 522, 149, 511, 150, 519, 149, 564, 150, 531, 
210, 150, 535, 149, 524, 149, 513, 150, 522, 149, 566, 150, 535, 
215, 150, 537, 149, 527, 150, 514, 150, 523, 150, 566, 150, 537, 
220, 150, 539, 150, 529, 150, 516, 150, 527, 150, 567, 150, 539, 
225, 150, 541, 149, 530, 149, 517, 149, 527, 149, 569, 149, 539, 
230, 150, 544, 149, 532, 150, 518, 150, 530, 149, 570, 150, 541, 
235, 150, 544, 150, 534, 150, 521, 150, 532, 150, 573, 150, 543, 
240, 149, 546, 150, 536, 150, 523, 150, 532, 150, 574, 150, 544, 
245, 150, 548, 149, 538, 150, 524, 150, 531, 149, 574, 150, 546, 
250, 149, 548, 149, 538, 149, 526, 149, 536, 149, 576, 150, 547, 
255, 149, 550, 149, 540, 150, 529, 149, 535, 150, 578, 150, 547, 
260, 150, 553, 149, 542, 150, 530, 150, 537, 149, 578, 150, 550, 
265, 150, 554, 149, 543, 150, 529, 150, 541, 150, 580, 150, 551, 
270, 150, 555, 149, 543, 149, 531, 150, 542, 149, 581, 149, 550, 
275, 150, 556, 149, 544, 149, 532, 150, 543, 149, 582, 150, 552, 
280, 149, 557, 149, 546, 150, 531, 149, 543, 149, 581, 150, 553, 
285, 150, 559, 149, 546, 150, 533, 149, 546, 150, 586, 150, 555, 
290, 149, 560, 149, 548, 149, 533, 149, 547, 150, 587, 150, 553, 
295, 150, 561, 149, 549, 150, 535, 149, 545, 150, 586, 150, 557, 
300, 149, 562, 149, 550, 150, 537, 149, 549, 150, 587, 149, 555, 
305, 150, 563, 149, 550, 149, 537, 150, 552, 149, 589, 150, 556, 
310, 150, 564, 149, 551, 150, 537, 150, 550, 149, 590, 150, 557, 
315, 150, 565, 150, 552, 150, 538, 149, 553, 150, 590, 150, 561, 
320, 150, 566, 149, 552, 150, 542, 149, 554, 150, 592, 150, 560, 
325, 150, 567, 149, 554, 149, 543, 150, 555, 150, 591, 149, 561, 
330, 150, 567, 149, 555, 150, 542, 150, 554, 150, 590, 150, 562, 
