t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 391, 149, 390, 150, 384, 149, 379, 150, 399, 150, 393, 
10, 150, 389, 149, 390, 149, 384, 149, 380, 150, 401, 150, 392, 
15, 150, 389, 149, 390, 149, 384, 149, 380, 150, 401, 149, 392, 
20, 150, 392, 149, 391, 149, 385, 150, 380, 149, 400, 150, 392, 
25, 150, 393, 150, 391, 150, 384, 149, 378, 150, 398, 150, 393, 
30, 149, 395, 149, 388, 150, 385, 149, 380, 149, 400, 149, 391, 
35, 149, 396, 150, 390, 150, 385, 149, 379, 150, 401, 150, 393, 
40, 149, 399, 149, 388, 149, 385, 150, 380, 150, 400, 149, 393, 
45, 150, 399, 149, 388, 150, 384, 149, 379, 149, 399, 150, 392, 
50, 150, 399, 149, 389, 150, 384, 149, 378, 150, 398, 150, 393, 
55, 149, 397, 150, 387, 150, 383, 149, 379, 149, 398, 150, 391, 
60, 149, 403, 149, 389, 149, 382, 150, 379, 149, 397, 150, 392, 
65, 150, 403, 150, 390, 150, 379, 150, 374, 149, 395, 149, 392, 
70, 150, 399, 149, 388, 149, 380, 151, 375, 150, 395, 150, 389, 
75, 149, 393, 149, 385, 150, 376, 150, 374, 150, 392, 150, 387, 
80, 150, 386, 149, 384, 149, 374, 150, 370, 150, 389, 150, 384, 
85, 150, 378, 149, 382, 150, 372, 149, 368, 150, 387, 150, 380, 
90, 150, 374, 150, 379, 150, 371, 150, 368, 149, 387, 150, 380, 
95, 150, 371, 149, 375, 150, 370, 149, 367, 150, 384, 150, 379, 
100, 150, 368, 149, 374, 150, 366, 149, 365, 149, 384, 150, 377, 
105, 150, 365, 149, 375, 149, 366, 150, 365, 149, 383, 149, 375, 
110, 150, 364, 150, 372, 150, 367, 149, 364, 150, 383, 149, 376, 
115, 150, 364, 149, 371, 150, 366, 149, 362, 150, 381, 150, 374, 
120, 150, 362, 149, 370, 150, 365, 149, 363, 150, 382, 150, 373, 
125, 149, 363, 150, 371, 150, 365, 149, 361, 150, 381, 150, 374, 
130, 150, 363, 149, 370, 150, 364, 150, 362, 149, 379, 150, 373, 
135, 150, 363, 149, 370, 150, 363, 150, 359, 150, 378, 150, 373, 
140, 150, 362, 149, 371, 150, 363, 149, 361, 149, 377, 150, 370, 
145, 150, 361, 150, 371, 149, 363, 150, 362, 149, 376, 150, 373, 
150, 150, 362, 150, 369, 150, 364, 149, 361, 149, 377, 150, 371, 
155, 150, 362, 149, 369, 150, 362, 150, 359, 150, 376, 150, 371, 
160, 150, 362, 149, 371, 150, 363, 149, 360, 149, 376, 150, 369, 
165, 149, 362, 149, 370, 150, 363, 149, 360, 150, 376, 150, 370, 
170, 150, 363, 149, 368, 150, 363, 149, 359, 149, 376, 149, 369, 
175, 150, 363, 150, 369, 150, 362, 150, 360, 150, 375, 149, 369, 
180, 149, 363, 149, 369, 149, 363, 150, 360, 149, 375, 150, 368, 
185, 150, 363, 150, 368, 150, 364, 150, 359, 150, 375, 149, 369, 
190, 150, 364, 149, 367, 150, 364, 149, 359, 149, 375, 150, 369, 
195, 150, 362, 149, 369, 150, 362, 150, 362, 150, 376, 149, 368, 
200, 150, 363, 149, 368, 150, 364, 149, 361, 150, 375, 150, 368, 
205, 150, 363, 149, 367, 149, 363, 150, 360, 150, 376, 150, 369, 
210, 150, 365, 149, 368, 150, 362, 149, 358, 150, 375, 150, 369, 
215, 149, 364, 149, 370, 150, 363, 149, 360, 150, 376, 150, 367, 
220, 150, 362, 149, 370, 150, 365, 150, 362, 150, 377, 150, 369, 
225, 150, 363, 149, 369, 150, 364, 149, 360, 150, 376, 150, 370, 
230, 150, 362, 149, 369, 150, 364, 150, 359, 150, 375, 149, 368, 
235, 150, 363, 149, 371, 149, 364, 149, 360, 149, 376, 150, 369, 
240, 149, 362, 149, 371, 149, 364, 150, 362, 149, 377, 149, 369, 
245, 150, 362, 149, 371, 149, 364, 150, 360, 149, 375, 150, 370, 
250, 150, 362, 149, 371, 150, 364, 149, 361, 150, 376, 150, 369, 
255, 150, 363, 149, 372, 149, 364, 150, 363, 149, 377, 149, 369, 
260, 150, 363, 149, 372, 150, 365, 150, 361, 149, 376, 150, 370, 
265, 150, 363, 149, 373, 150, 365, 150, 360, 149, 376, 149, 369, 
270, 150, 363, 149, 373, 150, 366, 150, 362, 149, 377, 150, 369, 
275, 149, 365, 149, 374, 150, 367, 149, 362, 150, 377, 150, 369, 
280, 150, 364, 149, 372, 150, 366, 150, 363, 150, 377, 150, 370, 
285, 150, 365, 150, 373, 150, 365, 149, 361, 150, 375, 150, 369, 
290, 149, 361, 149, 375, 150, 366, 149, 362, 149, 376, 150, 367, 
295, 150, 362, 149, 375, 150, 367, 150, 363, 150, 377, 150, 369, 
300, 150, 362, 149, 375, 150, 367, 149, 363, 150, 376, 149, 370, 
305, 150, 362, 149, 375, 150, 366, 149, 362, 149, 377, 150, 369, 
310, 150, 361, 149, 376, 149, 367, 149, 363, 150, 377, 150, 368, 
315, 150, 361, 149, 376, 150, 366, 149, 363, 149, 375, 150, 370, 
320, 150, 363, 149, 376, 150, 365, 149, 362, 150, 374, 150, 370, 
325, 150, 361, 149, 378, 149, 366, 150, 364, 149, 376, 150, 368, 
330, 150, 361, 149, 378, 150, 367, 149, 363, 149, 376, 150, 369, 
