t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 3, 150, 2, 150, 1, 150, -1, 149, 2, 149, -2, 
10, 149, 3, 150, 0, 149, 0, 150, -2, 149, 3, 149, 0, 
15, 150, 3, 149, 3, 149, 4, 149, -1, 150, 2, 149, -2, 
20, 150, 3, 149, 2, 149, 2, 150, -1, 150, 2, 149, -3, 
25, 150, 3, 150, 2, 150, 1, 149, -1, 150, 2, 150, -2, 
30, 149, 2, 149, 3, 150, 3, 151, -2, 149, 2, 149, 0, 
35, 150, 3, 150, 3, 150, 2, 150, -1, 150, 3, 149, -2, 
40, 149, 3, 148, 3, 149, 1, 150, -2, 150, 3, 149, -1, 
45, 149, 2, 149, 4, 150, 0, 149, 0, 150, 4, 150, -3, 
50, 149, 2, 150, 2, 150, 1, 151, 0, 150, 3, 149, -2, 
55, 149, 2, 149, 4, 150, 3, 150, 0, 150, 3, 150, 0, 
60, 150, 3, 149, 3, 149, 3, 151, 0, 150, 4, 149, 0, 
65, 150, 2, 150, 2, 149, 0, 149, 0, 150, 3, 150, -1, 
70, 149, 2, 150, 2, 150, 1, 150, -1, 150, 2, 150, -3, 
75, 150, 3, 150, 1, 149, 1, 150, -1, 150, 3, 149, -2, 
80, 150, 2, 149, 2, 150, 1, 149, 0, 150, 3, 149, -2, 
85, 150, 2, 149, 1, 150, 0, 150, -1, 150, 3, 149, -1, 
90, 149, 3, 149, 4, 150, 1, 150, -1, 150, 2, 149, -2, 
95, 150, 2, 150, 2, 150, 3, 150, 0, 149, 3, 149, 0, 
100, 149, 3, 149, 3, 150, 3, 150, -1, 150, 2, 149, -1, 
105, 150, 2, 149, 3, 149, 3, 150, -1, 150, 3, 149, 0, 
110, 150, 2, 149, 2, 150, 3, 150, -1, 150, 3, 149, -3, 
115, 149, 2, 149, 3, 150, 1, 150, -1, 150, 2, 149, -1, 
120, 150, 3, 150, 1, 149, 3, 149, -1, 150, 3, 150, -3, 
125, 149, 3, 149, 2, 149, 1, 150, 0, 150, 2, 149, 0, 
130, 149, 3, 150, 2, 150, 1, 149, -1, 150, 3, 150, 0, 
135, 149, 3, 149, 1, 150, 0, 151, 0, 150, 4, 150, -2, 
140, 149, 3, 150, 2, 150, 1, 149, -1, 150, 2, 150, 0, 
145, 149, 3, 149, 2, 149, 2, 150, 0, 150, 3, 150, -1, 
150, 149, 3, 149, 2, 150, 3, 150, 0, 150, 2, 149, -2, 
155, 149, 3, 150, 1, 150, 3, 149, -1, 149, 2, 150, -2, 
160, 150, 2, 150, 2, 149, 2, 150, -1, 150, 3, 149, -2, 
165, 150, 2, 150, 1, 149, 3, 150, -1, 150, 4, 149, -2, 
170, 150, 2, 149, 2, 150, 3, 149, 0, 150, 1, 149, -4, 
175, 150, 2, 149, 1, 149, 2, 150, 0, 150, 2, 150, -2, 
180, 150, 2, 150, 3, 149, 2, 150, 0, 150, 3, 150, -1, 
185, 150, 2, 149, 1, 149, 2, 150, 0, 150, 2, 150, -2, 
190, 150, 2, 149, 2, 150, 1, 149, -1, 149, 1, 150, -1, 
195, 150, 2, 149, 2, 150, 1, 150, -1, 150, 3, 150, 0, 
200, 150, 2, 150, 3, 150, 3, 150, -1, 149, 2, 149, 0, 
205, 150, 2, 149, 2, 150, 3, 149, -1, 149, 4, 150, -1, 
210, 150, 2, 150, 3, 149, 2, 149, -1, 150, 2, 149, 0, 
215, 150, 2, 149, 3, 150, 2, 150, 0, 150, 1, 149, 0, 
220, 150, 2, 150, 2, 150, 2, 150, 0, 149, 2, 150, -1, 
225, 149, 2, 149, 3, 150, 2, 149, 0, 150, 2, 150, 0, 
230, 150, 2, 149, 3, 150, 1, 150, 0, 149, 2, 149, 0, 
235, 149, 2, 149, 2, 150, 2, 150, -2, 150, 2, 149, 0, 
240, 150, 2, 150, 2, 149, 2, 150, -1, 150, 2, 150, -1, 
245, 149, 2, 149, 1, 149, 0, 149, 0, 149, 3, 149, -1, 
250, 149, 2, 149, 1, 150, 0, 149, 0, 150, 3, 149, -1, 
255, 149, 2, 150, 2, 149, 0, 149, 0, 150, 3, 150, -2, 
260, 149, 2, 149, 4, 150, 1, 149, 0, 150, 3, 149, 0, 
265, 149, 2, 150, 3, 149, 1, 150, -1, 150, 3, 149, -2, 
270, 150, 2, 150, 1, 150, 1, 149, -1, 150, 2, 150, -1, 
275, 150, 2, 149, 2, 150, 2, 149, 0, 150, 2, 150, -3, 
280, 150, 2, 150, 3, 150, 0, 149, 0, 149, 3, 150, -1, 
285, 150, 2, 150, 1, 150, 2, 149, -1, 150, 4, 149, 0, 
290, 150, 2, 150, 1, 150, 1, 150, -2, 150, 4, 149, -1, 
295, 150, 2, 149, 2, 150, 1, 150, -1, 150, 2, 149, -1, 
300, 150, 2, 149, 1, 150, 1, 150, -1, 150, 2, 150, 0, 
305, 149, 2, 149, 1, 150, 1, 150, -1, 150, 3, 149, 0, 
310, 149, 2, 150, 1, 150, 1, 149, 0, 150, 2, 149, 0, 
315, 149, 2, 150, 1, 149, 0, 149, 0, 150, 2, 150, -1, 
320, 150, 2, 150, 1, 150, 1, 150, 0, 149, 3, 149, 0, 
325, 150, 2, 149, 1, 150, 0, 150, -2, 149, 1, 149, -2, 
330, 150, 2, 149, 1, 150, 0, 150, -1, 150, 4, 149, -1, 
