t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 385, 150, 386, 149, 387, 150, 387, 150, 394, 149, 391, 
10, 150, 387, 150, 388, 150, 391, 149, 391, 149, 397, 150, 394, 
15, 150, 387, 150, 390, 150, 392, 150, 393, 150, 399, 150, 396, 
20, 150, 388, 150, 390, 149, 393, 150, 393, 150, 400, 150, 398, 
25, 150, 388, 149, 390, 150, 395, 150, 394, 150, 402, 150, 398, 
30, 149, 388, 150, 391, 150, 394, 150, 395, 150, 402, 149, 399, 
35, 150, 390, 149, 392, 150, 395, 150, 395, 150, 403, 150, 399, 
40, 150, 388, 149, 390, 150, 394, 149, 394, 150, 402, 150, 397, 
45, 150, 387, 150, 390, 150, 395, 150, 394, 150, 401, 149, 398, 
50, 150, 386, 150, 390, 148, 391, 149, 394, 149, 401, 150, 398, 
55, 149, 387, 150, 390, 150, 394, 150, 394, 150, 399, 149, 397, 
60, 149, 386, 150, 390, 150, 393, 149, 393, 150, 399, 149, 395, 
65, 150, 386, 150, 390, 150, 392, 149, 392, 150, 397, 149, 395, 
70, 150, 385, 150, 389, 150, 391, 150, 391, 150, 397, 150, 395, 
75, 150, 385, 149, 389, 150, 391, 150, 390, 150, 394, 150, 395, 
80, 150, 385, 149, 388, 150, 389, 150, 389, 149, 393, 150, 394, 
85, 150, 384, 150, 389, 149, 388, 149, 388, 150, 393, 150, 393, 
90, 150, 383, 150, 388, 150, 387, 149, 387, 150, 391, 150, 393, 
95, 150, 381, 150, 388, 150, 387, 149, 387, 150, 390, 150, 391, 
100, 150, 382, 150, 387, 150, 385, 150, 387, 150, 389, 150, 390, 
105, 150, 381, 150, 387, 149, 385, 149, 386, 150, 389, 150, 389, 
110, 150, 381, 150, 386, 150, 385, 150, 386, 149, 388, 149, 389, 
115, 150, 379, 149, 385, 150, 385, 149, 385, 149, 387, 149, 388, 
120, 150, 378, 150, 385, 150, 384, 150, 385, 149, 388, 150, 388, 
125, 150, 378, 150, 385, 150, 383, 149, 385, 149, 387, 150, 386, 
130, 150, 377, 150, 385, 150, 383, 150, 384, 150, 388, 149, 386, 
135, 150, 377, 150, 384, 150, 382, 149, 384, 149, 387, 150, 386, 
140, 150, 377, 150, 383, 150, 383, 150, 384, 150, 388, 149, 386, 
145, 150, 377, 150, 382, 150, 382, 150, 383, 149, 388, 150, 385, 
150, 150, 376, 150, 381, 150, 382, 150, 383, 150, 388, 149, 384, 
155, 150, 376, 150, 382, 150, 382, 150, 383, 149, 388, 150, 384, 
160, 150, 377, 150, 380, 150, 382, 149, 382, 149, 388, 149, 384, 
165, 150, 375, 150, 380, 149, 383, 149, 382, 150, 388, 149, 385, 
170, 150, 375, 149, 380, 150, 383, 149, 382, 149, 388, 149, 384, 
175, 150, 375, 150, 380, 150, 382, 149, 382, 149, 389, 149, 384, 
180, 150, 374, 149, 376, 149, 382, 149, 382, 150, 389, 150, 384, 
185, 150, 374, 150, 379, 149, 382, 150, 383, 150, 388, 150, 383, 
190, 150, 374, 150, 379, 149, 382, 149, 382, 149, 389, 149, 383, 
195, 150, 374, 150, 378, 150, 383, 149, 382, 150, 388, 150, 383, 
200, 150, 374, 150, 378, 149, 383, 150, 382, 150, 388, 150, 383, 
205, 150, 374, 150, 378, 150, 383, 149, 382, 150, 389, 149, 384, 
210, 150, 373, 151, 380, 150, 382, 150, 382, 149, 388, 150, 384, 
215, 150, 374, 150, 376, 150, 383, 149, 381, 150, 388, 150, 384, 
220, 150, 374, 150, 377, 150, 382, 150, 382, 149, 388, 150, 384, 
225, 150, 373, 150, 376, 150, 382, 149, 382, 149, 388, 150, 384, 
230, 150, 374, 150, 375, 150, 383, 150, 381, 149, 388, 150, 384, 
235, 150, 374, 150, 375, 149, 380, 149, 381, 149, 388, 150, 384, 
240, 150, 374, 150, 375, 150, 381, 149, 381, 150, 387, 150, 383, 
245, 150, 373, 150, 375, 149, 380, 149, 380, 150, 387, 150, 384, 
250, 149, 374, 150, 374, 150, 383, 149, 381, 150, 387, 150, 383, 
255, 150, 374, 149, 374, 150, 382, 149, 380, 150, 386, 150, 383, 
260, 150, 375, 150, 372, 149, 382, 150, 383, 150, 386, 149, 383, 
265, 150, 374, 150, 373, 150, 382, 150, 380, 149, 386, 150, 383, 
270, 149, 374, 150, 373, 150, 381, 150, 381, 149, 385, 150, 383, 
275, 149, 373, 150, 373, 150, 382, 149, 379, 150, 385, 150, 383, 
280, 150, 374, 150, 373, 150, 380, 149, 379, 150, 383, 150, 382, 
285, 150, 375, 150, 372, 150, 381, 150, 379, 149, 383, 150, 382, 
290, 150, 374, 150, 372, 150, 379, 149, 379, 150, 382, 150, 381, 
295, 150, 374, 150, 371, 149, 380, 149, 378, 150, 380, 150, 381, 
300, 150, 374, 150, 372, 150, 379, 150, 378, 150, 380, 149, 381, 
305, 150, 374, 150, 371, 150, 378, 150, 376, 150, 379, 150, 381, 
310, 150, 374, 150, 370, 149, 377, 149, 377, 149, 378, 149, 381, 
315, 150, 374, 150, 371, 150, 377, 149, 376, 149, 376, 150, 379, 
320, 150, 373, 150, 371, 150, 375, 149, 375, 150, 376, 150, 379, 
325, 150, 373, 150, 370, 150, 375, 149, 376, 149, 374, 149, 378, 
330, 150, 374, 150, 370, 150, 375, 150, 377, 149, 373, 150, 379, 
