t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 444, 150, 429, 150, 463, 150, 451, 149, 457, 150, 423, 
10, 150, 446, 150, 433, 150, 466, 149, 456, 150, 461, 150, 427, 
15, 150, 448, 150, 434, 149, 469, 149, 459, 150, 462, 150, 429, 
20, 150, 449, 150, 435, 150, 470, 150, 462, 150, 462, 150, 432, 
25, 150, 449, 149, 436, 149, 470, 149, 463, 149, 463, 150, 432, 
30, 150, 450, 150, 437, 150, 473, 149, 464, 149, 465, 150, 432, 
35, 150, 450, 150, 437, 150, 474, 150, 466, 150, 464, 150, 433, 
40, 150, 453, 150, 437, 149, 471, 149, 462, 150, 463, 150, 431, 
45, 150, 451, 149, 438, 150, 471, 149, 464, 150, 460, 149, 428, 
50, 150, 449, 150, 436, 149, 469, 149, 462, 150, 461, 150, 427, 
55, 150, 448, 150, 435, 150, 469, 149, 462, 149, 459, 150, 425, 
60, 150, 446, 150, 434, 150, 467, 149, 460, 149, 457, 150, 422, 
65, 150, 446, 149, 432, 150, 468, 150, 459, 149, 457, 150, 422, 
70, 150, 444, 149, 430, 150, 466, 150, 457, 150, 455, 150, 422, 
75, 149, 442, 149, 428, 150, 464, 149, 455, 149, 454, 150, 421, 
80, 150, 441, 150, 429, 150, 463, 150, 453, 150, 452, 150, 419, 
85, 150, 440, 150, 428, 151, 465, 149, 452, 150, 452, 150, 419, 
90, 150, 438, 150, 427, 150, 459, 149, 450, 150, 451, 150, 418, 
95, 150, 437, 149, 425, 150, 458, 150, 449, 150, 450, 150, 418, 
100, 150, 436, 150, 424, 150, 457, 150, 449, 150, 452, 150, 418, 
105, 150, 435, 150, 424, 150, 456, 150, 448, 150, 450, 150, 418, 
110, 150, 435, 150, 424, 150, 454, 150, 448, 150, 450, 150, 417, 
115, 150, 435, 150, 423, 150, 455, 150, 447, 150, 452, 150, 418, 
120, 149, 434, 149, 423, 150, 454, 150, 446, 149, 451, 150, 418, 
125, 150, 433, 150, 423, 150, 455, 149, 447, 150, 451, 150, 418, 
130, 149, 433, 150, 423, 150, 456, 150, 447, 149, 452, 150, 420, 
135, 150, 432, 150, 422, 149, 455, 149, 446, 150, 454, 150, 421, 
140, 150, 432, 150, 422, 150, 457, 149, 446, 150, 455, 150, 422, 
145, 150, 432, 150, 423, 150, 457, 149, 446, 149, 455, 150, 422, 
150, 150, 434, 150, 423, 150, 459, 150, 446, 149, 455, 150, 423, 
155, 150, 432, 150, 423, 150, 461, 150, 447, 150, 456, 149, 423, 
160, 150, 431, 150, 423, 150, 462, 150, 447, 150, 457, 150, 425, 
165, 150, 431, 150, 423, 150, 463, 150, 447, 150, 457, 150, 427, 
170, 150, 431, 149, 424, 149, 465, 149, 448, 150, 458, 150, 427, 
175, 150, 431, 150, 425, 150, 467, 150, 447, 150, 460, 150, 428, 
180, 150, 431, 149, 425, 150, 467, 149, 448, 150, 460, 150, 429, 
185, 150, 432, 150, 425, 150, 468, 149, 448, 150, 462, 150, 431, 
190, 149, 431, 150, 426, 150, 470, 149, 448, 150, 460, 150, 430, 
195, 150, 432, 150, 428, 150, 471, 149, 449, 150, 461, 150, 431, 
200, 150, 431, 150, 427, 150, 472, 149, 449, 150, 464, 150, 431, 
205, 149, 433, 150, 428, 150, 473, 150, 448, 150, 464, 150, 433, 
210, 150, 432, 150, 428, 149, 474, 149, 449, 150, 463, 150, 432, 
215, 150, 432, 149, 429, 150, 474, 149, 449, 149, 463, 150, 433, 
220, 149, 433, 150, 430, 150, 475, 149, 449, 149, 463, 150, 433, 
225, 150, 434, 150, 430, 150, 476, 149, 448, 150, 465, 150, 434, 
230, 150, 433, 150, 430, 149, 476, 150, 449, 150, 464, 149, 433, 
235, 150, 434, 150, 429, 150, 477, 150, 449, 150, 466, 150, 433, 
240, 150, 434, 150, 431, 149, 477, 150, 449, 149, 465, 150, 434, 
245, 150, 436, 150, 430, 149, 478, 149, 448, 150, 466, 150, 435, 
250, 150, 435, 150, 431, 149, 477, 150, 448, 149, 467, 150, 433, 
255, 150, 435, 150, 431, 150, 477, 149, 447, 149, 467, 150, 435, 
260, 149, 434, 150, 430, 150, 477, 149, 447, 149, 465, 150, 434, 
265, 150, 435, 150, 431, 149, 476, 150, 447, 149, 466, 149, 433, 
270, 149, 434, 150, 431, 150, 477, 149, 446, 150, 464, 150, 435, 
275, 150, 435, 150, 431, 150, 477, 149, 446, 150, 464, 150, 433, 
280, 150, 436, 150, 432, 150, 477, 150, 445, 149, 465, 150, 432, 
285, 150, 435, 150, 431, 149, 476, 149, 444, 149, 463, 149, 432, 
290, 149, 435, 150, 431, 150, 475, 150, 443, 150, 463, 150, 431, 
295, 150, 435, 150, 432, 150, 475, 150, 442, 150, 462, 150, 430, 
300, 150, 436, 148, 428, 150, 475, 149, 441, 150, 463, 150, 432, 
305, 149, 433, 150, 430, 150, 474, 150, 440, 149, 461, 150, 431, 
310, 150, 435, 150, 430, 150, 473, 149, 438, 149, 461, 150, 429, 
315, 149, 435, 150, 430, 150, 473, 149, 438, 150, 461, 150, 430, 
320, 149, 435, 150, 431, 149, 473, 149, 437, 150, 460, 150, 430, 
325, 150, 434, 149, 430, 150, 472, 150, 435, 149, 460, 150, 429, 
330, 150, 435, 150, 430, 149, 470, 150, 434, 149, 458, 150, 428, 
