t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 496, 150, 493, 149, 490, 149, 488, 149, 488, 150, 493, 
10, 150, 502, 150, 500, 150, 499, 149, 497, 149, 497, 149, 501, 
15, 150, 508, 150, 505, 149, 503, 150, 502, 149, 503, 150, 507, 
20, 149, 510, 150, 510, 150, 505, 150, 506, 150, 508, 150, 511, 
25, 150, 512, 150, 511, 150, 508, 149, 509, 150, 511, 149, 514, 
30, 150, 514, 150, 513, 149, 510, 150, 512, 149, 513, 150, 516, 
35, 150, 516, 150, 516, 150, 513, 149, 512, 150, 515, 149, 517, 
40, 150, 514, 150, 514, 150, 514, 149, 513, 150, 516, 150, 519, 
45, 150, 510, 150, 512, 150, 513, 150, 512, 149, 512, 150, 518, 
50, 149, 510, 150, 512, 149, 512, 149, 511, 150, 515, 150, 519, 
55, 150, 508, 150, 511, 150, 512, 150, 510, 150, 515, 149, 520, 
60, 150, 510, 150, 512, 149, 511, 149, 508, 150, 517, 150, 520, 
65, 150, 510, 150, 512, 150, 511, 150, 508, 150, 514, 149, 520, 
70, 149, 508, 150, 511, 150, 508, 149, 507, 149, 514, 150, 520, 
75, 150, 508, 149, 512, 150, 507, 149, 506, 150, 513, 150, 520, 
80, 150, 511, 150, 513, 150, 509, 150, 505, 150, 510, 149, 519, 
85, 150, 510, 149, 512, 150, 505, 149, 504, 150, 510, 150, 519, 
90, 150, 509, 150, 512, 150, 506, 150, 505, 150, 509, 149, 519, 
95, 150, 508, 150, 512, 150, 504, 149, 505, 149, 508, 150, 519, 
100, 150, 507, 150, 512, 149, 504, 149, 505, 149, 506, 150, 518, 
105, 150, 505, 150, 512, 150, 505, 149, 506, 149, 506, 149, 518, 
110, 150, 504, 150, 513, 149, 505, 150, 506, 150, 505, 150, 518, 
115, 150, 504, 150, 513, 150, 504, 149, 507, 149, 507, 150, 518, 
120, 150, 504, 150, 513, 150, 506, 149, 509, 150, 508, 150, 518, 
125, 150, 506, 149, 515, 150, 508, 150, 509, 149, 512, 150, 518, 
130, 150, 504, 150, 515, 150, 510, 149, 511, 149, 513, 150, 520, 
135, 150, 505, 150, 517, 150, 510, 149, 512, 149, 514, 149, 519, 
140, 149, 505, 150, 518, 150, 513, 149, 515, 150, 515, 149, 521, 
145, 150, 505, 150, 518, 149, 511, 149, 517, 150, 518, 149, 521, 
150, 150, 506, 150, 518, 150, 516, 149, 519, 149, 514, 150, 523, 
155, 150, 508, 150, 521, 150, 515, 150, 521, 150, 517, 149, 523, 
160, 150, 509, 149, 521, 150, 519, 149, 523, 149, 519, 150, 523, 
165, 150, 508, 150, 523, 150, 520, 149, 526, 149, 519, 150, 524, 
170, 149, 510, 149, 524, 150, 522, 149, 529, 149, 521, 150, 524, 
175, 150, 510, 150, 525, 150, 522, 149, 532, 149, 523, 150, 525, 
180, 150, 511, 150, 526, 150, 524, 150, 534, 150, 522, 150, 525, 
185, 150, 512, 150, 528, 150, 526, 149, 537, 150, 525, 150, 525, 
190, 150, 514, 150, 529, 149, 528, 149, 539, 149, 526, 150, 524, 
195, 150, 514, 150, 529, 150, 530, 149, 542, 150, 525, 150, 525, 
200, 150, 514, 150, 532, 150, 531, 149, 543, 150, 527, 150, 524, 
205, 150, 514, 150, 531, 149, 533, 149, 546, 149, 528, 150, 524, 
210, 150, 514, 150, 533, 150, 536, 149, 547, 150, 527, 149, 523, 
215, 149, 515, 150, 535, 149, 538, 149, 548, 149, 528, 150, 525, 
220, 150, 516, 150, 537, 149, 538, 150, 551, 149, 528, 150, 523, 
225, 150, 516, 150, 539, 150, 543, 150, 552, 150, 530, 149, 521, 
230, 150, 518, 150, 541, 149, 542, 150, 555, 149, 532, 150, 521, 
235, 150, 519, 150, 543, 150, 547, 150, 558, 150, 530, 149, 521, 
240, 150, 520, 150, 545, 150, 548, 149, 556, 150, 533, 150, 520, 
245, 150, 519, 150, 546, 150, 549, 150, 560, 150, 534, 149, 520, 
250, 150, 518, 150, 547, 150, 549, 149, 561, 150, 531, 150, 519, 
255, 150, 519, 150, 547, 149, 549, 149, 562, 149, 531, 150, 518, 
260, 150, 520, 150, 549, 150, 551, 150, 563, 149, 530, 150, 518, 
265, 150, 519, 150, 550, 150, 551, 149, 565, 150, 532, 150, 517, 
270, 150, 519, 150, 551, 150, 551, 149, 566, 149, 531, 150, 518, 
275, 150, 519, 150, 552, 150, 553, 149, 566, 150, 533, 149, 516, 
280, 150, 517, 149, 553, 150, 555, 150, 568, 150, 533, 149, 515, 
285, 150, 517, 150, 552, 149, 550, 149, 568, 150, 531, 150, 514, 
290, 150, 517, 150, 554, 150, 553, 149, 568, 150, 530, 150, 515, 
295, 150, 515, 150, 554, 150, 549, 149, 568, 149, 528, 150, 513, 
300, 150, 516, 150, 555, 150, 554, 149, 568, 150, 529, 149, 512, 
305, 150, 514, 150, 556, 149, 552, 149, 568, 149, 528, 150, 513, 
310, 150, 513, 150, 557, 149, 552, 149, 568, 149, 526, 150, 511, 
315, 150, 512, 150, 556, 150, 552, 150, 568, 150, 526, 150, 511, 
320, 149, 510, 150, 558, 150, 556, 150, 568, 149, 525, 150, 511, 
325, 150, 509, 150, 558, 150, 552, 150, 568, 149, 524, 150, 509, 
330, 150, 507, 150, 558, 150, 549, 149, 567, 150, 520, 150, 509, 
