t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 499, 149, 495, 150, 505, 150, 495, 150, 498, 150, 506, 
10, 150, 502, 150, 498, 150, 509, 150, 499, 149, 502, 150, 511, 
15, 150, 504, 150, 501, 149, 512, 150, 502, 150, 506, 149, 513, 
20, 150, 507, 149, 503, 149, 513, 149, 507, 150, 509, 150, 515, 
25, 150, 506, 149, 504, 150, 516, 149, 507, 150, 511, 150, 517, 
30, 150, 506, 150, 506, 150, 517, 150, 509, 149, 513, 149, 518, 
35, 150, 507, 150, 505, 150, 518, 150, 511, 149, 515, 150, 518, 
40, 150, 507, 150, 506, 150, 518, 149, 511, 150, 515, 150, 519, 
45, 150, 507, 150, 507, 150, 518, 150, 513, 149, 515, 150, 519, 
50, 150, 506, 150, 506, 149, 519, 150, 512, 150, 516, 150, 520, 
55, 150, 505, 150, 504, 150, 519, 150, 511, 150, 516, 150, 522, 
60, 150, 503, 150, 505, 150, 519, 149, 511, 150, 516, 149, 522, 
65, 150, 502, 150, 502, 149, 519, 150, 510, 150, 517, 150, 521, 
70, 150, 501, 150, 501, 149, 519, 149, 509, 150, 518, 150, 521, 
75, 150, 501, 150, 501, 150, 519, 150, 510, 150, 520, 150, 522, 
80, 150, 500, 150, 499, 150, 518, 150, 508, 149, 519, 150, 521, 
85, 150, 500, 150, 498, 150, 516, 150, 508, 150, 519, 150, 520, 
90, 150, 499, 149, 495, 150, 514, 149, 506, 150, 518, 150, 520, 
95, 150, 499, 150, 496, 150, 514, 150, 504, 150, 515, 149, 519, 
100, 150, 499, 150, 494, 150, 511, 150, 502, 150, 515, 150, 520, 
105, 150, 499, 150, 493, 150, 510, 150, 502, 150, 514, 150, 518, 
110, 150, 501, 150, 492, 150, 509, 150, 501, 149, 513, 149, 519, 
115, 150, 500, 149, 492, 150, 509, 150, 502, 150, 513, 150, 518, 
120, 149, 501, 149, 490, 150, 508, 150, 501, 150, 511, 149, 517, 
125, 150, 502, 150, 491, 150, 507, 150, 500, 150, 511, 149, 517, 
130, 150, 502, 149, 491, 150, 507, 149, 501, 150, 510, 150, 516, 
135, 150, 502, 150, 491, 150, 506, 149, 501, 150, 510, 150, 515, 
140, 150, 503, 150, 491, 150, 506, 149, 500, 149, 510, 150, 516, 
145, 149, 503, 149, 492, 150, 506, 149, 499, 150, 510, 150, 515, 
150, 150, 502, 150, 492, 150, 506, 149, 501, 149, 510, 150, 515, 
155, 150, 503, 150, 493, 150, 506, 150, 500, 149, 510, 150, 516, 
160, 150, 502, 150, 492, 149, 505, 150, 501, 150, 510, 150, 514, 
165, 150, 502, 150, 492, 150, 505, 150, 501, 149, 510, 150, 515, 
170, 149, 500, 149, 493, 150, 506, 150, 502, 149, 510, 150, 515, 
175, 150, 501, 150, 493, 149, 505, 150, 502, 150, 511, 150, 515, 
180, 150, 502, 150, 494, 150, 506, 149, 502, 149, 510, 150, 514, 
185, 150, 500, 150, 495, 150, 506, 150, 502, 149, 508, 150, 513, 
190, 150, 501, 150, 496, 150, 506, 149, 502, 150, 511, 150, 514, 
195, 150, 500, 150, 495, 150, 506, 149, 503, 150, 510, 150, 513, 
200, 150, 500, 149, 495, 150, 506, 150, 502, 150, 510, 150, 513, 
205, 149, 500, 150, 495, 150, 507, 149, 502, 149, 510, 150, 512, 
210, 149, 499, 150, 495, 150, 507, 149, 503, 150, 511, 150, 512, 
215, 149, 500, 149, 495, 150, 507, 150, 503, 149, 509, 150, 511, 
220, 150, 500, 150, 496, 149, 508, 149, 501, 150, 509, 150, 511, 
225, 150, 499, 151, 499, 149, 508, 150, 504, 150, 509, 150, 509, 
230, 150, 500, 150, 495, 150, 508, 149, 502, 150, 509, 149, 508, 
235, 150, 500, 150, 495, 150, 509, 149, 503, 150, 509, 150, 509, 
240, 150, 500, 150, 496, 149, 510, 150, 503, 150, 508, 150, 508, 
245, 149, 500, 149, 495, 150, 510, 149, 502, 150, 508, 150, 506, 
250, 149, 500, 150, 496, 149, 510, 149, 503, 150, 507, 149, 506, 
255, 150, 500, 150, 498, 150, 515, 150, 503, 150, 506, 150, 504, 
260, 149, 500, 150, 496, 150, 512, 150, 505, 150, 506, 150, 502, 
265, 150, 500, 150, 496, 150, 511, 150, 502, 150, 505, 150, 503, 
270, 149, 499, 150, 496, 150, 511, 149, 503, 150, 504, 150, 501, 
275, 150, 500, 150, 496, 150, 511, 149, 503, 149, 504, 150, 499, 
280, 150, 500, 150, 496, 150, 511, 149, 502, 150, 507, 150, 499, 
285, 150, 499, 150, 497, 150, 510, 150, 503, 149, 502, 150, 496, 
290, 150, 499, 150, 497, 150, 511, 150, 502, 150, 503, 150, 497, 
295, 149, 499, 150, 496, 149, 510, 149, 502, 150, 501, 150, 494, 
300, 150, 500, 150, 497, 150, 510, 150, 502, 150, 501, 150, 492, 
305, 150, 500, 149, 496, 150, 510, 149, 502, 149, 500, 150, 493, 
310, 150, 500, 150, 497, 150, 509, 149, 502, 150, 501, 150, 491, 
315, 150, 499, 150, 497, 150, 514, 149, 502, 149, 498, 150, 489, 
320, 150, 500, 150, 497, 150, 508, 150, 501, 149, 499, 150, 487, 
325, 149, 499, 149, 496, 150, 508, 149, 502, 149, 498, 150, 486, 
330, 150, 500, 149, 497, 150, 508, 149, 502, 150, 497, 149, 485, 
