t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 438, 150, 439, 150, 444, 150, 439, 150, 442, 150, 451, 
10, 150, 440, 150, 442, 149, 446, 150, 442, 149, 446, 150, 454, 
15, 150, 442, 150, 444, 150, 448, 150, 444, 150, 450, 150, 456, 
20, 150, 441, 149, 444, 150, 449, 150, 445, 150, 450, 150, 458, 
25, 150, 441, 150, 445, 150, 449, 150, 446, 149, 450, 149, 458, 
30, 150, 442, 150, 445, 150, 449, 150, 446, 149, 451, 150, 459, 
35, 149, 442, 150, 445, 149, 447, 149, 448, 149, 451, 150, 460, 
40, 150, 440, 150, 446, 150, 451, 149, 448, 150, 452, 150, 459, 
45, 150, 440, 150, 445, 150, 451, 150, 447, 150, 451, 150, 460, 
50, 150, 438, 150, 444, 150, 450, 150, 446, 150, 451, 150, 459, 
55, 149, 436, 150, 443, 150, 450, 149, 445, 150, 450, 150, 460, 
60, 150, 434, 150, 441, 149, 449, 150, 445, 149, 450, 150, 460, 
65, 150, 432, 150, 441, 150, 448, 149, 443, 149, 449, 149, 459, 
70, 150, 430, 150, 440, 150, 447, 150, 441, 150, 448, 150, 460, 
75, 150, 428, 150, 437, 150, 444, 150, 438, 150, 449, 150, 458, 
80, 149, 426, 150, 436, 150, 442, 150, 437, 149, 446, 150, 458, 
85, 150, 425, 150, 435, 150, 440, 150, 435, 150, 446, 150, 456, 
90, 150, 423, 149, 434, 149, 438, 150, 433, 149, 445, 150, 455, 
95, 150, 422, 150, 431, 150, 437, 150, 433, 150, 444, 149, 453, 
100, 149, 422, 150, 433, 150, 436, 149, 431, 149, 444, 150, 453, 
105, 150, 421, 150, 430, 150, 435, 150, 431, 149, 442, 150, 452, 
110, 150, 421, 149, 428, 150, 434, 150, 431, 149, 441, 150, 449, 
115, 150, 420, 150, 428, 149, 432, 149, 429, 149, 440, 150, 448, 
120, 149, 419, 150, 427, 150, 433, 150, 429, 150, 439, 150, 448, 
125, 150, 420, 150, 428, 149, 430, 149, 429, 149, 436, 150, 447, 
130, 150, 419, 150, 426, 150, 432, 149, 428, 150, 437, 150, 446, 
135, 150, 419, 149, 426, 150, 433, 149, 428, 150, 437, 150, 445, 
140, 150, 419, 149, 425, 150, 431, 149, 427, 150, 437, 149, 444, 
145, 150, 419, 150, 427, 150, 432, 150, 427, 150, 435, 149, 444, 
150, 150, 419, 150, 427, 150, 432, 150, 427, 149, 434, 149, 444, 
155, 150, 420, 150, 426, 150, 431, 150, 427, 150, 435, 150, 443, 
160, 150, 420, 150, 426, 149, 431, 149, 427, 150, 432, 150, 443, 
165, 150, 420, 150, 427, 150, 432, 150, 427, 150, 431, 150, 443, 
170, 150, 421, 150, 428, 150, 432, 149, 427, 150, 431, 149, 442, 
175, 150, 421, 150, 429, 150, 432, 149, 427, 150, 431, 150, 442, 
180, 150, 421, 150, 428, 150, 432, 150, 426, 150, 430, 149, 442, 
185, 150, 422, 150, 432, 150, 434, 150, 427, 149, 430, 149, 441, 
190, 150, 423, 150, 432, 150, 434, 149, 426, 149, 429, 150, 442, 
195, 150, 423, 150, 432, 150, 436, 149, 426, 150, 430, 150, 442, 
200, 150, 424, 150, 434, 150, 434, 150, 426, 150, 430, 149, 442, 
205, 149, 424, 150, 433, 149, 435, 150, 426, 149, 431, 150, 442, 
210, 150, 425, 150, 436, 150, 435, 150, 426, 149, 430, 150, 442, 
215, 149, 425, 150, 437, 150, 439, 150, 426, 150, 430, 150, 443, 
220, 150, 426, 150, 438, 150, 437, 150, 426, 150, 430, 150, 443, 
225, 150, 427, 150, 440, 149, 437, 150, 425, 150, 430, 149, 444, 
230, 150, 427, 149, 441, 150, 438, 149, 425, 149, 431, 149, 445, 
235, 149, 427, 150, 443, 149, 437, 149, 425, 150, 432, 150, 444, 
240, 150, 428, 149, 442, 150, 440, 149, 425, 149, 430, 150, 445, 
245, 150, 429, 149, 444, 151, 444, 150, 425, 150, 432, 149, 445, 
250, 150, 430, 150, 445, 150, 440, 150, 426, 149, 431, 150, 446, 
255, 150, 430, 150, 447, 150, 440, 149, 425, 149, 430, 150, 446, 
260, 149, 430, 150, 448, 149, 440, 150, 426, 150, 430, 149, 446, 
265, 150, 431, 150, 447, 150, 441, 150, 425, 149, 431, 149, 447, 
270, 150, 431, 150, 447, 149, 440, 149, 424, 149, 432, 150, 448, 
275, 150, 430, 150, 446, 149, 441, 149, 424, 149, 432, 150, 448, 
280, 150, 430, 150, 446, 149, 441, 150, 424, 149, 432, 150, 449, 
285, 150, 430, 149, 446, 150, 442, 149, 424, 150, 431, 150, 450, 
290, 150, 430, 150, 442, 150, 442, 150, 423, 150, 431, 150, 450, 
295, 150, 430, 149, 441, 149, 443, 150, 423, 149, 429, 150, 452, 
300, 149, 429, 150, 440, 150, 444, 150, 424, 149, 429, 150, 452, 
305, 150, 430, 149, 438, 150, 442, 149, 423, 150, 429, 150, 454, 
310, 150, 430, 150, 439, 150, 443, 150, 424, 150, 428, 150, 455, 
315, 150, 431, 150, 438, 149, 443, 149, 423, 149, 426, 150, 455, 
320, 150, 431, 150, 439, 150, 444, 150, 424, 149, 427, 149, 456, 
325, 150, 432, 150, 438, 150, 442, 150, 423, 150, 425, 149, 457, 
330, 149, 431, 150, 438, 150, 444, 149, 421, 150, 426, 150, 458, 
