t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 405, 150, 393, 150, 399, 149, 391, 150, 397, 150, 394, 
10, 150, 406, 150, 395, 150, 399, 150, 393, 150, 401, 150, 397, 
15, 150, 405, 149, 396, 150, 401, 149, 394, 150, 404, 150, 398, 
20, 150, 406, 150, 396, 150, 401, 149, 396, 150, 404, 150, 398, 
25, 150, 405, 150, 397, 149, 401, 149, 397, 150, 405, 150, 398, 
30, 150, 405, 150, 397, 150, 401, 149, 397, 150, 406, 150, 399, 
35, 150, 404, 150, 397, 149, 401, 150, 399, 150, 406, 150, 399, 
40, 149, 405, 150, 397, 150, 404, 150, 399, 150, 407, 150, 402, 
45, 150, 405, 150, 397, 150, 400, 150, 399, 150, 407, 150, 402, 
50, 149, 400, 150, 395, 150, 394, 149, 397, 150, 405, 150, 397, 
55, 150, 395, 150, 391, 149, 391, 150, 394, 150, 402, 150, 395, 
60, 150, 390, 150, 388, 150, 391, 149, 392, 150, 399, 150, 392, 
65, 150, 390, 149, 386, 150, 390, 149, 390, 149, 398, 150, 391, 
70, 150, 385, 150, 385, 150, 387, 149, 388, 149, 395, 150, 389, 
75, 150, 384, 150, 382, 149, 385, 150, 385, 150, 393, 150, 390, 
80, 150, 389, 150, 380, 150, 386, 150, 384, 150, 392, 150, 394, 
85, 150, 396, 150, 382, 150, 385, 150, 384, 150, 391, 150, 400, 
90, 150, 408, 150, 384, 150, 389, 150, 386, 150, 391, 150, 410, 
95, 150, 415, 150, 389, 149, 394, 149, 389, 150, 390, 149, 417, 
100, 150, 421, 150, 393, 150, 398, 149, 389, 149, 390, 150, 424, 
105, 150, 425, 150, 394, 150, 405, 149, 391, 150, 389, 150, 427, 
110, 150, 427, 150, 396, 148, 403, 149, 391, 149, 390, 150, 429, 
115, 150, 429, 150, 398, 150, 403, 149, 392, 150, 392, 150, 430, 
120, 150, 430, 150, 400, 150, 405, 149, 391, 150, 393, 150, 430, 
125, 150, 431, 149, 403, 150, 404, 150, 391, 150, 396, 150, 430, 
130, 150, 432, 149, 406, 150, 405, 150, 391, 149, 398, 150, 429, 
135, 150, 431, 150, 409, 150, 404, 149, 391, 150, 399, 150, 430, 
140, 149, 431, 150, 409, 150, 408, 149, 391, 150, 401, 150, 432, 
145, 150, 430, 150, 410, 150, 405, 149, 391, 149, 403, 149, 430, 
150, 150, 429, 149, 409, 150, 406, 149, 391, 150, 402, 150, 431, 
155, 150, 427, 150, 409, 149, 406, 149, 391, 149, 403, 150, 429, 
160, 150, 425, 150, 408, 150, 409, 149, 391, 150, 402, 150, 427, 
165, 150, 424, 150, 407, 149, 409, 150, 391, 150, 402, 150, 424, 
170, 150, 421, 150, 407, 150, 408, 150, 391, 149, 401, 150, 425, 
175, 150, 419, 150, 405, 149, 406, 150, 391, 149, 401, 150, 422, 
180, 150, 418, 149, 404, 150, 405, 150, 391, 149, 400, 150, 418, 
185, 150, 416, 150, 403, 149, 406, 150, 390, 149, 399, 150, 416, 
190, 150, 414, 150, 402, 150, 404, 150, 390, 150, 398, 150, 415, 
195, 150, 412, 150, 401, 150, 405, 149, 389, 150, 397, 150, 411, 
200, 150, 410, 150, 400, 150, 405, 149, 389, 149, 396, 150, 411, 
205, 150, 408, 150, 397, 150, 404, 150, 389, 150, 395, 150, 408, 
210, 150, 407, 150, 396, 149, 399, 150, 388, 149, 395, 149, 405, 
215, 149, 405, 149, 394, 149, 399, 149, 387, 149, 393, 150, 404, 
220, 150, 403, 150, 394, 149, 399, 150, 386, 149, 393, 150, 404, 
225, 150, 402, 150, 392, 150, 398, 150, 385, 150, 391, 150, 401, 
230, 150, 400, 150, 391, 150, 398, 149, 385, 149, 390, 150, 400, 
235, 150, 399, 150, 390, 150, 397, 149, 384, 149, 389, 150, 399, 
240, 150, 398, 150, 388, 150, 397, 150, 383, 150, 388, 150, 396, 
245, 150, 396, 150, 387, 150, 392, 150, 383, 150, 386, 150, 396, 
250, 150, 395, 150, 386, 150, 393, 149, 382, 150, 385, 149, 394, 
255, 150, 394, 150, 385, 150, 391, 149, 381, 149, 384, 150, 395, 
260, 150, 393, 149, 383, 150, 389, 149, 381, 150, 383, 150, 394, 
265, 150, 391, 150, 383, 150, 387, 149, 380, 149, 382, 150, 392, 
270, 150, 390, 150, 383, 150, 388, 150, 379, 149, 381, 150, 393, 
275, 150, 389, 150, 381, 150, 387, 149, 378, 149, 380, 150, 392, 
280, 150, 387, 150, 383, 150, 385, 149, 377, 150, 379, 150, 391, 
285, 150, 388, 150, 380, 149, 383, 149, 376, 150, 378, 150, 391, 
290, 149, 386, 150, 379, 149, 384, 149, 375, 149, 377, 150, 390, 
295, 150, 386, 149, 379, 150, 385, 149, 374, 149, 376, 150, 388, 
300, 150, 384, 150, 378, 150, 382, 150, 374, 150, 375, 150, 387, 
305, 150, 383, 150, 377, 150, 384, 149, 372, 149, 374, 150, 387, 
310, 150, 382, 150, 376, 150, 380, 150, 372, 150, 373, 150, 387, 
315, 150, 381, 151, 379, 150, 381, 150, 371, 150, 372, 150, 386, 
320, 150, 381, 150, 375, 150, 380, 150, 371, 150, 370, 149, 385, 
325, 150, 381, 150, 376, 150, 378, 149, 370, 150, 370, 150, 384, 
330, 150, 380, 150, 375, 148, 374, 149, 370, 150, 368, 150, 384, 
