t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 438, 150, 455, 150, 441, 149, 451, 150, 451, 150, 451, 
10, 150, 440, 150, 457, 150, 445, 150, 455, 150, 454, 150, 456, 
15, 150, 440, 150, 459, 150, 448, 149, 459, 149, 457, 149, 458, 
20, 150, 440, 150, 460, 150, 446, 149, 460, 150, 458, 149, 460, 
25, 149, 441, 149, 460, 150, 450, 150, 463, 150, 460, 149, 461, 
30, 150, 441, 150, 460, 150, 449, 149, 462, 149, 460, 150, 463, 
35, 149, 441, 150, 461, 150, 451, 150, 461, 149, 462, 150, 463, 
40, 150, 440, 150, 461, 149, 448, 149, 462, 149, 460, 150, 463, 
45, 149, 441, 150, 462, 150, 450, 149, 464, 149, 462, 150, 465, 
50, 150, 441, 150, 460, 150, 452, 149, 463, 150, 465, 150, 464, 
55, 150, 440, 149, 458, 150, 448, 149, 460, 149, 459, 150, 462, 
60, 150, 438, 150, 456, 150, 448, 150, 455, 150, 459, 149, 458, 
65, 149, 439, 150, 455, 150, 444, 150, 454, 149, 456, 150, 456, 
70, 150, 437, 150, 454, 150, 441, 149, 451, 150, 454, 150, 453, 
75, 150, 436, 150, 452, 149, 436, 149, 453, 150, 452, 150, 454, 
80, 150, 435, 150, 452, 150, 438, 150, 452, 150, 453, 150, 453, 
85, 150, 436, 150, 452, 150, 437, 150, 452, 150, 454, 150, 454, 
90, 149, 434, 150, 452, 150, 437, 149, 450, 150, 454, 150, 453, 
95, 150, 435, 150, 452, 150, 440, 150, 452, 150, 453, 150, 454, 
100, 149, 434, 150, 452, 150, 437, 149, 448, 149, 454, 150, 453, 
105, 150, 433, 150, 452, 149, 439, 150, 451, 149, 455, 150, 455, 
110, 150, 433, 149, 452, 150, 436, 149, 447, 150, 453, 150, 452, 
115, 150, 433, 150, 451, 150, 436, 150, 448, 150, 453, 150, 452, 
120, 150, 433, 149, 449, 150, 436, 150, 445, 150, 451, 150, 451, 
125, 150, 432, 150, 449, 150, 434, 150, 445, 150, 449, 150, 449, 
130, 149, 431, 149, 447, 150, 433, 150, 445, 150, 447, 150, 447, 
135, 150, 431, 150, 447, 150, 430, 149, 444, 150, 447, 149, 446, 
140, 149, 429, 149, 446, 151, 432, 150, 444, 149, 445, 150, 445, 
145, 150, 430, 150, 445, 150, 429, 150, 440, 150, 446, 150, 445, 
150, 150, 430, 150, 445, 150, 429, 149, 441, 150, 445, 150, 444, 
155, 150, 429, 149, 443, 150, 428, 150, 438, 149, 443, 150, 444, 
160, 150, 429, 150, 443, 150, 427, 149, 438, 150, 441, 150, 443, 
165, 150, 428, 149, 442, 149, 430, 149, 438, 149, 442, 150, 443, 
170, 150, 427, 150, 442, 150, 428, 149, 438, 150, 438, 150, 442, 
175, 150, 427, 150, 441, 149, 423, 150, 433, 150, 436, 150, 441, 
180, 150, 425, 150, 441, 150, 427, 149, 434, 150, 435, 150, 441, 
185, 150, 424, 150, 441, 149, 425, 150, 433, 149, 434, 150, 440, 
190, 150, 424, 150, 440, 150, 427, 150, 433, 149, 431, 150, 440, 
195, 150, 423, 150, 440, 150, 426, 149, 431, 150, 430, 150, 439, 
200, 150, 423, 150, 439, 150, 426, 150, 429, 150, 427, 150, 438, 
205, 150, 422, 150, 439, 150, 425, 150, 429, 149, 425, 150, 436, 
210, 150, 421, 150, 439, 149, 424, 150, 428, 150, 424, 150, 436, 
215, 150, 421, 149, 438, 150, 425, 149, 428, 150, 422, 150, 436, 
220, 150, 421, 149, 438, 150, 423, 149, 427, 149, 420, 149, 435, 
225, 150, 420, 149, 437, 149, 423, 150, 423, 150, 419, 150, 434, 
230, 150, 419, 150, 438, 149, 421, 149, 422, 150, 417, 150, 434, 
235, 150, 419, 150, 437, 150, 422, 150, 423, 149, 416, 150, 433, 
240, 150, 418, 150, 437, 150, 421, 149, 419, 150, 413, 150, 432, 
245, 150, 418, 150, 436, 150, 418, 150, 420, 150, 412, 150, 431, 
250, 150, 417, 150, 436, 150, 420, 149, 419, 150, 413, 150, 431, 
255, 150, 417, 150, 436, 150, 417, 150, 418, 150, 410, 150, 430, 
260, 150, 416, 150, 435, 150, 420, 150, 416, 149, 407, 150, 430, 
265, 150, 415, 149, 433, 150, 418, 150, 417, 149, 406, 150, 429, 
270, 150, 414, 150, 434, 149, 414, 149, 414, 150, 403, 150, 427, 
275, 150, 414, 150, 433, 150, 416, 150, 412, 150, 404, 150, 427, 
280, 150, 413, 150, 433, 150, 414, 150, 410, 150, 402, 150, 426, 
285, 150, 414, 149, 431, 150, 414, 149, 409, 150, 400, 150, 426, 
290, 150, 413, 150, 431, 150, 413, 149, 407, 150, 398, 150, 424, 
295, 150, 412, 150, 430, 150, 412, 149, 409, 150, 396, 150, 424, 
300, 149, 412, 150, 429, 150, 413, 150, 408, 150, 395, 150, 423, 
305, 150, 412, 150, 428, 150, 410, 149, 406, 150, 394, 150, 422, 
310, 149, 410, 150, 428, 150, 407, 150, 406, 149, 392, 150, 421, 
315, 150, 412, 150, 427, 150, 409, 149, 405, 150, 392, 150, 420, 
320, 150, 412, 150, 427, 150, 408, 150, 404, 149, 391, 150, 418, 
325, 150, 412, 150, 425, 150, 408, 149, 403, 150, 389, 150, 418, 
330, 149, 410, 149, 424, 150, 405, 150, 402, 150, 388, 149, 416, 
