t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 465, 150, 458, 150, 467, 150, 458, 150, 467, 149, 474, 
10, 150, 467, 150, 462, 150, 470, 150, 462, 150, 471, 150, 479, 
15, 150, 468, 150, 464, 150, 472, 150, 465, 150, 473, 150, 482, 
20, 149, 469, 150, 465, 150, 473, 149, 466, 149, 475, 150, 484, 
25, 150, 470, 150, 465, 150, 474, 150, 465, 149, 476, 150, 485, 
30, 150, 469, 150, 466, 150, 473, 150, 467, 150, 477, 150, 485, 
35, 150, 471, 150, 466, 149, 471, 149, 466, 149, 477, 150, 487, 
40, 150, 470, 150, 466, 149, 472, 149, 466, 150, 478, 150, 487, 
45, 150, 469, 150, 466, 149, 472, 149, 467, 150, 478, 150, 487, 
50, 150, 467, 150, 463, 150, 468, 149, 462, 150, 475, 150, 483, 
55, 150, 462, 150, 458, 150, 464, 150, 457, 150, 471, 150, 479, 
60, 150, 458, 150, 455, 150, 460, 149, 454, 149, 468, 150, 476, 
65, 150, 456, 149, 453, 150, 458, 149, 451, 150, 466, 149, 472, 
70, 150, 454, 150, 451, 150, 457, 150, 449, 150, 466, 150, 470, 
75, 150, 453, 149, 450, 150, 454, 149, 447, 150, 465, 150, 469, 
80, 149, 452, 150, 450, 150, 454, 150, 446, 150, 465, 150, 469, 
85, 150, 451, 150, 448, 150, 453, 149, 445, 150, 465, 150, 468, 
90, 150, 450, 150, 447, 150, 451, 150, 443, 149, 463, 149, 469, 
95, 150, 448, 150, 445, 150, 450, 150, 442, 150, 462, 150, 467, 
100, 150, 446, 150, 445, 150, 449, 149, 441, 149, 461, 150, 468, 
105, 150, 444, 149, 442, 149, 448, 150, 440, 149, 460, 150, 468, 
110, 149, 443, 150, 441, 150, 447, 149, 438, 150, 459, 149, 468, 
115, 150, 443, 150, 441, 150, 448, 150, 438, 150, 458, 149, 467, 
120, 150, 444, 150, 440, 150, 445, 149, 438, 150, 457, 150, 466, 
125, 150, 445, 150, 440, 150, 445, 150, 437, 150, 456, 150, 466, 
130, 150, 446, 149, 438, 149, 443, 150, 436, 150, 456, 150, 466, 
135, 150, 446, 149, 438, 150, 445, 149, 436, 150, 455, 150, 465, 
140, 150, 448, 150, 437, 150, 444, 150, 436, 149, 454, 150, 466, 
145, 149, 447, 150, 438, 150, 445, 149, 436, 149, 454, 150, 466, 
150, 150, 447, 150, 437, 150, 445, 149, 436, 150, 453, 149, 466, 
155, 150, 447, 150, 437, 149, 444, 150, 437, 150, 453, 150, 466, 
160, 150, 448, 150, 437, 150, 444, 150, 437, 149, 452, 149, 465, 
165, 150, 448, 150, 437, 149, 442, 149, 437, 150, 451, 150, 465, 
170, 150, 447, 150, 437, 150, 444, 149, 437, 150, 453, 149, 466, 
175, 150, 447, 150, 439, 149, 444, 150, 437, 150, 451, 150, 466, 
180, 150, 446, 150, 437, 150, 444, 149, 436, 149, 450, 149, 466, 
185, 150, 445, 150, 437, 151, 448, 150, 438, 150, 449, 150, 466, 
190, 150, 446, 150, 438, 150, 445, 150, 436, 150, 448, 150, 465, 
195, 150, 444, 150, 438, 149, 445, 149, 435, 149, 447, 150, 465, 
200, 150, 443, 150, 437, 150, 444, 149, 435, 149, 448, 150, 465, 
205, 150, 443, 150, 438, 149, 444, 150, 433, 149, 446, 150, 464, 
210, 150, 443, 150, 438, 150, 445, 150, 433, 149, 446, 150, 464, 
215, 150, 444, 150, 438, 149, 444, 150, 432, 149, 446, 150, 463, 
220, 150, 444, 150, 438, 150, 445, 150, 432, 149, 444, 150, 463, 
225, 150, 442, 150, 438, 150, 444, 149, 431, 150, 444, 149, 463, 
230, 150, 441, 150, 438, 150, 445, 149, 430, 150, 443, 150, 463, 
235, 150, 443, 150, 438, 149, 444, 150, 430, 149, 442, 150, 462, 
240, 150, 442, 149, 438, 149, 444, 149, 428, 150, 442, 150, 462, 
245, 149, 439, 150, 438, 150, 446, 149, 429, 149, 441, 150, 462, 
250, 150, 442, 150, 439, 149, 444, 149, 429, 150, 439, 150, 460, 
255, 149, 440, 150, 439, 150, 443, 149, 429, 149, 439, 150, 460, 
260, 150, 440, 150, 439, 149, 443, 149, 428, 149, 438, 149, 459, 
265, 150, 439, 150, 439, 150, 444, 149, 428, 149, 436, 150, 458, 
270, 150, 439, 150, 438, 149, 443, 150, 428, 150, 437, 150, 458, 
275, 150, 439, 150, 439, 150, 441, 149, 427, 149, 434, 150, 457, 
280, 150, 438, 150, 438, 150, 441, 149, 427, 149, 432, 149, 457, 
285, 150, 437, 150, 439, 149, 441, 150, 426, 150, 432, 150, 456, 
290, 149, 438, 150, 439, 150, 441, 149, 426, 149, 430, 149, 455, 
295, 150, 437, 150, 438, 150, 439, 149, 425, 149, 429, 150, 455, 
300, 150, 436, 149, 438, 150, 440, 150, 424, 150, 427, 149, 454, 
305, 150, 436, 150, 438, 150, 438, 150, 424, 150, 426, 150, 454, 
310, 150, 434, 150, 437, 150, 438, 149, 424, 149, 425, 150, 452, 
315, 150, 435, 150, 437, 149, 437, 149, 423, 149, 423, 150, 452, 
320, 149, 433, 150, 437, 149, 435, 150, 422, 149, 422, 150, 451, 
325, 149, 432, 150, 438, 150, 436, 149, 421, 150, 421, 149, 449, 
330, 149, 432, 150, 437, 149, 434, 149, 420, 150, 419, 149, 448, 
