t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 469, 149, 457, 149, 475, 149, 472, 150, 470, 150, 487, 
10, 150, 473, 149, 460, 150, 479, 149, 477, 150, 474, 149, 492, 
15, 150, 474, 150, 461, 150, 480, 150, 479, 149, 475, 150, 495, 
20, 150, 473, 150, 462, 149, 482, 150, 480, 150, 479, 150, 496, 
25, 150, 473, 150, 462, 150, 483, 149, 481, 149, 478, 150, 497, 
30, 150, 473, 149, 462, 150, 483, 150, 482, 150, 479, 149, 497, 
35, 150, 475, 150, 462, 150, 485, 149, 482, 149, 479, 150, 497, 
40, 150, 472, 150, 461, 150, 481, 149, 479, 150, 477, 149, 497, 
45, 150, 470, 149, 458, 150, 478, 150, 477, 150, 475, 149, 493, 
50, 150, 467, 150, 454, 150, 474, 149, 473, 150, 471, 150, 491, 
55, 150, 464, 150, 452, 150, 472, 150, 472, 150, 470, 150, 489, 
60, 150, 462, 149, 450, 150, 471, 149, 469, 149, 468, 150, 488, 
65, 150, 462, 149, 450, 150, 471, 150, 469, 149, 468, 150, 487, 
70, 150, 460, 150, 450, 149, 471, 150, 469, 150, 468, 150, 488, 
75, 149, 460, 150, 449, 150, 470, 150, 468, 150, 468, 150, 487, 
80, 150, 460, 150, 448, 150, 470, 150, 469, 150, 467, 150, 488, 
85, 150, 459, 149, 447, 150, 469, 149, 466, 149, 467, 150, 486, 
90, 149, 456, 150, 445, 150, 467, 150, 465, 150, 466, 150, 484, 
95, 150, 455, 149, 443, 150, 466, 150, 463, 150, 465, 150, 485, 
100, 150, 453, 150, 443, 150, 464, 150, 461, 150, 464, 150, 483, 
105, 150, 451, 150, 441, 150, 462, 149, 460, 150, 462, 149, 482, 
110, 150, 449, 150, 439, 150, 461, 150, 458, 150, 461, 150, 480, 
115, 150, 447, 150, 439, 150, 460, 150, 456, 150, 460, 150, 479, 
120, 150, 447, 149, 436, 150, 459, 149, 456, 150, 459, 149, 477, 
125, 149, 444, 150, 438, 150, 460, 149, 454, 150, 458, 150, 476, 
130, 150, 446, 149, 436, 150, 458, 149, 454, 149, 457, 150, 475, 
135, 150, 445, 150, 435, 149, 457, 150, 454, 150, 456, 150, 476, 
140, 150, 447, 150, 435, 149, 456, 149, 453, 150, 456, 150, 476, 
145, 150, 445, 149, 433, 150, 456, 150, 452, 150, 455, 150, 473, 
150, 150, 446, 149, 434, 150, 456, 149, 452, 149, 454, 150, 473, 
155, 150, 446, 150, 434, 150, 455, 150, 452, 150, 454, 150, 473, 
160, 149, 443, 150, 434, 149, 455, 149, 452, 150, 452, 150, 472, 
165, 150, 445, 150, 434, 149, 454, 150, 451, 149, 452, 150, 472, 
170, 149, 443, 150, 434, 150, 455, 150, 451, 149, 452, 150, 471, 
175, 150, 444, 150, 435, 150, 455, 149, 451, 149, 451, 150, 472, 
180, 150, 444, 150, 434, 150, 456, 149, 449, 149, 451, 150, 471, 
185, 150, 444, 150, 435, 150, 456, 149, 449, 150, 450, 150, 470, 
190, 150, 443, 150, 435, 150, 454, 150, 449, 149, 450, 150, 470, 
195, 149, 442, 150, 434, 150, 456, 150, 449, 150, 449, 150, 470, 
200, 150, 443, 150, 434, 150, 456, 150, 448, 150, 449, 149, 470, 
205, 149, 442, 149, 434, 150, 458, 150, 448, 150, 449, 150, 470, 
210, 150, 442, 150, 434, 149, 451, 150, 447, 150, 448, 150, 469, 
215, 149, 441, 150, 434, 150, 455, 149, 446, 150, 447, 150, 468, 
220, 150, 442, 150, 434, 148, 451, 149, 444, 150, 447, 150, 468, 
225, 150, 443, 150, 434, 150, 456, 149, 445, 150, 446, 150, 468, 
230, 150, 442, 150, 433, 149, 455, 149, 444, 150, 446, 149, 467, 
235, 150, 443, 150, 434, 150, 456, 149, 444, 149, 444, 150, 467, 
240, 149, 442, 150, 433, 150, 455, 149, 442, 150, 444, 149, 466, 
245, 150, 442, 150, 433, 150, 456, 149, 442, 150, 443, 150, 465, 
250, 150, 442, 150, 432, 150, 454, 150, 442, 150, 442, 150, 465, 
255, 150, 442, 149, 432, 149, 454, 149, 441, 150, 441, 149, 464, 
260, 150, 441, 150, 433, 150, 456, 149, 441, 150, 441, 150, 465, 
265, 150, 441, 150, 432, 150, 455, 149, 440, 149, 440, 149, 463, 
270, 150, 440, 150, 432, 150, 455, 150, 439, 150, 438, 150, 464, 
275, 150, 439, 150, 431, 150, 453, 149, 438, 149, 438, 150, 462, 
280, 150, 438, 150, 432, 150, 455, 150, 437, 150, 437, 150, 461, 
285, 150, 438, 150, 432, 150, 455, 150, 437, 149, 436, 150, 461, 
290, 150, 438, 150, 431, 149, 452, 149, 436, 150, 434, 150, 460, 
295, 150, 437, 150, 431, 150, 454, 150, 436, 149, 433, 150, 459, 
300, 150, 437, 150, 431, 150, 454, 150, 434, 149, 432, 149, 457, 
305, 150, 435, 150, 431, 150, 452, 150, 432, 150, 431, 150, 456, 
310, 150, 434, 149, 429, 150, 452, 149, 431, 150, 430, 150, 456, 
315, 150, 434, 150, 430, 150, 450, 149, 431, 150, 428, 150, 455, 
320, 150, 433, 150, 430, 150, 449, 149, 429, 149, 427, 150, 453, 
325, 150, 432, 149, 430, 150, 449, 149, 428, 150, 426, 149, 452, 
330, 150, 432, 150, 429, 150, 448, 149, 427, 149, 425, 149, 451, 
