t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 469, 150, 460, 150, 473, 150, 463, 150, 468, 150, 485, 
10, 149, 469, 150, 463, 150, 478, 150, 468, 150, 474, 150, 491, 
15, 150, 470, 150, 465, 150, 478, 149, 470, 149, 477, 150, 495, 
20, 150, 469, 150, 465, 150, 482, 149, 472, 149, 479, 149, 498, 
25, 150, 471, 150, 466, 150, 482, 149, 473, 150, 481, 150, 500, 
30, 150, 471, 149, 466, 150, 483, 150, 475, 149, 482, 149, 499, 
35, 150, 470, 150, 467, 150, 483, 149, 475, 149, 483, 150, 501, 
40, 150, 471, 150, 468, 149, 483, 149, 475, 150, 483, 150, 502, 
45, 150, 467, 150, 461, 150, 477, 149, 470, 150, 478, 149, 497, 
50, 150, 463, 149, 458, 150, 474, 149, 467, 150, 476, 149, 495, 
55, 149, 457, 149, 452, 150, 468, 149, 462, 150, 471, 150, 491, 
60, 150, 453, 149, 449, 150, 464, 149, 459, 149, 468, 150, 489, 
65, 150, 452, 150, 448, 150, 461, 149, 457, 150, 467, 149, 489, 
70, 150, 449, 149, 449, 150, 463, 150, 456, 149, 465, 150, 487, 
75, 150, 449, 150, 448, 150, 461, 150, 456, 150, 465, 150, 486, 
80, 150, 449, 150, 448, 150, 461, 149, 454, 150, 466, 150, 485, 
85, 150, 449, 150, 447, 150, 461, 149, 452, 149, 465, 150, 485, 
90, 150, 449, 150, 447, 150, 459, 150, 452, 150, 464, 150, 484, 
95, 150, 448, 150, 447, 150, 458, 149, 450, 150, 465, 150, 483, 
100, 150, 449, 150, 448, 150, 458, 149, 451, 150, 464, 150, 483, 
105, 150, 449, 150, 448, 150, 457, 149, 452, 150, 465, 149, 482, 
110, 150, 452, 150, 448, 149, 457, 150, 453, 150, 465, 149, 482, 
115, 150, 455, 149, 447, 150, 456, 149, 455, 149, 465, 150, 482, 
120, 149, 456, 150, 448, 148, 452, 150, 457, 150, 466, 150, 482, 
125, 150, 459, 149, 446, 150, 457, 149, 457, 150, 467, 150, 482, 
130, 150, 461, 149, 445, 150, 457, 150, 460, 149, 465, 150, 480, 
135, 150, 463, 150, 445, 150, 455, 150, 460, 149, 465, 149, 480, 
140, 150, 465, 150, 444, 149, 455, 149, 460, 149, 464, 149, 480, 
145, 150, 466, 149, 443, 150, 456, 149, 460, 150, 464, 150, 480, 
150, 150, 467, 150, 442, 150, 456, 150, 461, 150, 462, 150, 479, 
155, 150, 466, 150, 443, 150, 454, 150, 459, 150, 462, 150, 479, 
160, 150, 468, 150, 442, 150, 454, 149, 459, 149, 461, 149, 479, 
165, 149, 467, 150, 443, 150, 454, 149, 459, 149, 460, 149, 478, 
170, 150, 466, 150, 443, 150, 455, 149, 459, 150, 459, 150, 478, 
175, 149, 467, 150, 443, 150, 455, 150, 458, 150, 459, 150, 478, 
180, 149, 466, 150, 443, 150, 455, 150, 458, 149, 459, 150, 478, 
185, 150, 464, 150, 443, 149, 453, 149, 457, 149, 457, 150, 478, 
190, 149, 463, 149, 443, 150, 456, 150, 456, 150, 457, 150, 477, 
195, 149, 463, 149, 443, 150, 455, 149, 454, 149, 457, 150, 476, 
200, 150, 461, 150, 443, 150, 455, 150, 454, 150, 456, 150, 476, 
205, 150, 462, 150, 445, 150, 455, 149, 452, 149, 456, 150, 476, 
210, 150, 461, 150, 444, 150, 456, 150, 453, 149, 456, 149, 476, 
215, 150, 460, 150, 444, 149, 453, 149, 450, 150, 455, 150, 475, 
220, 150, 460, 149, 443, 149, 455, 150, 451, 149, 455, 150, 475, 
225, 150, 459, 150, 444, 150, 456, 150, 451, 149, 454, 150, 473, 
230, 150, 457, 150, 444, 150, 457, 150, 449, 150, 455, 150, 474, 
235, 150, 458, 150, 445, 150, 456, 149, 448, 150, 454, 150, 473, 
240, 150, 457, 150, 444, 150, 456, 149, 446, 149, 453, 150, 473, 
245, 150, 456, 150, 444, 150, 456, 149, 447, 150, 453, 150, 472, 
250, 150, 457, 149, 445, 150, 456, 149, 445, 149, 453, 150, 472, 
255, 150, 456, 149, 445, 150, 456, 150, 444, 149, 452, 150, 471, 
260, 150, 456, 150, 445, 150, 456, 150, 444, 150, 451, 150, 470, 
265, 150, 455, 150, 444, 150, 456, 149, 443, 149, 450, 150, 469, 
270, 150, 455, 150, 445, 150, 455, 149, 442, 149, 450, 150, 469, 
275, 150, 454, 150, 445, 150, 455, 150, 439, 150, 449, 149, 469, 
280, 150, 453, 150, 445, 150, 454, 149, 438, 150, 448, 149, 468, 
285, 150, 453, 150, 445, 150, 456, 149, 437, 150, 447, 150, 467, 
290, 150, 453, 150, 444, 149, 455, 150, 435, 150, 446, 149, 467, 
295, 150, 451, 150, 444, 150, 454, 150, 436, 150, 445, 150, 466, 
300, 150, 451, 150, 444, 150, 455, 149, 433, 150, 444, 150, 465, 
305, 150, 451, 150, 444, 150, 455, 150, 432, 150, 443, 150, 463, 
310, 149, 449, 149, 441, 150, 453, 150, 432, 150, 441, 150, 463, 
315, 150, 450, 150, 443, 150, 453, 149, 430, 150, 441, 149, 463, 
320, 150, 449, 150, 443, 149, 451, 150, 425, 149, 439, 150, 462, 
325, 150, 449, 150, 443, 150, 452, 150, 423, 150, 437, 150, 461, 
330, 150, 449, 150, 443, 150, 451, 149, 423, 150, 434, 150, 460, 
