t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 508, 149, 500, 150, 513, 150, 507, 150, 498, 150, 497, 
10, 150, 512, 150, 506, 150, 521, 149, 515, 149, 505, 150, 502, 
15, 150, 514, 150, 509, 150, 523, 149, 519, 150, 510, 150, 507, 
20, 150, 515, 150, 512, 150, 527, 149, 522, 149, 511, 150, 509, 
25, 150, 515, 150, 513, 150, 527, 149, 523, 149, 514, 150, 511, 
30, 150, 517, 151, 518, 149, 529, 150, 524, 150, 516, 150, 514, 
35, 149, 517, 150, 514, 150, 531, 150, 526, 149, 517, 150, 513, 
40, 150, 518, 150, 515, 150, 531, 149, 528, 149, 518, 150, 514, 
45, 150, 517, 150, 516, 149, 529, 149, 528, 150, 519, 150, 515, 
50, 150, 518, 149, 516, 150, 530, 149, 526, 150, 519, 150, 516, 
55, 150, 517, 150, 515, 150, 531, 149, 524, 149, 520, 149, 515, 
60, 150, 517, 150, 515, 150, 530, 149, 524, 149, 520, 150, 515, 
65, 150, 516, 150, 514, 150, 529, 149, 524, 149, 520, 150, 514, 
70, 150, 516, 150, 513, 150, 529, 150, 525, 149, 520, 150, 515, 
75, 150, 515, 150, 515, 150, 529, 149, 526, 149, 518, 150, 515, 
80, 150, 516, 150, 514, 150, 529, 150, 529, 150, 519, 150, 515, 
85, 150, 517, 150, 514, 150, 532, 150, 532, 150, 519, 150, 515, 
90, 150, 515, 150, 514, 150, 531, 149, 532, 149, 515, 149, 514, 
95, 150, 507, 149, 497, 150, 515, 150, 519, 149, 505, 150, 507, 
100, 150, 492, 150, 485, 150, 501, 150, 504, 149, 495, 150, 497, 
105, 150, 474, 150, 473, 150, 487, 150, 481, 150, 479, 150, 484, 
110, 150, 465, 150, 466, 150, 480, 149, 472, 149, 472, 150, 477, 
115, 150, 463, 150, 465, 150, 477, 149, 474, 150, 470, 150, 475, 
120, 150, 470, 149, 464, 150, 477, 149, 473, 149, 471, 150, 474, 
125, 149, 480, 150, 463, 150, 477, 150, 470, 150, 470, 150, 475, 
130, 150, 495, 150, 464, 150, 476, 149, 471, 150, 471, 150, 479, 
135, 150, 511, 150, 467, 150, 474, 150, 473, 149, 475, 150, 484, 
140, 150, 523, 150, 472, 150, 475, 150, 479, 150, 482, 150, 491, 
145, 150, 533, 149, 479, 150, 478, 149, 483, 149, 490, 150, 494, 
150, 150, 537, 150, 485, 150, 481, 150, 491, 149, 499, 150, 496, 
155, 149, 539, 149, 489, 150, 484, 150, 496, 149, 501, 150, 497, 
160, 150, 537, 150, 493, 150, 489, 149, 499, 149, 507, 150, 498, 
165, 150, 536, 150, 494, 149, 492, 149, 500, 149, 510, 150, 496, 
170, 149, 533, 150, 496, 151, 500, 150, 500, 150, 511, 150, 496, 
175, 150, 530, 150, 497, 149, 496, 149, 501, 149, 511, 150, 493, 
180, 150, 526, 150, 497, 149, 499, 150, 501, 150, 510, 149, 491, 
185, 150, 522, 150, 498, 150, 500, 149, 501, 150, 508, 150, 488, 
190, 150, 520, 149, 498, 150, 503, 149, 501, 149, 506, 150, 486, 
195, 150, 517, 150, 499, 150, 503, 149, 499, 149, 504, 149, 481, 
200, 150, 514, 149, 499, 150, 504, 150, 500, 150, 502, 150, 480, 
205, 150, 511, 149, 499, 149, 503, 149, 498, 149, 496, 150, 476, 
210, 150, 509, 150, 500, 150, 504, 149, 498, 150, 497, 150, 474, 
215, 150, 506, 150, 501, 149, 505, 149, 497, 149, 493, 150, 472, 
220, 150, 505, 150, 501, 150, 504, 150, 496, 149, 490, 149, 470, 
225, 150, 503, 150, 500, 150, 506, 150, 494, 149, 487, 150, 468, 
230, 150, 501, 150, 501, 150, 505, 150, 494, 150, 485, 150, 467, 
235, 150, 500, 150, 499, 150, 505, 149, 493, 150, 482, 150, 466, 
240, 150, 498, 150, 499, 150, 504, 149, 492, 149, 479, 150, 464, 
245, 150, 497, 149, 499, 150, 503, 150, 491, 150, 477, 150, 462, 
250, 150, 496, 150, 498, 150, 502, 149, 490, 149, 474, 150, 460, 
255, 150, 494, 150, 498, 149, 502, 149, 489, 150, 472, 150, 459, 
260, 150, 493, 150, 497, 149, 501, 150, 487, 149, 470, 150, 458, 
265, 150, 492, 149, 496, 150, 501, 149, 486, 149, 468, 150, 459, 
270, 149, 490, 150, 496, 150, 500, 150, 484, 150, 466, 150, 458, 
275, 150, 489, 150, 496, 150, 499, 149, 483, 149, 464, 150, 457, 
280, 149, 486, 150, 495, 150, 499, 150, 484, 150, 462, 150, 457, 
285, 150, 487, 150, 494, 150, 497, 149, 481, 150, 460, 149, 457, 
290, 150, 485, 150, 494, 150, 497, 150, 481, 150, 459, 150, 458, 
295, 150, 484, 150, 494, 150, 495, 149, 479, 150, 457, 150, 456, 
300, 150, 484, 150, 493, 150, 495, 150, 478, 150, 456, 149, 457, 
305, 150, 482, 149, 492, 150, 495, 150, 477, 150, 454, 150, 457, 
310, 150, 481, 150, 492, 150, 494, 150, 477, 149, 452, 150, 458, 
315, 150, 481, 150, 491, 150, 494, 150, 474, 150, 452, 149, 457, 
320, 150, 480, 149, 490, 150, 494, 149, 474, 149, 450, 150, 456, 
325, 150, 479, 150, 490, 150, 492, 150, 473, 150, 449, 150, 456, 
330, 150, 478, 150, 490, 149, 492, 149, 471, 149, 448, 149, 456, 
