t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 469, 150, 459, 149, 481, 150, 487, 150, 490, 150, 485, 
10, 150, 472, 150, 463, 150, 486, 149, 491, 150, 495, 150, 491, 
15, 150, 473, 150, 466, 150, 488, 150, 493, 149, 497, 149, 494, 
20, 150, 474, 150, 466, 150, 488, 150, 495, 149, 500, 149, 495, 
25, 150, 474, 150, 467, 150, 489, 149, 496, 150, 501, 150, 497, 
30, 150, 474, 150, 468, 150, 488, 150, 497, 149, 502, 150, 496, 
35, 150, 471, 150, 464, 150, 485, 149, 493, 149, 498, 149, 494, 
40, 150, 469, 150, 461, 149, 485, 150, 490, 150, 496, 150, 493, 
45, 149, 463, 150, 456, 150, 479, 150, 484, 150, 492, 150, 489, 
50, 150, 462, 150, 455, 150, 477, 150, 484, 150, 492, 149, 487, 
55, 149, 462, 150, 455, 149, 477, 150, 486, 150, 491, 150, 486, 
60, 150, 462, 150, 456, 150, 479, 150, 485, 150, 491, 149, 486, 
65, 150, 463, 151, 456, 150, 479, 149, 484, 150, 492, 149, 487, 
70, 150, 462, 150, 456, 149, 479, 150, 486, 149, 492, 150, 487, 
75, 150, 463, 150, 457, 150, 478, 149, 485, 149, 493, 150, 488, 
80, 150, 463, 150, 458, 149, 479, 150, 485, 149, 493, 149, 486, 
85, 150, 462, 150, 458, 150, 478, 149, 485, 149, 493, 150, 487, 
90, 150, 462, 150, 457, 150, 476, 149, 484, 150, 493, 150, 487, 
95, 150, 462, 150, 458, 150, 475, 149, 483, 150, 493, 150, 488, 
100, 150, 462, 150, 458, 150, 473, 149, 481, 150, 493, 150, 486, 
105, 149, 460, 150, 458, 150, 473, 149, 481, 150, 492, 150, 487, 
110, 150, 460, 150, 456, 150, 470, 150, 478, 150, 491, 150, 487, 
115, 150, 459, 150, 456, 150, 470, 149, 479, 150, 490, 149, 486, 
120, 150, 457, 148, 451, 150, 469, 150, 478, 150, 489, 150, 487, 
125, 150, 458, 150, 453, 150, 469, 149, 476, 149, 488, 150, 485, 
130, 150, 457, 150, 452, 150, 467, 150, 474, 150, 487, 150, 485, 
135, 150, 456, 150, 450, 150, 468, 149, 473, 149, 486, 150, 484, 
140, 150, 456, 150, 449, 150, 466, 149, 472, 150, 484, 150, 483, 
145, 149, 454, 150, 449, 149, 465, 149, 471, 150, 483, 150, 483, 
150, 150, 453, 150, 448, 150, 465, 149, 470, 149, 481, 149, 482, 
155, 150, 453, 150, 447, 150, 466, 150, 469, 149, 480, 150, 481, 
160, 150, 452, 150, 447, 150, 465, 150, 468, 150, 478, 150, 479, 
165, 150, 452, 150, 446, 150, 464, 150, 467, 150, 477, 150, 478, 
170, 150, 451, 149, 445, 150, 466, 149, 467, 149, 475, 150, 478, 
175, 150, 451, 150, 444, 150, 465, 149, 466, 149, 474, 150, 478, 
180, 149, 451, 150, 444, 149, 465, 150, 465, 149, 473, 149, 477, 
185, 149, 448, 150, 444, 150, 465, 150, 464, 149, 471, 150, 476, 
190, 150, 450, 150, 443, 150, 465, 149, 463, 150, 469, 150, 476, 
195, 150, 450, 150, 443, 150, 465, 149, 462, 150, 467, 150, 475, 
200, 150, 449, 150, 442, 150, 464, 149, 462, 149, 466, 150, 474, 
205, 150, 449, 150, 445, 149, 464, 149, 461, 150, 464, 150, 474, 
210, 150, 449, 150, 442, 149, 463, 150, 459, 150, 462, 150, 473, 
215, 150, 449, 150, 441, 150, 464, 149, 458, 149, 460, 150, 473, 
220, 150, 448, 150, 441, 150, 464, 149, 457, 149, 459, 150, 473, 
225, 150, 449, 150, 440, 150, 463, 149, 457, 149, 457, 150, 472, 
230, 150, 448, 149, 441, 150, 464, 150, 455, 149, 455, 150, 470, 
235, 150, 448, 149, 437, 150, 464, 149, 455, 150, 452, 150, 469, 
240, 150, 449, 150, 440, 150, 462, 149, 453, 150, 451, 150, 470, 
245, 149, 448, 150, 440, 150, 462, 150, 452, 149, 448, 150, 468, 
250, 149, 448, 150, 440, 150, 460, 150, 451, 149, 447, 149, 468, 
255, 150, 448, 150, 439, 150, 462, 149, 449, 149, 444, 150, 468, 
260, 150, 448, 149, 438, 150, 460, 149, 449, 149, 442, 150, 466, 
265, 149, 447, 150, 439, 150, 461, 149, 446, 150, 440, 149, 465, 
270, 150, 448, 150, 438, 149, 457, 150, 446, 150, 438, 150, 464, 
275, 150, 446, 149, 437, 150, 460, 149, 445, 149, 436, 150, 463, 
280, 150, 447, 150, 437, 150, 459, 150, 443, 150, 434, 150, 462, 
285, 150, 446, 149, 436, 149, 456, 149, 441, 150, 433, 150, 462, 
290, 150, 445, 150, 436, 149, 456, 149, 440, 150, 430, 149, 461, 
295, 149, 445, 150, 436, 150, 456, 149, 439, 149, 428, 150, 459, 
300, 150, 445, 150, 435, 150, 455, 149, 438, 149, 426, 150, 459, 
305, 150, 444, 150, 434, 150, 454, 150, 435, 149, 425, 150, 457, 
310, 150, 443, 150, 434, 150, 453, 149, 435, 150, 423, 150, 456, 
315, 149, 442, 150, 433, 150, 452, 149, 432, 150, 421, 150, 455, 
320, 150, 442, 149, 432, 150, 451, 149, 432, 150, 418, 150, 454, 
325, 150, 441, 149, 432, 150, 451, 150, 432, 149, 418, 150, 454, 
330, 150, 441, 150, 432, 150, 449, 149, 431, 150, 414, 150, 451, 
