t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 476, 150, 478, 150, 497, 149, 506, 149, 517, 150, 518, 
10, 150, 474, 150, 477, 150, 497, 149, 507, 150, 521, 150, 521, 
15, 149, 470, 149, 474, 150, 501, 150, 508, 150, 522, 150, 521, 
20, 150, 468, 150, 470, 150, 494, 150, 506, 150, 521, 149, 520, 
25, 150, 464, 150, 467, 150, 492, 149, 504, 150, 519, 149, 518, 
30, 150, 462, 150, 465, 150, 491, 149, 502, 150, 518, 150, 517, 
35, 150, 461, 150, 465, 150, 487, 150, 499, 150, 516, 149, 516, 
40, 150, 465, 150, 470, 149, 489, 149, 499, 150, 517, 150, 516, 
45, 150, 474, 150, 482, 150, 494, 149, 508, 150, 521, 149, 521, 
50, 150, 490, 150, 496, 150, 504, 150, 521, 150, 530, 150, 528, 
55, 150, 497, 150, 500, 150, 511, 150, 527, 150, 535, 150, 531, 
60, 150, 501, 150, 503, 150, 516, 149, 529, 149, 534, 150, 531, 
65, 150, 499, 150, 502, 149, 515, 149, 529, 150, 535, 150, 532, 
70, 150, 499, 149, 503, 149, 512, 149, 528, 150, 536, 150, 533, 
75, 150, 498, 150, 504, 150, 513, 150, 530, 150, 537, 150, 533, 
80, 150, 497, 150, 503, 150, 511, 149, 528, 150, 536, 150, 532, 
85, 150, 496, 150, 503, 150, 509, 150, 527, 149, 536, 150, 531, 
90, 150, 495, 150, 502, 150, 509, 150, 525, 150, 535, 150, 529, 
95, 150, 493, 150, 501, 149, 508, 150, 525, 150, 535, 150, 529, 
100, 150, 493, 150, 499, 150, 505, 150, 523, 150, 533, 150, 529, 
105, 150, 492, 150, 498, 150, 505, 149, 522, 150, 533, 150, 527, 
110, 150, 491, 150, 498, 150, 506, 150, 521, 150, 532, 150, 527, 
115, 150, 491, 150, 497, 150, 502, 149, 520, 150, 531, 150, 526, 
120, 150, 490, 150, 497, 150, 504, 150, 520, 150, 530, 150, 526, 
125, 150, 490, 150, 498, 150, 502, 150, 519, 150, 529, 149, 525, 
130, 150, 490, 150, 496, 149, 502, 150, 519, 150, 528, 150, 525, 
135, 150, 490, 149, 495, 149, 499, 150, 517, 150, 528, 150, 524, 
140, 150, 490, 150, 496, 150, 502, 150, 518, 150, 527, 149, 523, 
145, 150, 490, 149, 495, 150, 502, 150, 516, 149, 526, 150, 522, 
150, 150, 490, 150, 495, 149, 499, 149, 516, 150, 525, 150, 521, 
155, 150, 489, 150, 495, 150, 501, 149, 515, 150, 525, 150, 519, 
160, 149, 489, 150, 495, 150, 498, 149, 516, 150, 524, 150, 518, 
165, 150, 489, 150, 495, 150, 501, 150, 514, 149, 522, 150, 517, 
170, 150, 489, 150, 495, 150, 501, 150, 515, 150, 522, 150, 516, 
175, 150, 489, 150, 494, 150, 501, 149, 514, 149, 521, 149, 514, 
180, 150, 488, 150, 493, 150, 499, 149, 514, 150, 520, 150, 515, 
185, 150, 488, 149, 493, 150, 503, 150, 513, 150, 519, 150, 513, 
190, 150, 488, 150, 493, 150, 501, 149, 512, 150, 518, 149, 513, 
195, 150, 488, 150, 492, 150, 502, 149, 512, 150, 517, 150, 512, 
200, 150, 487, 149, 492, 150, 502, 150, 512, 150, 516, 150, 509, 
205, 150, 488, 150, 491, 149, 500, 149, 511, 150, 514, 150, 510, 
210, 150, 487, 150, 491, 150, 502, 150, 510, 150, 514, 150, 510, 
215, 150, 487, 150, 490, 150, 500, 149, 509, 150, 512, 150, 508, 
220, 150, 486, 150, 490, 149, 500, 149, 508, 149, 510, 149, 508, 
225, 150, 487, 150, 489, 151, 505, 150, 507, 150, 509, 150, 507, 
230, 150, 487, 150, 489, 149, 500, 149, 506, 149, 507, 150, 506, 
235, 150, 487, 150, 489, 150, 500, 149, 504, 150, 505, 150, 503, 
240, 150, 487, 150, 488, 150, 499, 150, 504, 149, 503, 150, 503, 
245, 150, 486, 149, 487, 150, 497, 149, 502, 150, 501, 149, 501, 
250, 150, 486, 150, 488, 149, 496, 150, 502, 150, 500, 150, 503, 
255, 150, 486, 150, 487, 150, 498, 150, 500, 149, 497, 150, 499, 
260, 150, 485, 149, 486, 149, 497, 149, 497, 150, 495, 150, 498, 
265, 150, 485, 150, 486, 148, 491, 149, 496, 150, 492, 150, 496, 
270, 150, 485, 150, 486, 150, 496, 150, 495, 150, 490, 150, 494, 
275, 150, 483, 150, 485, 150, 494, 149, 493, 149, 488, 150, 493, 
280, 150, 484, 149, 485, 150, 495, 149, 491, 149, 486, 150, 492, 
285, 150, 482, 149, 484, 149, 491, 150, 490, 150, 484, 150, 491, 
290, 150, 482, 150, 484, 149, 491, 150, 489, 150, 482, 150, 489, 
295, 150, 482, 150, 483, 150, 492, 149, 487, 150, 479, 150, 487, 
300, 150, 481, 150, 483, 149, 489, 149, 485, 150, 477, 150, 486, 
305, 150, 481, 150, 483, 150, 490, 149, 484, 150, 475, 150, 484, 
310, 149, 480, 150, 482, 149, 488, 149, 483, 150, 472, 150, 481, 
315, 150, 478, 150, 481, 150, 488, 150, 481, 150, 470, 150, 482, 
320, 150, 477, 150, 480, 150, 487, 149, 479, 149, 469, 150, 478, 
325, 150, 476, 150, 479, 149, 485, 150, 478, 150, 466, 150, 477, 
330, 150, 475, 150, 479, 150, 484, 150, 477, 150, 464, 150, 475, 
