t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 458, 150, 451, 150, 458, 150, 455, 149, 453, 150, 463, 
10, 150, 460, 150, 453, 150, 460, 150, 459, 150, 457, 150, 469, 
15, 150, 457, 150, 453, 150, 461, 149, 461, 149, 459, 150, 472, 
20, 150, 459, 150, 455, 150, 463, 150, 463, 150, 462, 150, 472, 
25, 150, 457, 150, 454, 149, 464, 149, 462, 150, 462, 150, 474, 
30, 149, 459, 149, 453, 150, 465, 150, 464, 150, 465, 150, 475, 
35, 150, 456, 150, 454, 150, 466, 149, 464, 149, 467, 149, 475, 
40, 150, 458, 150, 454, 150, 465, 149, 464, 149, 467, 149, 476, 
45, 150, 455, 150, 454, 150, 466, 149, 464, 149, 467, 150, 477, 
50, 150, 455, 150, 454, 150, 464, 150, 462, 150, 465, 150, 478, 
55, 150, 451, 150, 452, 149, 465, 149, 460, 150, 466, 149, 477, 
60, 150, 451, 150, 451, 150, 462, 150, 458, 149, 467, 150, 477, 
65, 150, 449, 150, 449, 150, 461, 149, 457, 149, 464, 150, 476, 
70, 150, 449, 150, 448, 148, 455, 150, 456, 150, 461, 150, 474, 
75, 150, 442, 150, 444, 150, 454, 150, 451, 150, 459, 149, 470, 
80, 150, 440, 150, 441, 150, 454, 149, 449, 150, 456, 150, 469, 
85, 150, 437, 150, 439, 150, 450, 150, 448, 149, 455, 150, 467, 
90, 150, 435, 150, 437, 149, 449, 150, 445, 150, 451, 150, 464, 
95, 150, 434, 150, 435, 150, 445, 150, 442, 149, 449, 150, 462, 
100, 149, 433, 149, 434, 150, 444, 150, 442, 150, 447, 149, 461, 
105, 149, 430, 150, 432, 149, 444, 149, 440, 150, 446, 150, 460, 
110, 150, 433, 150, 431, 150, 442, 149, 439, 150, 447, 150, 458, 
115, 150, 429, 150, 429, 149, 442, 150, 439, 150, 445, 150, 456, 
120, 150, 432, 150, 429, 150, 440, 149, 437, 149, 445, 149, 456, 
125, 150, 429, 150, 428, 149, 439, 150, 437, 149, 444, 150, 454, 
130, 149, 431, 150, 428, 149, 440, 149, 437, 149, 445, 150, 453, 
135, 150, 429, 149, 428, 149, 438, 149, 436, 150, 444, 150, 454, 
140, 150, 431, 149, 426, 149, 439, 149, 437, 150, 440, 149, 453, 
145, 150, 428, 150, 427, 150, 437, 149, 436, 149, 441, 150, 452, 
150, 150, 431, 150, 430, 149, 439, 150, 436, 150, 440, 150, 452, 
155, 150, 429, 150, 427, 150, 438, 149, 436, 149, 439, 150, 452, 
160, 150, 432, 150, 428, 150, 436, 150, 437, 149, 437, 150, 452, 
165, 150, 429, 149, 427, 150, 439, 149, 437, 149, 438, 150, 452, 
170, 149, 432, 150, 428, 149, 438, 149, 438, 150, 437, 149, 452, 
175, 150, 430, 150, 428, 149, 437, 150, 436, 150, 439, 150, 451, 
180, 149, 432, 150, 429, 150, 439, 150, 438, 150, 439, 150, 451, 
185, 150, 432, 150, 428, 150, 438, 149, 436, 149, 438, 150, 451, 
190, 150, 434, 149, 428, 150, 438, 150, 438, 149, 437, 150, 451, 
195, 149, 435, 149, 428, 150, 438, 149, 438, 149, 439, 150, 451, 
200, 150, 434, 149, 428, 150, 436, 150, 438, 150, 439, 149, 450, 
205, 150, 436, 150, 429, 149, 437, 149, 438, 149, 436, 150, 451, 
210, 150, 436, 150, 429, 150, 436, 149, 437, 150, 437, 150, 450, 
215, 150, 435, 150, 429, 150, 437, 149, 438, 150, 439, 150, 451, 
220, 150, 437, 150, 428, 149, 436, 149, 437, 149, 435, 150, 451, 
225, 150, 438, 150, 428, 150, 435, 149, 438, 150, 439, 150, 450, 
230, 150, 438, 150, 429, 149, 436, 150, 436, 150, 436, 149, 449, 
235, 150, 439, 150, 429, 150, 438, 150, 437, 150, 433, 150, 450, 
240, 150, 436, 149, 428, 150, 436, 150, 437, 149, 434, 150, 449, 
245, 150, 440, 150, 428, 149, 434, 150, 435, 150, 434, 150, 449, 
250, 150, 437, 150, 428, 150, 436, 149, 435, 150, 433, 150, 449, 
255, 150, 438, 150, 428, 150, 437, 149, 435, 149, 434, 149, 449, 
260, 149, 435, 150, 428, 149, 437, 150, 433, 150, 430, 150, 449, 
265, 150, 439, 149, 427, 150, 438, 149, 434, 150, 429, 150, 449, 
270, 150, 436, 150, 428, 150, 435, 150, 432, 149, 430, 150, 447, 
275, 150, 438, 150, 427, 150, 437, 150, 433, 150, 429, 150, 447, 
280, 150, 437, 150, 427, 150, 437, 150, 430, 149, 427, 149, 446, 
285, 150, 438, 150, 427, 149, 435, 150, 430, 150, 428, 150, 446, 
290, 150, 436, 150, 426, 150, 438, 149, 429, 150, 425, 150, 446, 
295, 150, 438, 149, 426, 149, 437, 150, 429, 150, 423, 150, 445, 
300, 150, 435, 150, 426, 150, 437, 149, 428, 150, 422, 150, 445, 
305, 150, 437, 149, 426, 150, 437, 149, 427, 150, 419, 150, 444, 
310, 150, 434, 150, 426, 149, 436, 149, 426, 150, 419, 150, 443, 
315, 150, 438, 150, 426, 149, 434, 150, 425, 150, 420, 150, 442, 
320, 150, 436, 150, 426, 150, 433, 149, 425, 150, 418, 150, 442, 
325, 150, 435, 150, 426, 150, 436, 150, 424, 149, 416, 149, 440, 
330, 150, 437, 150, 426, 150, 432, 150, 422, 150, 415, 150, 439, 
