t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 435, 150, 432, 149, 427, 150, 422, 150, 410, 150, 404, 
10, 149, 438, 150, 436, 150, 433, 150, 428, 150, 415, 150, 411, 
15, 150, 440, 150, 438, 150, 436, 150, 431, 149, 421, 150, 417, 
20, 150, 441, 150, 440, 150, 437, 149, 434, 150, 422, 150, 419, 
25, 150, 441, 150, 440, 149, 436, 150, 434, 149, 425, 150, 422, 
30, 150, 441, 150, 441, 150, 440, 150, 436, 150, 427, 150, 424, 
35, 150, 436, 150, 436, 150, 437, 150, 431, 150, 424, 150, 421, 
40, 150, 430, 150, 433, 150, 429, 150, 429, 150, 422, 150, 421, 
45, 150, 426, 150, 427, 150, 425, 150, 422, 150, 416, 150, 416, 
50, 149, 422, 149, 425, 150, 417, 150, 419, 150, 414, 150, 415, 
55, 150, 423, 150, 424, 150, 425, 150, 418, 150, 415, 150, 416, 
60, 149, 423, 150, 423, 149, 420, 150, 419, 150, 416, 150, 417, 
65, 150, 424, 150, 426, 150, 424, 150, 421, 150, 418, 150, 418, 
70, 150, 425, 150, 427, 150, 422, 149, 421, 150, 419, 149, 420, 
75, 150, 427, 150, 430, 150, 428, 150, 422, 150, 421, 150, 422, 
80, 150, 427, 150, 427, 150, 424, 149, 423, 149, 421, 150, 422, 
85, 150, 427, 151, 431, 150, 426, 150, 423, 150, 422, 150, 423, 
90, 150, 428, 150, 427, 150, 421, 149, 423, 150, 423, 150, 424, 
95, 149, 429, 150, 425, 150, 425, 150, 421, 150, 424, 150, 425, 
100, 149, 428, 150, 426, 150, 420, 149, 420, 150, 425, 150, 427, 
105, 150, 429, 149, 426, 150, 423, 150, 422, 150, 425, 150, 426, 
110, 150, 430, 150, 426, 150, 420, 149, 421, 150, 427, 149, 427, 
115, 150, 431, 150, 426, 150, 421, 150, 421, 150, 429, 149, 428, 
120, 149, 433, 150, 426, 150, 422, 150, 421, 150, 429, 150, 429, 
125, 150, 434, 149, 425, 150, 425, 149, 421, 149, 430, 150, 429, 
130, 150, 431, 150, 423, 149, 421, 150, 419, 150, 432, 150, 429, 
135, 150, 432, 150, 423, 150, 425, 150, 420, 150, 431, 150, 429, 
140, 150, 432, 150, 421, 150, 421, 149, 418, 150, 431, 150, 429, 
145, 150, 433, 150, 420, 150, 426, 150, 418, 150, 431, 150, 430, 
150, 150, 432, 150, 420, 149, 421, 150, 417, 150, 429, 150, 428, 
155, 150, 432, 150, 420, 149, 421, 150, 417, 150, 429, 149, 428, 
160, 150, 431, 150, 419, 150, 424, 150, 417, 149, 428, 149, 427, 
165, 150, 431, 150, 417, 150, 422, 150, 416, 150, 430, 150, 426, 
170, 150, 431, 150, 418, 150, 423, 150, 414, 149, 428, 149, 426, 
175, 150, 430, 150, 417, 149, 420, 150, 415, 150, 427, 150, 424, 
180, 150, 429, 150, 417, 150, 425, 149, 415, 149, 425, 149, 423, 
185, 150, 429, 150, 416, 150, 423, 150, 414, 149, 425, 149, 422, 
190, 150, 428, 150, 415, 149, 420, 149, 412, 149, 424, 150, 420, 
195, 149, 427, 149, 415, 150, 424, 149, 413, 150, 424, 150, 420, 
200, 150, 427, 149, 415, 149, 420, 149, 412, 150, 421, 149, 418, 
205, 150, 426, 150, 415, 150, 423, 150, 411, 149, 422, 150, 417, 
210, 150, 425, 149, 415, 150, 419, 150, 410, 150, 421, 150, 416, 
215, 150, 424, 150, 415, 149, 420, 149, 409, 149, 419, 150, 416, 
220, 150, 423, 150, 415, 150, 419, 150, 409, 150, 418, 150, 414, 
225, 150, 423, 150, 413, 149, 420, 150, 409, 150, 419, 150, 413, 
230, 150, 422, 150, 415, 150, 419, 150, 408, 149, 418, 149, 411, 
235, 150, 422, 149, 412, 150, 419, 149, 407, 150, 418, 149, 411, 
240, 149, 420, 150, 413, 150, 419, 149, 405, 149, 417, 150, 409, 
245, 150, 421, 150, 413, 149, 417, 149, 406, 150, 416, 150, 408, 
250, 149, 419, 150, 412, 150, 416, 149, 404, 150, 416, 150, 406, 
255, 150, 419, 150, 413, 150, 413, 150, 403, 150, 416, 150, 405, 
260, 150, 418, 150, 411, 149, 419, 149, 404, 150, 414, 150, 403, 
265, 150, 418, 150, 411, 149, 414, 149, 403, 149, 414, 150, 401, 
270, 149, 417, 150, 410, 150, 416, 150, 404, 150, 414, 150, 399, 
275, 150, 416, 150, 411, 149, 413, 150, 402, 150, 413, 149, 398, 
280, 150, 415, 150, 410, 149, 414, 150, 401, 149, 412, 149, 397, 
285, 150, 415, 149, 407, 150, 414, 149, 401, 149, 411, 149, 395, 
290, 150, 414, 150, 408, 150, 413, 150, 401, 149, 410, 150, 394, 
295, 150, 414, 150, 406, 150, 413, 150, 400, 150, 409, 149, 393, 
300, 150, 413, 150, 408, 150, 410, 150, 400, 150, 407, 150, 392, 
305, 150, 412, 150, 407, 149, 409, 149, 399, 149, 406, 150, 391, 
310, 150, 411, 150, 405, 150, 411, 150, 399, 150, 404, 150, 389, 
315, 150, 411, 149, 403, 150, 409, 149, 398, 150, 403, 149, 389, 
320, 149, 410, 150, 405, 150, 410, 150, 397, 150, 402, 150, 388, 
325, 150, 410, 150, 403, 149, 406, 149, 397, 149, 400, 150, 386, 
330, 150, 409, 150, 403, 149, 408, 150, 395, 150, 398, 150, 385, 
