t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 407, 150, 399, 150, 384, 150, 382, 149, 375, 150, 383, 
10, 150, 411, 150, 403, 149, 389, 149, 384, 149, 378, 150, 388, 
15, 150, 413, 150, 406, 150, 393, 150, 386, 150, 383, 150, 393, 
20, 150, 414, 150, 407, 150, 391, 150, 390, 149, 384, 150, 394, 
25, 150, 415, 149, 408, 150, 394, 150, 393, 150, 387, 150, 397, 
30, 150, 417, 150, 410, 150, 396, 149, 392, 149, 386, 150, 397, 
35, 150, 413, 150, 407, 150, 392, 149, 394, 149, 388, 150, 399, 
40, 150, 412, 150, 407, 149, 396, 149, 395, 149, 391, 150, 402, 
45, 150, 411, 150, 408, 150, 396, 150, 400, 149, 395, 150, 405, 
50, 150, 409, 150, 408, 149, 397, 150, 402, 150, 397, 150, 406, 
55, 150, 408, 149, 408, 149, 397, 149, 401, 150, 400, 150, 408, 
60, 150, 409, 150, 409, 150, 400, 150, 401, 149, 401, 150, 408, 
65, 150, 408, 150, 409, 149, 400, 150, 403, 149, 399, 149, 408, 
70, 150, 410, 150, 409, 151, 405, 150, 401, 149, 401, 150, 410, 
75, 150, 410, 150, 409, 149, 399, 150, 401, 150, 401, 150, 408, 
80, 150, 409, 150, 409, 150, 401, 150, 402, 150, 402, 150, 409, 
85, 150, 409, 150, 408, 149, 401, 150, 400, 149, 402, 150, 409, 
90, 150, 410, 150, 409, 150, 398, 149, 399, 150, 403, 150, 409, 
95, 150, 410, 150, 408, 150, 400, 150, 396, 150, 403, 149, 408, 
100, 150, 409, 150, 408, 150, 396, 149, 397, 150, 403, 150, 408, 
105, 150, 407, 150, 407, 150, 398, 149, 396, 149, 403, 150, 408, 
110, 150, 408, 150, 406, 150, 394, 150, 397, 150, 402, 150, 409, 
115, 150, 408, 150, 407, 149, 396, 150, 395, 150, 402, 150, 409, 
120, 150, 409, 150, 406, 150, 392, 149, 395, 150, 402, 150, 409, 
125, 150, 407, 150, 406, 150, 394, 150, 393, 149, 402, 150, 409, 
130, 150, 407, 149, 406, 149, 392, 150, 394, 150, 399, 150, 409, 
135, 150, 406, 150, 406, 150, 394, 150, 394, 150, 397, 150, 409, 
140, 150, 407, 150, 406, 150, 391, 150, 393, 150, 398, 150, 409, 
145, 150, 407, 149, 405, 150, 392, 150, 392, 150, 397, 150, 407, 
150, 150, 406, 150, 407, 150, 390, 149, 392, 150, 398, 150, 408, 
155, 150, 407, 150, 405, 149, 391, 149, 390, 150, 395, 150, 407, 
160, 150, 407, 150, 404, 150, 390, 149, 392, 150, 397, 150, 407, 
165, 150, 407, 150, 404, 150, 389, 149, 388, 149, 393, 150, 406, 
170, 150, 407, 150, 404, 150, 390, 150, 390, 150, 393, 150, 407, 
175, 150, 407, 149, 401, 151, 394, 149, 388, 150, 392, 150, 405, 
180, 149, 406, 150, 402, 150, 390, 149, 387, 149, 393, 150, 406, 
185, 150, 406, 150, 402, 150, 392, 150, 387, 150, 390, 150, 404, 
190, 149, 405, 150, 401, 148, 383, 150, 386, 150, 389, 150, 403, 
195, 150, 404, 150, 400, 150, 388, 149, 386, 150, 387, 150, 403, 
200, 149, 403, 150, 400, 150, 387, 150, 386, 150, 387, 149, 402, 
205, 150, 404, 150, 399, 149, 387, 150, 384, 150, 385, 149, 401, 
210, 149, 403, 150, 400, 150, 386, 150, 385, 150, 384, 150, 401, 
215, 150, 403, 150, 398, 150, 386, 150, 383, 150, 383, 150, 401, 
220, 149, 402, 150, 398, 150, 387, 149, 385, 149, 383, 150, 400, 
225, 150, 402, 150, 397, 149, 386, 150, 382, 150, 381, 150, 399, 
230, 149, 402, 150, 398, 150, 386, 150, 383, 150, 381, 150, 399, 
235, 150, 402, 150, 397, 150, 383, 150, 382, 150, 379, 150, 399, 
240, 149, 401, 150, 398, 150, 383, 150, 383, 149, 378, 150, 397, 
245, 150, 401, 150, 395, 150, 385, 149, 383, 150, 378, 150, 398, 
250, 149, 401, 150, 396, 150, 386, 150, 382, 150, 377, 150, 396, 
255, 150, 401, 150, 395, 150, 382, 150, 380, 150, 375, 150, 396, 
260, 149, 400, 150, 395, 150, 382, 150, 379, 149, 374, 150, 396, 
265, 150, 400, 150, 395, 150, 380, 150, 380, 149, 373, 150, 395, 
270, 150, 400, 150, 394, 150, 382, 150, 378, 150, 373, 150, 395, 
275, 150, 399, 150, 394, 150, 378, 149, 377, 149, 373, 150, 394, 
280, 150, 399, 149, 394, 150, 380, 150, 376, 149, 371, 150, 394, 
285, 150, 399, 150, 393, 150, 377, 150, 377, 150, 371, 150, 393, 
290, 150, 399, 150, 392, 150, 380, 150, 376, 149, 369, 150, 392, 
295, 150, 399, 150, 393, 150, 376, 149, 375, 150, 368, 150, 392, 
300, 149, 398, 150, 392, 149, 376, 149, 373, 149, 368, 150, 391, 
305, 150, 397, 149, 391, 150, 375, 150, 375, 150, 367, 150, 392, 
310, 150, 397, 150, 392, 150, 377, 150, 372, 150, 365, 150, 390, 
315, 150, 397, 150, 391, 150, 372, 150, 371, 150, 364, 150, 390, 
320, 150, 396, 150, 390, 150, 373, 150, 370, 150, 364, 150, 389, 
325, 150, 396, 150, 390, 149, 371, 150, 369, 150, 363, 150, 389, 
330, 150, 396, 150, 390, 150, 373, 150, 368, 149, 361, 150, 389, 
