t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 403, 150, 409, 150, 404, 149, 410, 149, 404, 150, 409, 
10, 150, 405, 150, 411, 150, 409, 149, 413, 150, 408, 150, 413, 
15, 150, 404, 150, 413, 150, 407, 149, 416, 149, 410, 150, 416, 
20, 150, 406, 150, 413, 150, 411, 150, 417, 150, 411, 150, 417, 
25, 150, 405, 149, 413, 150, 410, 149, 419, 149, 413, 150, 419, 
30, 150, 404, 150, 414, 150, 411, 149, 417, 149, 414, 150, 419, 
35, 150, 403, 150, 415, 150, 407, 150, 417, 149, 413, 149, 417, 
40, 150, 403, 150, 413, 150, 409, 149, 417, 149, 412, 150, 418, 
45, 149, 402, 150, 411, 149, 406, 149, 415, 150, 410, 149, 417, 
50, 150, 402, 150, 407, 149, 406, 150, 417, 149, 409, 150, 417, 
55, 150, 402, 150, 402, 150, 407, 150, 415, 150, 409, 150, 416, 
60, 150, 402, 150, 402, 149, 408, 149, 415, 150, 406, 150, 417, 
65, 150, 402, 150, 404, 149, 407, 149, 414, 150, 404, 150, 417, 
70, 150, 402, 150, 407, 150, 409, 150, 413, 150, 405, 150, 417, 
75, 150, 402, 150, 407, 150, 407, 150, 410, 150, 404, 150, 416, 
80, 150, 403, 150, 407, 149, 405, 149, 410, 150, 407, 149, 416, 
85, 150, 403, 150, 408, 150, 405, 149, 406, 149, 407, 150, 415, 
90, 150, 402, 150, 407, 150, 404, 150, 409, 150, 407, 150, 415, 
95, 150, 402, 150, 406, 150, 402, 149, 405, 149, 407, 150, 413, 
100, 150, 402, 150, 406, 150, 400, 149, 407, 150, 407, 150, 413, 
105, 150, 401, 150, 406, 149, 399, 150, 407, 150, 406, 150, 412, 
110, 150, 400, 150, 406, 150, 400, 150, 407, 149, 405, 150, 411, 
115, 150, 400, 150, 404, 149, 399, 149, 405, 149, 404, 150, 410, 
120, 150, 399, 150, 403, 150, 397, 149, 407, 149, 403, 150, 412, 
125, 150, 399, 150, 404, 149, 395, 150, 405, 150, 403, 150, 411, 
130, 150, 398, 150, 402, 150, 398, 149, 407, 150, 403, 150, 413, 
135, 150, 398, 149, 403, 150, 398, 150, 405, 150, 401, 149, 412, 
140, 150, 396, 150, 403, 150, 398, 150, 404, 150, 402, 149, 412, 
145, 150, 396, 150, 402, 150, 396, 150, 405, 149, 401, 150, 412, 
150, 150, 396, 150, 402, 150, 398, 150, 404, 150, 401, 150, 413, 
155, 150, 395, 150, 401, 150, 394, 150, 404, 150, 400, 149, 412, 
160, 150, 395, 150, 402, 149, 395, 150, 403, 149, 400, 150, 411, 
165, 150, 395, 150, 401, 150, 393, 149, 402, 149, 400, 150, 412, 
170, 150, 396, 149, 398, 150, 394, 150, 403, 150, 400, 149, 411, 
175, 150, 396, 149, 399, 149, 396, 150, 403, 150, 399, 150, 411, 
180, 150, 395, 150, 400, 150, 392, 149, 401, 149, 398, 150, 409, 
185, 150, 395, 150, 399, 150, 395, 149, 400, 150, 398, 149, 410, 
190, 150, 394, 150, 399, 150, 394, 150, 401, 150, 397, 150, 409, 
195, 150, 394, 150, 398, 150, 394, 149, 400, 149, 396, 150, 408, 
200, 150, 394, 150, 398, 150, 391, 149, 398, 150, 394, 150, 408, 
205, 150, 394, 150, 397, 150, 392, 149, 400, 150, 394, 149, 407, 
210, 150, 393, 150, 398, 150, 391, 150, 399, 149, 394, 150, 406, 
215, 150, 394, 149, 396, 150, 391, 149, 399, 150, 392, 149, 406, 
220, 150, 392, 150, 397, 150, 389, 150, 398, 149, 390, 150, 405, 
225, 150, 393, 150, 397, 150, 393, 149, 396, 149, 392, 150, 405, 
230, 150, 392, 150, 396, 150, 388, 150, 394, 149, 390, 150, 405, 
235, 150, 392, 150, 395, 150, 390, 149, 396, 150, 390, 150, 405, 
240, 149, 392, 150, 396, 150, 390, 150, 394, 149, 389, 150, 403, 
245, 150, 392, 150, 395, 150, 389, 149, 395, 150, 388, 150, 403, 
250, 150, 391, 149, 394, 150, 388, 150, 392, 150, 388, 150, 402, 
255, 150, 391, 149, 395, 150, 388, 149, 391, 150, 387, 150, 403, 
260, 150, 391, 150, 394, 150, 388, 149, 390, 150, 385, 150, 401, 
265, 150, 391, 150, 394, 150, 386, 150, 390, 150, 385, 150, 400, 
270, 150, 390, 150, 394, 150, 387, 149, 388, 150, 384, 150, 399, 
275, 150, 391, 150, 394, 149, 387, 150, 387, 150, 385, 150, 400, 
280, 150, 391, 150, 393, 149, 382, 149, 386, 150, 382, 149, 398, 
285, 150, 390, 150, 393, 150, 385, 150, 384, 149, 382, 150, 398, 
290, 149, 389, 150, 392, 150, 381, 149, 383, 150, 380, 149, 395, 
295, 150, 389, 150, 393, 150, 382, 149, 381, 150, 381, 150, 396, 
300, 150, 389, 149, 391, 150, 380, 149, 380, 150, 378, 150, 394, 
305, 150, 389, 150, 391, 150, 379, 149, 379, 149, 378, 150, 394, 
310, 150, 388, 150, 391, 150, 379, 150, 376, 149, 376, 150, 393, 
315, 150, 388, 150, 391, 150, 377, 150, 376, 150, 375, 150, 392, 
320, 150, 388, 150, 391, 148, 376, 150, 375, 149, 373, 150, 391, 
325, 149, 387, 149, 391, 150, 377, 150, 375, 150, 372, 150, 390, 
330, 150, 387, 150, 391, 150, 377, 150, 372, 150, 369, 150, 389, 
