t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 376, 150, 382, 150, 372, 150, 379, 149, 378, 149, 383, 
10, 150, 377, 150, 384, 150, 374, 149, 382, 150, 380, 150, 387, 
15, 150, 377, 150, 386, 150, 375, 150, 383, 149, 384, 149, 389, 
20, 150, 377, 150, 386, 150, 378, 150, 384, 149, 383, 150, 390, 
25, 150, 377, 150, 386, 149, 376, 149, 385, 149, 385, 149, 391, 
30, 150, 378, 150, 387, 150, 379, 150, 386, 150, 387, 150, 391, 
35, 150, 377, 150, 387, 150, 379, 150, 388, 149, 387, 150, 392, 
40, 150, 378, 150, 387, 150, 379, 150, 387, 149, 388, 150, 393, 
45, 150, 375, 150, 384, 150, 375, 150, 383, 150, 383, 150, 389, 
50, 149, 373, 150, 383, 150, 373, 150, 381, 150, 381, 149, 387, 
55, 150, 373, 150, 382, 149, 371, 150, 374, 150, 377, 150, 385, 
60, 149, 371, 150, 381, 150, 368, 149, 375, 150, 373, 150, 382, 
65, 150, 372, 150, 380, 150, 368, 150, 372, 150, 372, 150, 381, 
70, 149, 372, 150, 381, 150, 367, 149, 375, 150, 372, 150, 381, 
75, 150, 372, 150, 381, 150, 369, 150, 374, 150, 374, 149, 381, 
80, 150, 373, 150, 382, 150, 368, 150, 375, 150, 374, 150, 383, 
85, 150, 374, 150, 382, 150, 371, 150, 373, 150, 376, 150, 383, 
90, 150, 374, 150, 383, 149, 370, 149, 373, 149, 375, 150, 384, 
95, 150, 376, 150, 383, 150, 370, 150, 373, 150, 377, 150, 383, 
100, 149, 375, 150, 382, 150, 368, 149, 375, 150, 376, 150, 384, 
105, 150, 375, 150, 382, 150, 369, 150, 371, 150, 377, 150, 383, 
110, 150, 375, 149, 381, 150, 369, 149, 370, 150, 377, 150, 383, 
115, 150, 376, 150, 380, 150, 368, 149, 373, 149, 378, 150, 382, 
120, 149, 376, 150, 380, 150, 366, 150, 372, 150, 379, 150, 381, 
125, 150, 378, 150, 378, 150, 365, 150, 372, 150, 380, 150, 380, 
130, 150, 377, 150, 376, 149, 363, 149, 373, 150, 379, 149, 380, 
135, 150, 376, 150, 375, 150, 364, 150, 371, 149, 378, 150, 380, 
140, 150, 376, 150, 374, 149, 360, 149, 371, 150, 377, 149, 379, 
145, 150, 374, 150, 374, 150, 361, 150, 368, 150, 375, 150, 380, 
150, 150, 372, 149, 372, 150, 359, 149, 367, 149, 374, 150, 380, 
155, 150, 372, 149, 370, 150, 360, 149, 368, 150, 373, 150, 379, 
160, 150, 370, 150, 370, 149, 357, 150, 367, 150, 372, 150, 379, 
165, 150, 369, 150, 369, 149, 357, 150, 365, 150, 371, 150, 378, 
170, 150, 367, 149, 367, 149, 354, 150, 363, 150, 368, 150, 378, 
175, 150, 367, 150, 366, 149, 355, 150, 362, 149, 368, 150, 377, 
180, 150, 365, 150, 364, 149, 353, 149, 363, 149, 366, 150, 377, 
185, 150, 364, 150, 364, 150, 354, 150, 361, 149, 364, 150, 377, 
190, 149, 364, 150, 363, 149, 353, 149, 358, 150, 364, 150, 376, 
195, 150, 361, 150, 362, 149, 351, 150, 358, 150, 363, 150, 374, 
200, 149, 360, 150, 361, 150, 353, 149, 360, 150, 361, 149, 375, 
205, 150, 360, 150, 360, 149, 350, 149, 355, 150, 361, 150, 374, 
210, 149, 358, 150, 361, 150, 353, 150, 356, 150, 362, 150, 374, 
215, 150, 358, 150, 360, 150, 350, 150, 355, 149, 360, 150, 373, 
220, 150, 356, 150, 359, 149, 351, 150, 354, 150, 359, 150, 374, 
225, 150, 355, 150, 359, 149, 348, 150, 353, 149, 356, 150, 372, 
230, 150, 354, 150, 357, 149, 351, 149, 355, 149, 356, 150, 372, 
235, 150, 353, 149, 357, 149, 349, 149, 355, 149, 356, 149, 372, 
240, 150, 351, 150, 357, 149, 348, 149, 355, 149, 357, 150, 371, 
245, 150, 351, 150, 357, 150, 351, 149, 354, 149, 355, 150, 370, 
250, 150, 350, 150, 357, 150, 350, 150, 355, 150, 355, 149, 370, 
255, 150, 349, 150, 357, 150, 349, 150, 352, 150, 355, 150, 370, 
260, 150, 347, 150, 357, 149, 347, 150, 352, 149, 353, 150, 369, 
265, 150, 347, 150, 357, 150, 349, 150, 352, 150, 353, 150, 369, 
270, 150, 346, 150, 356, 150, 348, 150, 352, 149, 353, 150, 369, 
275, 150, 345, 150, 356, 150, 346, 149, 348, 150, 352, 150, 369, 
280, 150, 344, 150, 356, 150, 346, 150, 351, 149, 352, 150, 368, 
285, 149, 343, 150, 356, 150, 345, 150, 349, 149, 350, 150, 368, 
290, 150, 344, 150, 356, 150, 346, 150, 348, 150, 350, 150, 368, 
295, 150, 343, 150, 356, 150, 345, 149, 347, 150, 350, 150, 366, 
300, 150, 342, 150, 355, 149, 345, 149, 347, 149, 350, 150, 366, 
305, 150, 341, 150, 355, 150, 344, 150, 347, 150, 348, 150, 365, 
310, 150, 340, 150, 355, 150, 344, 150, 346, 150, 349, 150, 366, 
315, 150, 340, 150, 354, 150, 341, 149, 342, 150, 347, 150, 365, 
320, 150, 340, 150, 354, 150, 344, 150, 345, 150, 348, 150, 364, 
325, 150, 339, 150, 354, 149, 341, 150, 342, 150, 346, 149, 364, 
330, 150, 338, 150, 353, 150, 342, 150, 344, 149, 346, 150, 364, 
