t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 378, 150, 385, 150, 376, 150, 387, 150, 385, 150, 403, 
10, 150, 380, 150, 388, 150, 379, 149, 389, 150, 389, 149, 403, 
15, 150, 382, 150, 391, 149, 379, 149, 393, 150, 393, 150, 405, 
20, 150, 384, 149, 391, 150, 385, 150, 397, 149, 394, 149, 407, 
25, 150, 385, 149, 392, 150, 386, 150, 398, 150, 396, 150, 410, 
30, 150, 386, 150, 393, 149, 385, 150, 398, 149, 396, 150, 410, 
35, 150, 381, 150, 389, 149, 383, 150, 393, 150, 393, 150, 406, 
40, 150, 376, 150, 384, 150, 374, 149, 385, 150, 383, 150, 395, 
45, 149, 371, 150, 380, 149, 372, 149, 381, 150, 376, 149, 389, 
50, 149, 369, 150, 379, 149, 370, 150, 380, 150, 375, 149, 385, 
55, 150, 369, 149, 379, 150, 372, 150, 379, 149, 376, 150, 387, 
60, 150, 370, 149, 379, 149, 370, 149, 380, 150, 375, 150, 387, 
65, 150, 369, 149, 379, 149, 372, 149, 382, 150, 377, 150, 388, 
70, 150, 369, 150, 379, 150, 372, 149, 379, 150, 377, 150, 389, 
75, 150, 370, 150, 379, 150, 371, 150, 380, 149, 377, 150, 388, 
80, 150, 369, 150, 378, 149, 371, 150, 377, 150, 378, 150, 388, 
85, 150, 368, 150, 378, 149, 369, 150, 376, 150, 378, 150, 386, 
90, 150, 368, 150, 377, 150, 369, 149, 374, 150, 377, 150, 386, 
95, 150, 368, 150, 377, 149, 367, 150, 373, 150, 375, 150, 385, 
100, 150, 368, 150, 376, 150, 367, 150, 373, 150, 377, 149, 384, 
105, 149, 368, 150, 375, 150, 367, 150, 373, 150, 376, 150, 383, 
110, 149, 367, 150, 375, 150, 365, 150, 374, 150, 376, 150, 384, 
115, 150, 367, 150, 374, 149, 363, 149, 371, 149, 374, 150, 384, 
120, 150, 367, 150, 374, 150, 365, 150, 374, 149, 377, 150, 386, 
125, 150, 366, 150, 373, 150, 364, 149, 372, 150, 375, 150, 386, 
130, 150, 367, 149, 372, 149, 365, 149, 371, 150, 377, 150, 387, 
135, 150, 367, 150, 372, 150, 363, 150, 370, 150, 377, 150, 388, 
140, 149, 366, 150, 372, 150, 365, 150, 374, 150, 376, 149, 388, 
145, 150, 366, 150, 372, 149, 365, 149, 372, 149, 376, 150, 390, 
150, 150, 366, 150, 372, 149, 365, 149, 372, 150, 377, 150, 390, 
155, 150, 366, 150, 372, 149, 364, 150, 371, 150, 377, 150, 390, 
160, 150, 367, 150, 371, 150, 368, 150, 373, 150, 375, 150, 390, 
165, 150, 367, 150, 371, 150, 366, 150, 372, 150, 374, 150, 390, 
170, 150, 366, 150, 371, 150, 364, 149, 371, 150, 375, 150, 390, 
175, 150, 366, 150, 371, 150, 366, 150, 371, 149, 374, 150, 389, 
180, 149, 365, 149, 370, 150, 368, 149, 371, 149, 373, 150, 389, 
185, 150, 365, 149, 370, 150, 364, 150, 369, 149, 372, 150, 389, 
190, 150, 364, 150, 371, 150, 364, 149, 372, 150, 371, 150, 388, 
195, 150, 364, 150, 372, 150, 366, 149, 370, 150, 369, 150, 388, 
200, 150, 364, 149, 371, 149, 364, 150, 370, 150, 369, 149, 387, 
205, 150, 364, 150, 371, 150, 367, 149, 369, 149, 368, 149, 386, 
210, 150, 364, 150, 371, 150, 362, 150, 368, 149, 368, 150, 387, 
215, 150, 364, 150, 371, 150, 365, 150, 370, 150, 366, 150, 385, 
220, 150, 362, 149, 371, 150, 363, 149, 370, 149, 365, 150, 385, 
225, 149, 362, 150, 371, 150, 363, 149, 367, 149, 365, 150, 384, 
230, 150, 361, 150, 371, 150, 362, 150, 369, 150, 364, 150, 384, 
235, 150, 361, 150, 371, 150, 362, 150, 366, 150, 362, 150, 383, 
240, 150, 361, 150, 370, 150, 360, 149, 366, 149, 362, 149, 383, 
245, 149, 359, 150, 371, 150, 362, 150, 366, 150, 362, 150, 381, 
250, 150, 360, 150, 370, 150, 361, 149, 367, 150, 361, 150, 381, 
255, 150, 360, 150, 370, 150, 360, 150, 364, 150, 360, 150, 380, 
260, 150, 360, 150, 370, 149, 360, 149, 366, 150, 359, 150, 380, 
265, 150, 359, 150, 370, 150, 360, 150, 365, 150, 357, 149, 379, 
270, 150, 361, 150, 369, 150, 359, 149, 365, 150, 359, 150, 379, 
275, 150, 360, 150, 369, 150, 358, 149, 362, 150, 357, 149, 379, 
280, 150, 360, 150, 369, 149, 358, 149, 364, 150, 357, 150, 378, 
285, 150, 360, 150, 369, 150, 357, 150, 363, 150, 356, 149, 377, 
290, 150, 360, 150, 368, 149, 357, 150, 363, 149, 355, 150, 376, 
295, 149, 360, 150, 367, 150, 357, 149, 360, 149, 355, 150, 377, 
300, 150, 360, 150, 368, 149, 357, 150, 361, 149, 354, 149, 376, 
305, 150, 361, 150, 368, 150, 355, 150, 359, 150, 353, 150, 375, 
310, 150, 361, 150, 366, 150, 355, 150, 361, 150, 352, 150, 374, 
315, 150, 361, 150, 367, 150, 354, 150, 358, 150, 350, 150, 374, 
320, 150, 361, 150, 367, 150, 354, 150, 360, 149, 350, 150, 372, 
325, 150, 361, 150, 367, 149, 355, 149, 356, 150, 349, 150, 372, 
330, 150, 361, 150, 366, 150, 354, 150, 358, 150, 348, 150, 371, 
