t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 389, 150, 382, 150, 383, 150, 386, 149, 394, 149, 394, 
10, 149, 392, 150, 385, 150, 388, 149, 390, 150, 399, 150, 397, 
15, 150, 398, 150, 388, 149, 389, 149, 392, 150, 401, 150, 399, 
20, 150, 397, 150, 389, 150, 391, 150, 393, 149, 403, 150, 399, 
25, 150, 399, 150, 390, 150, 392, 150, 394, 150, 404, 150, 401, 
30, 149, 399, 150, 392, 149, 392, 149, 396, 149, 405, 150, 401, 
35, 150, 399, 150, 393, 150, 394, 149, 395, 150, 404, 150, 399, 
40, 150, 401, 150, 394, 150, 393, 149, 396, 149, 405, 150, 401, 
45, 150, 401, 149, 395, 150, 392, 149, 397, 149, 405, 150, 401, 
50, 150, 403, 150, 397, 150, 393, 149, 398, 150, 407, 150, 400, 
55, 150, 402, 150, 396, 150, 393, 150, 398, 150, 406, 149, 401, 
60, 150, 402, 150, 396, 150, 393, 150, 397, 150, 406, 150, 401, 
65, 150, 401, 151, 399, 149, 394, 149, 397, 149, 405, 149, 399, 
70, 150, 401, 150, 397, 150, 394, 149, 395, 149, 405, 150, 401, 
75, 150, 399, 150, 397, 150, 392, 150, 396, 149, 405, 150, 398, 
80, 150, 400, 150, 397, 149, 392, 150, 396, 150, 406, 149, 398, 
85, 150, 398, 150, 397, 150, 390, 150, 396, 150, 406, 149, 398, 
90, 150, 398, 150, 396, 150, 390, 149, 396, 150, 405, 150, 398, 
95, 150, 398, 149, 397, 150, 390, 149, 395, 149, 404, 149, 397, 
100, 150, 397, 150, 396, 150, 390, 150, 395, 150, 403, 149, 395, 
105, 150, 397, 150, 395, 151, 393, 150, 396, 150, 403, 149, 395, 
110, 150, 396, 150, 395, 150, 389, 149, 395, 149, 403, 150, 393, 
115, 149, 396, 150, 395, 149, 389, 149, 394, 150, 403, 150, 394, 
120, 150, 395, 149, 393, 150, 387, 150, 393, 150, 403, 150, 392, 
125, 150, 394, 150, 393, 150, 387, 150, 394, 149, 402, 150, 391, 
130, 150, 392, 150, 392, 149, 387, 149, 392, 149, 401, 150, 390, 
135, 150, 393, 150, 391, 150, 387, 149, 391, 150, 401, 150, 390, 
140, 150, 391, 150, 392, 150, 386, 149, 389, 149, 400, 149, 389, 
145, 150, 392, 150, 391, 150, 385, 150, 391, 150, 400, 150, 389, 
150, 150, 391, 150, 391, 149, 384, 149, 388, 150, 399, 150, 388, 
155, 150, 392, 149, 389, 150, 385, 150, 389, 150, 400, 150, 386, 
160, 150, 393, 150, 390, 150, 384, 149, 387, 149, 398, 150, 387, 
165, 149, 390, 150, 389, 150, 384, 149, 386, 150, 398, 150, 386, 
170, 150, 391, 150, 388, 149, 383, 149, 386, 150, 397, 150, 385, 
175, 150, 389, 150, 388, 150, 384, 149, 385, 150, 396, 150, 383, 
180, 150, 389, 150, 388, 150, 384, 149, 386, 150, 396, 150, 384, 
185, 149, 390, 150, 387, 149, 382, 150, 385, 150, 395, 149, 383, 
190, 150, 389, 150, 388, 150, 382, 149, 384, 149, 394, 150, 385, 
195, 150, 389, 149, 388, 150, 382, 149, 383, 150, 394, 150, 384, 
200, 150, 390, 149, 387, 150, 382, 149, 383, 150, 393, 150, 383, 
205, 150, 389, 150, 386, 150, 382, 149, 383, 149, 393, 150, 384, 
210, 150, 387, 150, 385, 149, 382, 149, 382, 150, 392, 150, 383, 
215, 150, 387, 150, 386, 149, 381, 149, 381, 149, 391, 150, 382, 
220, 150, 387, 150, 385, 150, 382, 149, 381, 150, 390, 150, 381, 
225, 150, 387, 149, 383, 149, 381, 150, 380, 149, 389, 150, 381, 
230, 150, 386, 150, 384, 150, 381, 149, 378, 150, 387, 150, 381, 
235, 150, 386, 150, 383, 149, 380, 149, 378, 149, 388, 149, 380, 
240, 150, 385, 150, 382, 150, 381, 149, 377, 149, 385, 150, 380, 
245, 150, 386, 150, 380, 150, 380, 149, 376, 149, 384, 150, 381, 
250, 150, 385, 150, 380, 150, 380, 150, 375, 149, 384, 150, 380, 
255, 150, 385, 150, 379, 150, 379, 150, 374, 150, 383, 150, 380, 
260, 149, 384, 150, 378, 149, 380, 149, 373, 150, 381, 150, 379, 
265, 150, 383, 149, 376, 150, 379, 149, 372, 149, 381, 150, 378, 
270, 150, 383, 150, 377, 150, 379, 149, 371, 150, 379, 150, 379, 
275, 150, 382, 149, 373, 150, 378, 150, 370, 150, 379, 150, 377, 
280, 150, 382, 150, 373, 150, 378, 149, 369, 150, 378, 150, 376, 
285, 150, 381, 150, 374, 150, 377, 149, 367, 150, 376, 150, 378, 
290, 149, 380, 150, 371, 150, 377, 149, 367, 150, 375, 150, 377, 
295, 150, 381, 150, 371, 150, 376, 149, 365, 150, 373, 150, 378, 
300, 150, 381, 149, 369, 150, 376, 149, 364, 149, 373, 150, 377, 
305, 150, 380, 150, 370, 149, 376, 150, 363, 149, 370, 150, 377, 
310, 150, 379, 150, 367, 150, 375, 150, 362, 149, 370, 150, 375, 
315, 150, 378, 150, 367, 150, 374, 149, 360, 149, 369, 150, 375, 
320, 150, 378, 149, 366, 150, 374, 150, 359, 149, 367, 149, 374, 
325, 150, 378, 150, 365, 149, 372, 149, 357, 150, 366, 150, 372, 
330, 150, 377, 149, 364, 150, 372, 149, 355, 149, 364, 150, 372, 
