t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 409, 150, 397, 150, 409, 150, 409, 150, 414, 150, 416, 
10, 150, 412, 150, 400, 150, 413, 149, 413, 149, 420, 150, 420, 
15, 150, 413, 150, 401, 149, 415, 149, 415, 150, 422, 150, 421, 
20, 150, 413, 150, 402, 150, 417, 149, 416, 150, 424, 150, 423, 
25, 150, 414, 150, 403, 150, 418, 150, 417, 150, 425, 150, 424, 
30, 150, 414, 150, 404, 150, 417, 150, 418, 149, 425, 150, 426, 
35, 149, 414, 150, 404, 151, 419, 150, 419, 150, 426, 150, 426, 
40, 150, 413, 150, 404, 149, 418, 150, 419, 150, 426, 150, 425, 
45, 150, 413, 150, 405, 150, 419, 149, 418, 149, 424, 150, 423, 
50, 150, 413, 150, 404, 150, 418, 150, 417, 149, 423, 150, 422, 
55, 150, 411, 150, 402, 150, 416, 149, 416, 149, 421, 150, 420, 
60, 150, 410, 149, 402, 149, 414, 149, 415, 149, 419, 150, 419, 
65, 150, 408, 150, 402, 150, 414, 149, 413, 150, 418, 150, 418, 
70, 150, 408, 150, 401, 150, 412, 149, 412, 150, 417, 150, 418, 
75, 150, 408, 150, 400, 150, 413, 150, 411, 149, 417, 149, 418, 
80, 150, 407, 150, 401, 150, 413, 149, 411, 149, 416, 149, 416, 
85, 150, 407, 150, 400, 150, 412, 149, 410, 149, 415, 149, 417, 
90, 150, 406, 150, 399, 150, 411, 149, 409, 150, 416, 150, 415, 
95, 150, 405, 150, 400, 149, 410, 150, 409, 149, 415, 150, 415, 
100, 150, 404, 150, 399, 150, 410, 150, 409, 149, 414, 150, 415, 
105, 150, 404, 150, 399, 150, 410, 149, 408, 150, 415, 149, 414, 
110, 150, 403, 150, 398, 149, 408, 149, 408, 150, 414, 150, 413, 
115, 150, 402, 150, 398, 149, 408, 150, 407, 149, 413, 150, 413, 
120, 150, 401, 150, 398, 149, 406, 149, 406, 150, 413, 150, 413, 
125, 150, 401, 150, 396, 150, 407, 150, 406, 149, 413, 150, 413, 
130, 150, 400, 149, 394, 149, 406, 149, 404, 149, 412, 150, 412, 
135, 150, 400, 150, 394, 150, 407, 150, 404, 149, 412, 149, 412, 
140, 150, 399, 150, 394, 150, 407, 150, 403, 150, 411, 150, 411, 
145, 150, 398, 150, 393, 150, 407, 149, 403, 149, 412, 150, 410, 
150, 150, 398, 150, 393, 150, 407, 149, 402, 149, 411, 150, 411, 
155, 150, 397, 150, 393, 150, 406, 150, 402, 150, 411, 149, 410, 
160, 150, 397, 150, 393, 149, 405, 150, 401, 149, 409, 150, 410, 
165, 150, 396, 150, 392, 150, 405, 149, 401, 150, 409, 149, 410, 
170, 150, 396, 150, 392, 150, 405, 150, 401, 150, 408, 150, 409, 
175, 150, 396, 150, 392, 150, 404, 149, 401, 149, 408, 150, 409, 
180, 150, 396, 149, 391, 150, 405, 150, 400, 149, 406, 150, 408, 
185, 150, 396, 149, 391, 150, 405, 150, 400, 149, 406, 150, 408, 
190, 149, 395, 150, 390, 150, 404, 150, 400, 149, 405, 150, 408, 
195, 150, 394, 150, 390, 150, 403, 149, 399, 150, 404, 150, 408, 
200, 150, 394, 150, 390, 150, 404, 149, 400, 149, 404, 150, 408, 
205, 150, 395, 150, 389, 150, 403, 150, 399, 149, 403, 150, 409, 
210, 150, 395, 150, 389, 150, 404, 150, 399, 150, 402, 150, 408, 
215, 150, 394, 150, 389, 150, 403, 149, 399, 149, 402, 149, 407, 
220, 150, 394, 149, 389, 150, 403, 149, 399, 149, 399, 149, 407, 
225, 150, 393, 150, 387, 150, 403, 149, 399, 149, 398, 150, 407, 
230, 150, 393, 150, 388, 150, 403, 149, 398, 149, 397, 150, 407, 
235, 150, 392, 150, 388, 149, 401, 149, 399, 150, 396, 149, 406, 
240, 150, 392, 150, 387, 150, 402, 150, 398, 150, 396, 150, 407, 
245, 150, 392, 150, 387, 150, 402, 149, 398, 150, 394, 150, 405, 
250, 150, 391, 150, 387, 150, 401, 150, 397, 149, 393, 150, 406, 
255, 150, 391, 150, 387, 150, 401, 149, 397, 149, 392, 150, 406, 
260, 150, 392, 150, 385, 150, 400, 150, 397, 149, 390, 149, 404, 
265, 150, 391, 150, 385, 149, 400, 149, 397, 150, 389, 150, 404, 
270, 150, 391, 150, 385, 150, 399, 149, 396, 150, 387, 150, 404, 
275, 150, 390, 150, 385, 150, 399, 149, 396, 150, 387, 150, 404, 
280, 150, 390, 150, 385, 150, 398, 150, 395, 150, 385, 150, 403, 
285, 150, 390, 150, 384, 149, 397, 149, 394, 150, 384, 150, 403, 
290, 150, 389, 150, 384, 149, 397, 149, 394, 149, 381, 150, 402, 
295, 150, 389, 150, 383, 150, 396, 149, 393, 150, 381, 150, 401, 
300, 149, 388, 150, 384, 150, 397, 150, 393, 149, 379, 150, 402, 
305, 150, 388, 150, 383, 150, 395, 149, 392, 149, 378, 150, 400, 
310, 150, 388, 150, 383, 150, 394, 150, 392, 150, 376, 150, 400, 
315, 150, 387, 150, 382, 150, 394, 149, 390, 149, 375, 149, 400, 
320, 150, 387, 149, 382, 150, 392, 150, 391, 150, 374, 150, 399, 
325, 150, 387, 150, 381, 149, 391, 149, 389, 150, 373, 150, 398, 
330, 149, 387, 150, 380, 150, 391, 150, 388, 149, 371, 150, 397, 
