t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 112, 150, 111, 150, 117, 150, 116, 150, 116, 150, 112, 
10, 150, 111, 150, 111, 150, 117, 149, 116, 149, 116, 150, 113, 
15, 150, 111, 150, 111, 150, 117, 150, 116, 150, 116, 150, 112, 
20, 150, 111, 150, 111, 150, 117, 150, 116, 150, 115, 150, 112, 
25, 150, 111, 150, 110, 150, 117, 150, 116, 150, 115, 150, 113, 
30, 150, 111, 150, 111, 150, 117, 149, 116, 150, 116, 150, 113, 
35, 150, 111, 150, 111, 150, 117, 150, 116, 150, 117, 150, 112, 
40, 150, 112, 150, 111, 150, 117, 149, 117, 150, 116, 150, 112, 
45, 150, 110, 149, 111, 150, 117, 150, 116, 149, 117, 150, 112, 
50, 150, 112, 150, 111, 150, 116, 150, 116, 150, 115, 150, 111, 
55, 150, 110, 150, 111, 150, 116, 150, 116, 150, 115, 150, 111, 
60, 150, 111, 149, 110, 149, 116, 149, 116, 150, 114, 150, 111, 
65, 150, 109, 150, 109, 150, 115, 150, 115, 150, 112, 150, 111, 
70, 150, 110, 150, 108, 150, 116, 150, 114, 149, 112, 150, 110, 
75, 150, 109, 149, 109, 149, 115, 149, 114, 150, 111, 150, 109, 
80, 150, 108, 150, 108, 149, 115, 149, 114, 149, 112, 150, 109, 
85, 150, 108, 150, 108, 149, 115, 149, 113, 149, 112, 150, 109, 
90, 150, 109, 150, 108, 150, 115, 149, 113, 150, 111, 150, 108, 
95, 150, 109, 150, 108, 150, 115, 150, 113, 149, 111, 150, 108, 
100, 150, 108, 150, 108, 150, 114, 150, 112, 150, 112, 150, 108, 
105, 150, 108, 150, 108, 150, 114, 149, 112, 150, 111, 150, 108, 
110, 150, 108, 150, 108, 150, 114, 149, 113, 150, 110, 150, 108, 
115, 150, 108, 150, 108, 149, 114, 149, 112, 150, 111, 150, 108, 
120, 150, 107, 150, 108, 149, 113, 149, 112, 149, 110, 150, 108, 
125, 150, 107, 150, 107, 149, 114, 150, 112, 150, 110, 150, 108, 
130, 150, 108, 150, 108, 150, 114, 149, 112, 150, 111, 150, 109, 
135, 150, 108, 150, 107, 150, 114, 150, 112, 149, 110, 150, 108, 
140, 150, 108, 150, 107, 150, 113, 149, 112, 150, 110, 150, 107, 
145, 150, 108, 150, 107, 150, 113, 149, 111, 150, 110, 150, 107, 
150, 150, 108, 150, 107, 150, 113, 149, 111, 149, 110, 150, 107, 
155, 150, 108, 149, 107, 150, 113, 149, 111, 150, 111, 150, 108, 
160, 150, 107, 150, 108, 150, 114, 150, 112, 150, 111, 150, 107, 
165, 149, 108, 150, 107, 150, 112, 149, 112, 150, 109, 150, 107, 
170, 150, 107, 150, 107, 150, 112, 150, 111, 150, 109, 150, 108, 
175, 149, 107, 150, 107, 150, 113, 150, 112, 150, 109, 150, 107, 
180, 149, 106, 150, 107, 150, 112, 149, 111, 149, 112, 150, 107, 
185, 150, 107, 150, 107, 149, 111, 149, 111, 150, 110, 150, 106, 
190, 150, 106, 150, 107, 150, 112, 150, 111, 150, 111, 150, 106, 
195, 150, 107, 150, 106, 150, 113, 149, 111, 149, 110, 150, 106, 
200, 150, 107, 150, 107, 150, 113, 150, 112, 150, 109, 150, 107, 
205, 149, 107, 150, 107, 148, 110, 149, 112, 149, 111, 150, 106, 
210, 150, 106, 150, 107, 149, 111, 150, 111, 150, 112, 149, 106, 
215, 150, 107, 150, 107, 150, 112, 149, 112, 149, 110, 150, 106, 
220, 150, 106, 150, 106, 150, 111, 149, 112, 150, 109, 150, 106, 
225, 150, 106, 150, 106, 150, 111, 149, 112, 150, 111, 150, 106, 
230, 150, 107, 150, 106, 150, 111, 149, 112, 149, 111, 150, 106, 
235, 150, 107, 150, 106, 150, 110, 149, 112, 149, 110, 150, 106, 
240, 150, 107, 150, 106, 149, 111, 150, 112, 150, 111, 150, 106, 
245, 150, 106, 150, 106, 150, 111, 150, 112, 149, 109, 150, 106, 
250, 150, 106, 150, 106, 149, 111, 150, 112, 149, 110, 150, 106, 
255, 150, 106, 150, 105, 150, 111, 150, 113, 149, 110, 150, 106, 
260, 150, 106, 150, 105, 150, 110, 150, 112, 150, 109, 150, 106, 
265, 150, 107, 150, 105, 150, 110, 150, 113, 149, 110, 149, 106, 
270, 150, 107, 150, 105, 149, 110, 150, 113, 149, 109, 150, 106, 
275, 149, 107, 150, 105, 149, 110, 150, 114, 150, 110, 150, 105, 
280, 150, 106, 150, 105, 150, 110, 150, 114, 150, 109, 150, 105, 
285, 150, 107, 149, 105, 149, 110, 149, 114, 150, 110, 150, 105, 
290, 150, 106, 150, 105, 149, 110, 150, 114, 149, 110, 150, 106, 
295, 150, 106, 150, 105, 150, 110, 150, 114, 150, 110, 150, 106, 
300, 150, 107, 150, 105, 150, 110, 150, 114, 150, 109, 150, 105, 
305, 150, 105, 150, 105, 149, 110, 149, 114, 150, 109, 150, 106, 
310, 150, 105, 150, 105, 150, 110, 149, 115, 149, 110, 150, 106, 
315, 150, 106, 150, 105, 150, 110, 150, 115, 149, 110, 149, 106, 
320, 150, 107, 150, 105, 150, 110, 150, 115, 150, 110, 149, 106, 
325, 150, 106, 150, 105, 149, 110, 149, 115, 150, 110, 150, 107, 
330, 150, 106, 150, 105, 150, 110, 149, 115, 150, 110, 150, 106, 
