t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 380, 150, 385, 150, 390, 149, 396, 149, 400, 150, 399, 
10, 150, 382, 149, 387, 150, 394, 149, 400, 150, 403, 150, 404, 
15, 150, 382, 150, 388, 150, 397, 150, 402, 150, 405, 150, 406, 
20, 150, 383, 150, 390, 148, 391, 149, 402, 150, 406, 150, 407, 
25, 150, 383, 150, 390, 150, 398, 149, 403, 150, 407, 150, 408, 
30, 150, 383, 150, 389, 150, 399, 150, 404, 150, 408, 150, 408, 
35, 150, 383, 150, 389, 149, 398, 150, 405, 149, 407, 150, 408, 
40, 149, 383, 150, 389, 150, 399, 149, 404, 150, 407, 150, 407, 
45, 150, 381, 150, 386, 149, 393, 149, 402, 150, 405, 150, 406, 
50, 150, 379, 150, 385, 150, 395, 150, 401, 149, 401, 149, 404, 
55, 150, 377, 150, 383, 149, 392, 149, 400, 149, 400, 150, 403, 
60, 150, 375, 150, 382, 149, 393, 149, 398, 150, 398, 150, 402, 
65, 150, 374, 150, 380, 149, 390, 149, 396, 150, 397, 150, 401, 
70, 150, 373, 150, 380, 149, 390, 149, 395, 150, 396, 150, 401, 
75, 150, 372, 150, 379, 150, 388, 149, 393, 149, 395, 150, 401, 
80, 150, 371, 150, 379, 149, 387, 150, 393, 149, 394, 150, 400, 
85, 150, 370, 150, 377, 150, 387, 149, 391, 150, 391, 150, 400, 
90, 150, 370, 150, 377, 150, 386, 150, 392, 149, 393, 150, 400, 
95, 150, 370, 150, 377, 150, 385, 149, 391, 149, 393, 150, 400, 
100, 150, 369, 150, 377, 149, 386, 149, 392, 150, 393, 150, 399, 
105, 150, 369, 150, 378, 150, 386, 149, 391, 150, 393, 150, 400, 
110, 149, 368, 150, 377, 149, 386, 150, 391, 149, 393, 150, 399, 
115, 150, 368, 150, 375, 150, 385, 150, 391, 150, 393, 150, 399, 
120, 150, 368, 150, 375, 150, 384, 150, 390, 149, 392, 150, 398, 
125, 150, 367, 150, 376, 150, 384, 150, 391, 150, 394, 150, 398, 
130, 150, 367, 150, 375, 150, 384, 150, 390, 150, 393, 150, 398, 
135, 150, 366, 150, 374, 150, 382, 149, 389, 149, 393, 150, 397, 
140, 150, 366, 150, 374, 150, 383, 150, 389, 149, 393, 149, 398, 
145, 150, 366, 149, 375, 150, 383, 150, 388, 150, 393, 150, 397, 
150, 150, 366, 149, 370, 150, 383, 150, 388, 149, 392, 150, 396, 
155, 150, 366, 150, 374, 150, 382, 149, 388, 150, 394, 150, 396, 
160, 150, 366, 150, 374, 148, 379, 149, 387, 149, 392, 150, 396, 
165, 149, 365, 150, 373, 151, 385, 149, 388, 149, 393, 150, 396, 
170, 149, 365, 150, 372, 150, 381, 150, 388, 149, 393, 150, 395, 
175, 150, 365, 150, 373, 150, 378, 149, 388, 149, 393, 150, 395, 
180, 150, 365, 150, 372, 150, 382, 150, 387, 149, 391, 150, 394, 
185, 150, 364, 150, 373, 150, 379, 149, 387, 150, 391, 150, 393, 
190, 150, 364, 150, 372, 150, 381, 150, 387, 150, 392, 150, 394, 
195, 150, 364, 150, 372, 150, 379, 149, 387, 150, 391, 150, 393, 
200, 149, 363, 150, 371, 150, 381, 149, 387, 150, 392, 150, 392, 
205, 150, 364, 150, 372, 150, 377, 150, 387, 150, 391, 150, 391, 
210, 150, 363, 150, 372, 150, 379, 149, 387, 150, 388, 150, 389, 
215, 150, 364, 150, 371, 149, 377, 149, 386, 150, 387, 150, 389, 
220, 150, 364, 150, 371, 150, 377, 149, 387, 149, 388, 150, 389, 
225, 150, 363, 150, 370, 149, 376, 149, 387, 149, 389, 150, 389, 
230, 150, 364, 150, 370, 150, 378, 150, 387, 149, 387, 149, 388, 
235, 150, 363, 150, 369, 150, 378, 149, 387, 150, 384, 149, 386, 
240, 150, 363, 150, 369, 150, 374, 149, 386, 149, 386, 149, 386, 
245, 150, 363, 150, 368, 149, 377, 149, 386, 149, 384, 150, 386, 
250, 150, 364, 150, 369, 150, 377, 149, 385, 149, 383, 150, 383, 
255, 149, 362, 150, 368, 150, 377, 150, 385, 149, 379, 149, 385, 
260, 150, 363, 150, 367, 150, 376, 149, 385, 150, 381, 150, 383, 
265, 150, 363, 150, 367, 149, 375, 149, 385, 150, 379, 150, 382, 
270, 150, 362, 150, 365, 150, 373, 150, 384, 149, 377, 150, 380, 
275, 150, 362, 150, 365, 150, 375, 149, 383, 150, 376, 150, 380, 
280, 150, 362, 150, 365, 149, 374, 150, 383, 149, 375, 150, 379, 
285, 150, 362, 150, 364, 149, 370, 149, 382, 149, 373, 150, 379, 
290, 150, 361, 150, 364, 150, 373, 150, 382, 150, 371, 149, 379, 
295, 150, 361, 150, 363, 149, 370, 150, 381, 149, 369, 150, 377, 
300, 150, 362, 150, 362, 150, 372, 149, 380, 150, 367, 150, 376, 
305, 150, 361, 150, 362, 149, 367, 149, 379, 150, 363, 150, 374, 
310, 150, 361, 150, 361, 149, 370, 149, 377, 150, 361, 150, 372, 
315, 149, 360, 150, 360, 149, 366, 149, 376, 149, 363, 150, 371, 
320, 150, 360, 150, 360, 150, 366, 150, 375, 149, 362, 150, 370, 
325, 150, 359, 150, 359, 150, 365, 149, 374, 149, 358, 150, 368, 
330, 150, 359, 150, 359, 150, 365, 149, 373, 149, 356, 150, 368, 
