t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 110, 149, 111, 150, 119, 149, 119, 150, 113, 150, 116, 
10, 150, 110, 150, 111, 149, 119, 150, 119, 149, 113, 150, 116, 
15, 150, 111, 150, 110, 150, 118, 150, 118, 150, 113, 150, 116, 
20, 150, 109, 150, 111, 150, 118, 149, 117, 150, 113, 149, 116, 
25, 150, 110, 150, 110, 150, 118, 149, 119, 150, 112, 150, 115, 
30, 150, 110, 150, 111, 150, 118, 150, 119, 150, 113, 150, 116, 
35, 150, 110, 150, 110, 150, 118, 149, 118, 149, 112, 149, 116, 
40, 150, 111, 150, 111, 150, 118, 149, 118, 149, 113, 150, 116, 
45, 150, 111, 150, 110, 149, 118, 150, 119, 150, 113, 150, 115, 
50, 150, 110, 150, 109, 150, 118, 150, 118, 150, 112, 150, 116, 
