t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 431, 150, 420, 150, 427, 149, 425, 149, 430, 150, 436, 
10, 150, 434, 150, 424, 150, 429, 150, 429, 150, 437, 150, 441, 
15, 150, 435, 149, 423, 150, 432, 150, 432, 149, 437, 150, 443, 
20, 150, 436, 149, 426, 149, 432, 150, 433, 149, 438, 150, 445, 
25, 150, 436, 150, 426, 149, 433, 149, 434, 149, 441, 149, 446, 
30, 150, 435, 150, 428, 150, 434, 150, 435, 150, 442, 150, 446, 
35, 149, 436, 150, 427, 150, 437, 149, 436, 150, 442, 150, 445, 
40, 150, 431, 150, 425, 150, 432, 149, 432, 149, 438, 150, 442, 
45, 150, 428, 150, 420, 150, 427, 150, 429, 150, 434, 150, 439, 
50, 150, 421, 150, 416, 150, 424, 150, 423, 149, 426, 150, 433, 
55, 150, 419, 150, 412, 150, 417, 149, 419, 150, 423, 150, 429, 
60, 150, 417, 150, 409, 150, 416, 149, 416, 150, 416, 150, 425, 
65, 149, 415, 150, 409, 149, 416, 149, 415, 149, 417, 150, 425, 
70, 149, 413, 150, 408, 150, 414, 150, 414, 149, 418, 150, 425, 
75, 150, 415, 150, 408, 149, 415, 150, 413, 150, 417, 150, 425, 
80, 150, 414, 150, 408, 150, 412, 149, 412, 149, 416, 150, 424, 
85, 149, 411, 149, 408, 150, 414, 150, 411, 150, 417, 149, 424, 
90, 150, 411, 150, 408, 150, 413, 149, 411, 150, 416, 150, 424, 
95, 150, 412, 150, 407, 149, 411, 149, 410, 150, 416, 150, 424, 
100, 150, 411, 150, 406, 150, 411, 150, 411, 149, 414, 150, 424, 
105, 150, 410, 150, 406, 150, 412, 149, 410, 149, 416, 150, 424, 
110, 149, 410, 150, 406, 150, 410, 150, 410, 150, 418, 149, 423, 
115, 150, 412, 150, 404, 150, 411, 149, 409, 149, 416, 150, 424, 
120, 150, 414, 150, 404, 150, 408, 150, 408, 149, 417, 150, 425, 
125, 151, 417, 149, 404, 149, 409, 149, 408, 149, 417, 149, 424, 
130, 150, 416, 150, 404, 150, 411, 150, 407, 150, 416, 150, 424, 
135, 150, 417, 150, 404, 150, 408, 150, 407, 150, 415, 150, 424, 
140, 150, 417, 150, 404, 149, 411, 149, 407, 149, 414, 150, 423, 
145, 150, 419, 150, 403, 150, 408, 149, 406, 149, 414, 150, 424, 
150, 150, 420, 149, 402, 149, 410, 150, 406, 149, 414, 150, 424, 
155, 150, 420, 150, 403, 149, 407, 150, 406, 150, 415, 150, 423, 
160, 150, 420, 150, 403, 149, 408, 149, 405, 149, 412, 150, 424, 
165, 150, 421, 150, 403, 149, 408, 149, 405, 150, 414, 150, 422, 
170, 150, 421, 150, 402, 150, 406, 149, 405, 149, 415, 150, 422, 
175, 150, 421, 150, 403, 149, 406, 149, 405, 149, 414, 150, 422, 
180, 150, 421, 150, 404, 150, 406, 149, 404, 149, 410, 150, 420, 
185, 150, 421, 150, 403, 150, 407, 150, 404, 150, 413, 150, 420, 
190, 150, 420, 150, 403, 150, 404, 149, 404, 150, 413, 150, 420, 
195, 150, 420, 149, 402, 150, 406, 150, 404, 149, 409, 150, 419, 
200, 150, 420, 150, 403, 150, 404, 149, 403, 150, 412, 150, 418, 
205, 150, 419, 150, 402, 149, 406, 150, 403, 150, 411, 150, 418, 
210, 150, 419, 150, 401, 149, 403, 150, 403, 150, 411, 150, 417, 
215, 150, 418, 150, 400, 150, 404, 150, 404, 150, 409, 150, 415, 
220, 150, 418, 150, 401, 150, 404, 149, 402, 150, 409, 149, 415, 
225, 149, 417, 150, 400, 150, 401, 149, 402, 149, 408, 150, 414, 
230, 150, 418, 150, 399, 149, 403, 149, 401, 149, 405, 150, 413, 
235, 150, 417, 150, 399, 149, 400, 149, 400, 150, 404, 150, 412, 
240, 150, 417, 150, 398, 149, 401, 150, 400, 150, 403, 150, 411, 
245, 150, 416, 150, 398, 150, 400, 150, 400, 150, 403, 149, 409, 
250, 150, 416, 150, 396, 150, 401, 149, 399, 149, 401, 149, 409, 
255, 149, 415, 150, 396, 150, 399, 149, 399, 150, 398, 150, 407, 
260, 150, 415, 149, 395, 149, 399, 149, 397, 149, 394, 150, 407, 
265, 149, 414, 150, 395, 150, 398, 149, 397, 150, 395, 150, 403, 
270, 150, 414, 150, 394, 150, 397, 149, 396, 149, 389, 150, 404, 
275, 150, 413, 150, 393, 150, 399, 150, 396, 150, 392, 149, 402, 
280, 150, 413, 150, 393, 149, 396, 149, 395, 149, 387, 150, 402, 
285, 149, 413, 150, 391, 149, 397, 150, 394, 150, 387, 150, 400, 
290, 150, 412, 149, 392, 150, 395, 149, 394, 150, 385, 150, 399, 
295, 150, 411, 150, 389, 150, 395, 149, 394, 150, 385, 150, 398, 
300, 149, 411, 150, 390, 150, 391, 149, 392, 150, 383, 150, 396, 
305, 150, 411, 150, 389, 150, 390, 149, 391, 150, 381, 150, 395, 
310, 150, 409, 150, 387, 150, 392, 149, 391, 149, 380, 150, 393, 
315, 150, 410, 150, 387, 150, 388, 149, 389, 150, 378, 150, 390, 
320, 150, 409, 150, 387, 149, 389, 149, 388, 149, 373, 150, 389, 
325, 150, 408, 150, 389, 150, 387, 149, 386, 150, 371, 150, 388, 
330, 150, 408, 150, 385, 150, 386, 149, 386, 149, 372, 150, 385, 
