t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 417, 150, 414, 150, 418, 149, 431, 149, 420, 150, 425, 
10, 150, 420, 149, 417, 150, 424, 150, 436, 150, 423, 150, 429, 
15, 150, 423, 150, 420, 149, 425, 149, 439, 149, 427, 150, 432, 
20, 150, 425, 149, 422, 150, 430, 150, 440, 149, 427, 150, 434, 
25, 150, 426, 150, 422, 150, 427, 149, 442, 150, 429, 150, 435, 
30, 150, 426, 150, 423, 150, 429, 150, 443, 149, 429, 150, 435, 
35, 150, 423, 150, 421, 150, 428, 149, 439, 150, 427, 150, 433, 
40, 150, 422, 149, 420, 150, 425, 149, 440, 150, 426, 150, 432, 
45, 149, 421, 150, 419, 150, 425, 149, 436, 150, 422, 149, 428, 
50, 149, 419, 150, 417, 149, 422, 150, 435, 150, 421, 150, 429, 
55, 150, 418, 150, 416, 149, 422, 150, 434, 149, 419, 150, 426, 
60, 150, 418, 150, 416, 150, 420, 149, 434, 149, 418, 150, 425, 
65, 149, 417, 150, 414, 150, 420, 149, 433, 150, 418, 149, 425, 
70, 150, 416, 149, 414, 150, 420, 150, 433, 150, 417, 149, 424, 
75, 149, 413, 150, 415, 150, 416, 150, 432, 150, 416, 150, 426, 
80, 150, 415, 150, 415, 150, 418, 150, 431, 149, 415, 150, 427, 
85, 150, 414, 149, 414, 150, 417, 149, 430, 150, 415, 149, 427, 
90, 149, 413, 150, 415, 150, 417, 150, 430, 150, 415, 150, 426, 
95, 150, 412, 150, 413, 150, 415, 150, 429, 149, 414, 150, 426, 
100, 150, 411, 150, 414, 149, 414, 149, 429, 149, 413, 150, 425, 
105, 150, 412, 150, 412, 150, 413, 149, 427, 149, 414, 150, 425, 
110, 149, 410, 150, 413, 150, 415, 150, 427, 150, 414, 150, 424, 
115, 150, 410, 150, 411, 150, 414, 150, 427, 149, 413, 150, 423, 
120, 150, 410, 150, 410, 150, 412, 150, 427, 149, 414, 150, 423, 
125, 150, 410, 150, 410, 149, 411, 149, 426, 150, 413, 150, 421, 
130, 150, 409, 150, 408, 150, 412, 150, 427, 150, 413, 150, 421, 
135, 150, 409, 150, 408, 150, 409, 150, 427, 150, 414, 149, 421, 
140, 150, 409, 150, 407, 150, 413, 150, 427, 149, 411, 150, 419, 
145, 150, 409, 149, 406, 150, 411, 149, 427, 149, 410, 150, 418, 
150, 150, 408, 150, 407, 150, 411, 150, 428, 149, 410, 149, 416, 
155, 150, 408, 150, 407, 150, 411, 150, 427, 150, 409, 149, 415, 
160, 150, 407, 150, 406, 150, 412, 150, 427, 149, 407, 150, 416, 
165, 150, 407, 149, 406, 150, 411, 149, 426, 149, 406, 149, 415, 
170, 150, 406, 150, 406, 150, 414, 149, 425, 150, 405, 150, 415, 
175, 150, 406, 150, 406, 150, 409, 149, 425, 150, 404, 150, 414, 
180, 150, 405, 150, 406, 150, 411, 150, 423, 150, 404, 150, 412, 
185, 150, 405, 150, 405, 150, 412, 149, 423, 150, 402, 149, 413, 
190, 150, 404, 149, 406, 150, 411, 149, 421, 150, 403, 150, 413, 
195, 150, 404, 150, 405, 150, 411, 150, 421, 150, 401, 150, 413, 
200, 150, 403, 150, 405, 150, 412, 149, 420, 149, 400, 150, 413, 
205, 150, 403, 150, 405, 150, 410, 149, 419, 150, 400, 150, 413, 
210, 150, 401, 150, 405, 150, 409, 149, 417, 149, 399, 150, 412, 
215, 150, 401, 149, 405, 150, 409, 150, 417, 150, 398, 150, 411, 
220, 150, 400, 150, 405, 150, 409, 150, 415, 149, 397, 149, 412, 
225, 150, 400, 150, 406, 149, 407, 150, 414, 149, 395, 150, 410, 
230, 150, 398, 150, 405, 150, 408, 150, 414, 149, 394, 150, 410, 
235, 150, 398, 150, 404, 149, 407, 149, 412, 149, 394, 150, 409, 
240, 150, 398, 150, 405, 150, 406, 150, 411, 149, 393, 150, 409, 
245, 150, 397, 150, 404, 150, 409, 150, 411, 150, 392, 150, 407, 
250, 150, 396, 150, 404, 150, 410, 149, 409, 149, 392, 150, 407, 
255, 150, 396, 150, 404, 150, 408, 149, 408, 150, 390, 150, 408, 
260, 150, 395, 150, 404, 150, 408, 150, 407, 150, 389, 150, 407, 
265, 150, 394, 150, 403, 150, 406, 150, 406, 149, 389, 150, 406, 
270, 150, 394, 150, 403, 150, 407, 150, 404, 150, 387, 150, 406, 
275, 150, 393, 150, 402, 149, 404, 150, 403, 149, 386, 150, 406, 
280, 150, 392, 149, 402, 150, 405, 149, 402, 150, 385, 150, 405, 
285, 150, 391, 149, 402, 150, 404, 149, 400, 150, 384, 150, 405, 
290, 150, 391, 150, 401, 150, 404, 150, 399, 149, 382, 150, 404, 
295, 150, 389, 150, 401, 149, 404, 149, 398, 150, 382, 150, 402, 
300, 150, 389, 150, 400, 149, 399, 149, 397, 150, 381, 150, 402, 
305, 150, 388, 150, 401, 149, 400, 150, 396, 149, 379, 150, 401, 
310, 150, 387, 150, 399, 150, 400, 150, 395, 150, 378, 149, 400, 
315, 149, 386, 150, 399, 150, 402, 150, 395, 149, 377, 150, 400, 
320, 150, 385, 149, 399, 150, 400, 150, 393, 150, 377, 150, 399, 
325, 150, 384, 150, 398, 150, 398, 149, 392, 149, 375, 150, 398, 
330, 150, 383, 149, 397, 150, 398, 149, 392, 150, 374, 150, 396, 
