t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 405, 149, 394, 150, 406, 150, 379, 149, 405, 150, 410, 
10, 149, 408, 150, 399, 150, 411, 149, 376, 150, 408, 150, 415, 
15, 150, 410, 150, 400, 150, 413, 149, 378, 149, 415, 150, 416, 
20, 150, 410, 150, 402, 150, 414, 149, 380, 149, 414, 150, 417, 
25, 150, 411, 150, 403, 150, 417, 149, 380, 150, 419, 150, 419, 
30, 150, 411, 150, 403, 150, 416, 150, 382, 150, 414, 150, 420, 
35, 151, 414, 149, 404, 150, 417, 149, 381, 150, 416, 149, 420, 
40, 149, 409, 150, 403, 150, 416, 150, 382, 149, 414, 150, 421, 
45, 150, 407, 150, 402, 149, 415, 150, 386, 150, 415, 150, 419, 
50, 150, 407, 150, 401, 150, 415, 149, 384, 150, 420, 149, 418, 
55, 150, 407, 150, 403, 149, 415, 149, 383, 150, 414, 150, 417, 
60, 150, 407, 149, 400, 150, 414, 149, 383, 150, 412, 150, 418, 
65, 150, 406, 150, 403, 150, 414, 149, 383, 150, 414, 149, 418, 
70, 150, 408, 150, 402, 150, 414, 150, 385, 150, 416, 150, 419, 
75, 150, 410, 150, 403, 150, 414, 149, 384, 150, 410, 150, 417, 
80, 150, 410, 150, 402, 150, 413, 150, 383, 150, 408, 150, 416, 
85, 150, 409, 150, 402, 149, 413, 149, 383, 150, 408, 150, 416, 
90, 150, 409, 149, 401, 150, 412, 149, 382, 149, 411, 150, 416, 
95, 150, 409, 149, 402, 150, 412, 150, 380, 149, 406, 150, 415, 
100, 150, 409, 149, 402, 150, 412, 149, 380, 149, 409, 150, 416, 
105, 150, 407, 150, 402, 150, 411, 149, 378, 150, 405, 150, 414, 
110, 150, 407, 150, 401, 150, 413, 150, 378, 149, 409, 149, 414, 
115, 150, 407, 150, 402, 149, 409, 149, 377, 150, 409, 150, 413, 
120, 150, 407, 150, 401, 150, 410, 150, 377, 149, 406, 149, 413, 
125, 150, 406, 150, 403, 150, 409, 149, 376, 150, 404, 149, 414, 
130, 150, 406, 150, 402, 150, 410, 149, 376, 149, 408, 150, 414, 
135, 150, 406, 150, 402, 149, 409, 150, 375, 150, 409, 149, 414, 
140, 150, 406, 149, 401, 149, 409, 149, 375, 150, 408, 149, 414, 
145, 150, 407, 150, 402, 150, 409, 149, 375, 150, 407, 150, 415, 
150, 149, 405, 149, 402, 150, 409, 150, 374, 150, 409, 150, 414, 
155, 150, 407, 150, 403, 149, 408, 150, 374, 150, 409, 149, 414, 
160, 150, 407, 150, 402, 150, 408, 149, 374, 149, 408, 150, 413, 
165, 150, 407, 150, 403, 150, 408, 150, 373, 150, 406, 149, 413, 
170, 150, 408, 150, 402, 150, 409, 150, 372, 149, 411, 150, 412, 
175, 150, 408, 150, 402, 150, 408, 150, 371, 149, 406, 150, 411, 
180, 150, 406, 150, 401, 150, 408, 149, 370, 150, 405, 150, 410, 
185, 150, 405, 150, 400, 150, 406, 150, 369, 149, 406, 149, 409, 
190, 149, 404, 150, 399, 150, 406, 149, 368, 150, 405, 150, 408, 
195, 150, 404, 150, 399, 149, 406, 149, 365, 149, 404, 150, 407, 
200, 150, 405, 150, 398, 150, 406, 149, 365, 149, 405, 149, 406, 
205, 149, 402, 150, 397, 150, 404, 149, 362, 149, 406, 150, 404, 
210, 150, 402, 150, 397, 150, 405, 150, 361, 150, 407, 150, 403, 
215, 150, 401, 150, 395, 150, 404, 150, 360, 150, 402, 150, 402, 
220, 150, 401, 150, 394, 149, 403, 150, 358, 149, 405, 150, 401, 
225, 150, 400, 150, 394, 150, 403, 150, 357, 149, 398, 150, 401, 
230, 150, 401, 150, 394, 149, 403, 149, 356, 150, 404, 150, 400, 
235, 150, 400, 150, 392, 150, 402, 150, 355, 150, 399, 150, 399, 
240, 150, 400, 150, 392, 150, 404, 149, 355, 149, 401, 150, 399, 
245, 149, 400, 150, 392, 150, 402, 149, 352, 149, 400, 149, 398, 
250, 150, 399, 150, 391, 150, 402, 150, 352, 149, 395, 150, 398, 
255, 150, 400, 150, 392, 150, 401, 149, 352, 150, 399, 150, 397, 
260, 150, 400, 150, 390, 150, 401, 149, 350, 149, 394, 149, 396, 
265, 150, 399, 150, 391, 150, 400, 150, 350, 150, 392, 150, 395, 
270, 149, 398, 150, 391, 150, 400, 150, 348, 150, 389, 150, 395, 
275, 150, 399, 150, 391, 150, 400, 149, 349, 149, 389, 150, 394, 
280, 150, 398, 150, 391, 150, 399, 149, 348, 149, 388, 150, 393, 
285, 150, 398, 150, 391, 149, 399, 149, 347, 149, 386, 150, 393, 
290, 150, 398, 150, 392, 150, 398, 149, 346, 150, 387, 150, 393, 
295, 150, 397, 150, 391, 150, 398, 149, 344, 150, 383, 150, 392, 
300, 150, 395, 150, 392, 149, 398, 149, 344, 150, 382, 150, 391, 
305, 150, 395, 150, 390, 150, 397, 150, 344, 150, 381, 149, 391, 
310, 150, 396, 150, 392, 149, 395, 150, 343, 149, 382, 150, 390, 
315, 150, 395, 150, 391, 150, 394, 150, 342, 149, 379, 150, 390, 
320, 150, 393, 150, 391, 149, 394, 150, 341, 150, 375, 150, 389, 
325, 150, 393, 150, 391, 150, 393, 150, 342, 150, 374, 149, 389, 
330, 149, 391, 149, 391, 149, 391, 150, 340, 150, 375, 150, 388, 
