t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 450, 150, 438, 150, 454, 149, 451, 150, 447, 150, 439, 
10, 150, 455, 150, 442, 149, 458, 149, 454, 150, 451, 149, 445, 
15, 150, 456, 149, 444, 150, 461, 150, 459, 150, 454, 150, 450, 
20, 150, 458, 150, 445, 150, 463, 150, 460, 149, 456, 150, 453, 
25, 149, 458, 150, 446, 150, 464, 150, 461, 150, 457, 150, 454, 
30, 150, 459, 150, 448, 150, 464, 149, 461, 149, 457, 150, 455, 
35, 149, 460, 150, 449, 149, 464, 149, 461, 149, 457, 150, 453, 
40, 149, 460, 150, 448, 150, 464, 149, 460, 150, 456, 150, 450, 
45, 149, 449, 150, 442, 150, 460, 150, 456, 150, 453, 150, 449, 
50, 150, 445, 150, 439, 150, 458, 150, 454, 149, 453, 150, 446, 
55, 150, 442, 150, 437, 150, 456, 149, 452, 149, 450, 150, 444, 
60, 150, 442, 150, 436, 150, 454, 149, 450, 150, 448, 149, 443, 
65, 150, 440, 150, 436, 150, 453, 149, 451, 150, 448, 150, 442, 
70, 149, 440, 150, 436, 150, 453, 149, 449, 150, 446, 150, 442, 
75, 150, 440, 150, 435, 150, 452, 149, 448, 150, 446, 149, 440, 
80, 150, 438, 150, 435, 149, 450, 150, 448, 150, 444, 150, 441, 
85, 150, 439, 150, 434, 150, 450, 149, 447, 150, 442, 150, 440, 
90, 150, 438, 150, 434, 150, 450, 150, 447, 150, 441, 150, 440, 
95, 150, 439, 150, 434, 150, 449, 150, 446, 149, 442, 150, 440, 
100, 150, 438, 150, 433, 150, 449, 150, 444, 150, 441, 150, 439, 
105, 150, 438, 149, 434, 149, 448, 149, 443, 150, 441, 150, 440, 
110, 150, 438, 150, 434, 150, 448, 150, 442, 150, 441, 150, 439, 
115, 149, 438, 150, 434, 149, 447, 149, 443, 149, 442, 150, 440, 
120, 150, 441, 150, 433, 150, 448, 150, 441, 149, 443, 150, 439, 
125, 150, 441, 150, 434, 150, 448, 150, 442, 150, 443, 149, 438, 
130, 150, 442, 149, 434, 150, 447, 150, 441, 150, 445, 149, 438, 
135, 150, 444, 150, 434, 150, 448, 149, 440, 149, 444, 150, 436, 
140, 150, 446, 150, 434, 150, 448, 150, 440, 149, 444, 150, 436, 
145, 150, 446, 150, 434, 150, 448, 149, 440, 149, 443, 150, 435, 
150, 150, 448, 150, 434, 150, 448, 150, 440, 150, 443, 150, 435, 
155, 150, 446, 150, 433, 150, 450, 149, 440, 149, 444, 149, 435, 
160, 149, 446, 150, 432, 150, 449, 150, 440, 150, 444, 150, 434, 
165, 150, 448, 150, 433, 150, 449, 150, 441, 150, 444, 150, 433, 
170, 150, 447, 150, 432, 150, 449, 150, 441, 150, 443, 150, 433, 
175, 150, 448, 150, 432, 150, 450, 149, 441, 150, 445, 149, 433, 
180, 150, 446, 150, 432, 150, 449, 150, 443, 149, 445, 149, 434, 
185, 150, 447, 150, 432, 150, 449, 149, 443, 150, 444, 150, 434, 
190, 150, 446, 150, 433, 150, 450, 150, 444, 150, 443, 149, 434, 
195, 150, 445, 150, 432, 150, 449, 150, 442, 150, 445, 150, 434, 
200, 150, 446, 150, 432, 150, 450, 150, 445, 150, 444, 150, 434, 
205, 150, 444, 150, 431, 149, 449, 149, 444, 149, 443, 150, 432, 
210, 150, 445, 150, 431, 150, 449, 149, 445, 149, 443, 150, 434, 
215, 150, 445, 150, 431, 149, 449, 150, 444, 149, 442, 150, 433, 
220, 150, 444, 150, 431, 150, 450, 149, 444, 149, 442, 150, 433, 
225, 150, 444, 150, 431, 150, 449, 150, 445, 149, 441, 150, 432, 
230, 150, 444, 150, 430, 150, 449, 150, 444, 150, 441, 150, 433, 
235, 149, 443, 150, 430, 150, 449, 149, 445, 149, 440, 150, 432, 
240, 150, 444, 151, 433, 150, 448, 150, 444, 149, 439, 149, 430, 
245, 150, 443, 150, 429, 150, 448, 150, 443, 150, 437, 150, 430, 
250, 150, 442, 149, 429, 150, 448, 150, 442, 149, 436, 150, 429, 
255, 150, 442, 150, 429, 149, 448, 150, 441, 149, 434, 150, 428, 
260, 150, 441, 150, 429, 149, 447, 149, 441, 150, 434, 150, 428, 
265, 150, 442, 149, 428, 149, 447, 149, 441, 150, 432, 149, 427, 
270, 150, 442, 150, 429, 150, 446, 150, 440, 150, 431, 150, 424, 
275, 150, 440, 150, 429, 150, 446, 150, 439, 150, 429, 150, 425, 
280, 150, 439, 150, 428, 150, 446, 150, 439, 150, 427, 150, 424, 
285, 149, 440, 150, 428, 150, 445, 149, 438, 150, 425, 150, 423, 
290, 150, 440, 149, 428, 150, 446, 149, 438, 150, 424, 150, 422, 
295, 150, 439, 148, 424, 150, 445, 150, 436, 150, 423, 150, 419, 
300, 150, 440, 150, 427, 150, 444, 149, 435, 150, 421, 150, 417, 
305, 150, 439, 150, 428, 150, 444, 149, 435, 150, 418, 150, 415, 
310, 150, 438, 150, 427, 150, 444, 150, 434, 150, 418, 150, 414, 
315, 150, 438, 150, 428, 150, 446, 149, 433, 150, 417, 150, 413, 
320, 149, 439, 150, 427, 149, 443, 149, 432, 149, 414, 149, 410, 
325, 150, 438, 150, 427, 149, 443, 150, 430, 150, 413, 150, 409, 
330, 149, 436, 149, 427, 149, 442, 150, 429, 149, 411, 150, 408, 
