t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 420, 150, -1, 149, 418, 150, 430, 149, 436, 149, 442, 
10, 150, 421, 150, -1, 150, 425, 150, 433, 149, 441, 150, 446, 
15, 149, 422, 150, -1, 150, 426, 149, 435, 150, 443, 150, 450, 
20, 150, 423, 149, 0, 149, 425, 150, 437, 149, 445, 150, 451, 
25, 150, 422, 149, -1, 149, 427, 149, 437, 150, 447, 149, 451, 
30, 150, 422, 150, -1, 150, 425, 150, 438, 150, 447, 149, 452, 
35, 150, 423, 149, 0, 150, 427, 149, 437, 150, 446, 149, 451, 
40, 150, 419, 149, -1, 150, 423, 150, 435, 149, 440, 150, 447, 
45, 150, 419, 150, -1, 149, 422, 150, 432, 149, 439, 150, 446, 
50, 149, 417, 149, -1, 150, 419, 150, 430, 150, 437, 150, 446, 
55, 149, 417, 149, -1, 150, 418, 150, 430, 150, 436, 149, 444, 
60, 150, 414, 150, -1, 150, 417, 149, 426, 150, 432, 150, 441, 
65, 150, 412, 150, -1, 150, 414, 149, 425, 150, 430, 149, 440, 
70, 150, 410, 150, -1, 150, 413, 149, 424, 150, 428, 149, 440, 
75, 150, 409, 149, -1, 150, 413, 149, 421, 150, 427, 150, 438, 
80, 150, 408, 149, -1, 149, 410, 149, 422, 150, 425, 150, 438, 
85, 150, 407, 150, -1, 150, 407, 150, 422, 150, 424, 150, 437, 
90, 150, 406, 150, 0, 149, 407, 150, 421, 149, 424, 150, 437, 
95, 150, 405, 150, -1, 150, 407, 149, 421, 149, 424, 150, 437, 
100, 150, 404, 149, -1, 149, 408, 149, 421, 149, 423, 150, 435, 
105, 150, 403, 150, 0, 149, 407, 150, 420, 150, 423, 150, 435, 
110, 150, 403, 150, -1, 150, 408, 149, 419, 150, 423, 149, 434, 
115, 150, 402, 150, -1, 150, 406, 150, 419, 149, 424, 150, 433, 
120, 150, 401, 149, -1, 150, 406, 150, 419, 150, 424, 150, 433, 
125, 149, 401, 150, -1, 150, 407, 149, 418, 149, 425, 150, 431, 
130, 150, 400, 149, -1, 149, 404, 149, 417, 150, 424, 149, 432, 
135, 150, 400, 150, 0, 150, 406, 150, 417, 150, 424, 150, 430, 
140, 150, 400, 149, -1, 150, 405, 149, 417, 149, 423, 150, 431, 
145, 150, 399, 149, -1, 149, 405, 150, 417, 150, 424, 150, 431, 
150, 149, 399, 150, -1, 150, 407, 150, 417, 149, 424, 150, 429, 
155, 149, 399, 150, -1, 150, 408, 150, 417, 149, 423, 149, 429, 
160, 150, 398, 150, -1, 150, 406, 150, 416, 150, 423, 150, 430, 
165, 150, 398, 150, -1, 150, 407, 150, 416, 150, 423, 149, 429, 
170, 150, 399, 150, -1, 150, 405, 150, 416, 149, 422, 149, 428, 
175, 149, 398, 149, -1, 150, 406, 149, 415, 149, 422, 150, 428, 
180, 150, 398, 150, -1, 150, 406, 149, 414, 149, 421, 150, 428, 
185, 150, 398, 150, -1, 150, 406, 149, 413, 149, 420, 150, 429, 
190, 150, 398, 149, -1, 150, 406, 150, 413, 150, 419, 149, 429, 
195, 150, 398, 149, -1, 150, 404, 150, 412, 149, 419, 150, 427, 
200, 150, 397, 149, -1, 149, 406, 150, 411, 150, 417, 150, 427, 
205, 150, 397, 149, -1, 150, 406, 149, 409, 149, 416, 150, 427, 
210, 150, 397, 149, -1, 150, 405, 150, 408, 150, 415, 150, 426, 
215, 150, 397, 150, -1, 150, 405, 150, 407, 150, 414, 149, 426, 
220, 150, 396, 150, -1, 150, 404, 150, 406, 150, 412, 150, 426, 
225, 150, 396, 150, -1, 150, 403, 149, 404, 149, 410, 150, 423, 
230, 149, 395, 150, -1, 150, 404, 150, 403, 149, 409, 149, 423, 
235, 149, 395, 149, -1, 150, 403, 150, 401, 150, 408, 150, 422, 
240, 150, 394, 150, -1, 149, 401, 149, 399, 149, 405, 150, 422, 
245, 150, 394, 150, -1, 150, 402, 150, 398, 149, 404, 149, 420, 
250, 150, 394, 149, -1, 149, 403, 150, 396, 150, 402, 150, 419, 
255, 149, 393, 150, -1, 150, 402, 149, 394, 149, 400, 150, 418, 
260, 150, 393, 149, -1, 150, 402, 150, 393, 149, 398, 150, 416, 
265, 150, 392, 150, -1, 150, 403, 149, 391, 150, 396, 150, 415, 
270, 150, 392, 150, -1, 149, 402, 150, 390, 150, 394, 150, 413, 
275, 150, 392, 149, -1, 150, 402, 150, 388, 150, 392, 150, 410, 
280, 149, 391, 150, -1, 150, 402, 149, 386, 149, 391, 150, 409, 
285, 150, 390, 150, -1, 149, 400, 150, 385, 150, 389, 149, 407, 
290, 149, 390, 149, -2, 150, 401, 150, 383, 149, 387, 150, 406, 
295, 150, 389, 149, -1, 150, 400, 149, 381, 149, 385, 150, 404, 
300, 150, 388, 150, -1, 149, 400, 150, 380, 150, 383, 150, 401, 
305, 150, 387, 150, -1, 150, 399, 150, 378, 149, 381, 150, 400, 
310, 150, 387, 149, -1, 150, 400, 149, 376, 150, 379, 150, 399, 
315, 150, 386, 149, -1, 150, 400, 150, 375, 149, 377, 150, 397, 
320, 150, 385, 150, -1, 150, 398, 149, 373, 149, 376, 149, 395, 
325, 150, 385, 150, -1, 149, 399, 149, 372, 149, 373, 149, 392, 
330, 150, 384, 150, -1, 149, 398, 149, 371, 150, 372, 150, 391, 
