t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 416, 150, 407, 150, 421, 150, 428, 150, 428, 150, 429, 
10, 150, 420, 149, 411, 150, 424, 150, 432, 149, 433, 150, 435, 
15, 150, 420, 150, 413, 150, 426, 149, 434, 150, 435, 150, 437, 
20, 150, 420, 150, 414, 150, 428, 150, 436, 150, 436, 150, 437, 
25, 150, 421, 150, 414, 150, 429, 150, 437, 150, 439, 150, 440, 
30, 150, 421, 150, 416, 150, 429, 150, 437, 150, 440, 150, 439, 
35, 150, 421, 150, 415, 149, 429, 150, 438, 150, 440, 149, 439, 
40, 150, 418, 150, 413, 149, 427, 149, 435, 150, 438, 150, 436, 
45, 150, 416, 150, 409, 150, 424, 149, 433, 149, 433, 150, 433, 
50, 150, 412, 150, 406, 150, 420, 149, 428, 149, 430, 149, 428, 
55, 150, 410, 150, 402, 149, 417, 150, 425, 150, 426, 149, 425, 
60, 150, 409, 150, 401, 150, 416, 150, 424, 150, 424, 150, 424, 
65, 150, 408, 150, 401, 150, 416, 149, 423, 150, 424, 149, 425, 
70, 150, 407, 150, 400, 150, 416, 149, 422, 149, 423, 150, 424, 
75, 150, 405, 149, 400, 150, 415, 149, 421, 149, 422, 150, 423, 
80, 150, 407, 150, 400, 150, 413, 150, 421, 150, 422, 150, 423, 
85, 150, 406, 150, 399, 149, 412, 150, 420, 150, 421, 150, 424, 
90, 150, 405, 150, 399, 150, 411, 149, 419, 150, 421, 149, 423, 
95, 150, 405, 150, 399, 150, 411, 149, 419, 150, 421, 150, 422, 
100, 150, 404, 149, 398, 150, 411, 149, 419, 150, 422, 150, 421, 
105, 150, 403, 150, 398, 149, 410, 149, 420, 149, 421, 150, 420, 
110, 150, 404, 150, 399, 149, 410, 149, 419, 149, 421, 149, 420, 
115, 150, 404, 150, 398, 150, 409, 150, 419, 149, 421, 150, 420, 
120, 150, 402, 150, 397, 150, 409, 150, 418, 149, 420, 150, 419, 
125, 150, 402, 150, 396, 150, 409, 149, 418, 150, 421, 150, 418, 
130, 150, 402, 150, 396, 150, 409, 150, 418, 150, 421, 150, 419, 
135, 150, 402, 149, 396, 150, 409, 149, 417, 150, 421, 149, 418, 
140, 150, 403, 150, 396, 149, 408, 149, 416, 149, 422, 149, 418, 
145, 150, 402, 150, 396, 150, 408, 150, 416, 149, 421, 149, 419, 
150, 150, 400, 150, 396, 149, 408, 150, 415, 149, 422, 150, 417, 
155, 150, 400, 149, 396, 150, 407, 150, 415, 150, 421, 149, 418, 
160, 150, 401, 150, 396, 150, 407, 149, 414, 150, 422, 150, 417, 
165, 150, 400, 150, 396, 150, 407, 150, 414, 149, 422, 149, 417, 
170, 150, 399, 150, 395, 150, 408, 149, 413, 150, 421, 150, 416, 
175, 150, 400, 150, 395, 150, 407, 150, 413, 150, 421, 150, 416, 
180, 150, 398, 150, 396, 150, 407, 150, 413, 150, 421, 149, 416, 
185, 150, 400, 150, 395, 150, 407, 149, 412, 149, 420, 149, 414, 
190, 150, 400, 150, 395, 150, 406, 150, 411, 150, 420, 150, 413, 
195, 150, 398, 150, 394, 149, 406, 149, 411, 150, 419, 150, 413, 
200, 150, 399, 150, 394, 149, 406, 149, 410, 150, 418, 150, 412, 
205, 150, 398, 150, 394, 150, 406, 149, 409, 150, 418, 150, 411, 
210, 150, 400, 150, 394, 150, 406, 149, 409, 150, 418, 150, 411, 
215, 150, 399, 150, 394, 149, 405, 149, 408, 150, 417, 149, 409, 
220, 150, 399, 150, 393, 150, 405, 149, 406, 150, 416, 150, 408, 
225, 150, 400, 150, 392, 150, 407, 150, 407, 150, 415, 150, 408, 
230, 150, 399, 150, 392, 149, 404, 150, 406, 149, 414, 150, 407, 
235, 150, 399, 149, 391, 149, 404, 150, 406, 149, 413, 150, 406, 
240, 150, 399, 150, 391, 149, 404, 150, 405, 150, 411, 150, 406, 
245, 150, 399, 150, 390, 150, 404, 150, 404, 149, 411, 149, 403, 
250, 150, 398, 149, 389, 150, 405, 150, 403, 149, 410, 150, 402, 
255, 150, 399, 150, 389, 150, 402, 150, 401, 149, 409, 149, 401, 
260, 150, 399, 150, 388, 150, 403, 149, 399, 150, 408, 150, 400, 
265, 150, 398, 150, 387, 150, 402, 149, 398, 150, 405, 150, 399, 
270, 150, 397, 149, 387, 150, 402, 149, 396, 150, 405, 150, 398, 
275, 150, 398, 150, 386, 150, 401, 149, 396, 150, 403, 149, 395, 
280, 150, 398, 150, 385, 149, 400, 149, 394, 150, 401, 150, 395, 
285, 150, 396, 150, 385, 150, 400, 149, 393, 150, 400, 149, 393, 
290, 150, 396, 150, 382, 150, 399, 150, 391, 149, 399, 149, 391, 
295, 150, 396, 150, 382, 150, 399, 150, 391, 149, 396, 150, 390, 
300, 150, 396, 150, 382, 150, 398, 149, 389, 149, 395, 150, 387, 
305, 149, 395, 150, 380, 150, 397, 150, 388, 150, 392, 150, 385, 
310, 150, 395, 150, 379, 150, 397, 149, 386, 150, 391, 150, 383, 
315, 149, 392, 150, 378, 149, 396, 149, 385, 150, 389, 150, 382, 
320, 150, 394, 149, 377, 150, 395, 149, 384, 149, 387, 150, 379, 
325, 150, 393, 150, 376, 150, 394, 149, 383, 150, 385, 150, 378, 
330, 150, 393, 150, 375, 150, 394, 150, 381, 150, 383, 149, 376, 
