t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 452, 150, 446, 149, 456, 149, 455, 150, 466, 150, 463, 
10, 150, 455, 150, 450, 150, 461, 149, 461, 150, 472, 149, 467, 
15, 150, 456, 149, 451, 150, 463, 149, 464, 149, 477, 150, 471, 
20, 150, 457, 150, 453, 150, 466, 149, 466, 149, 477, 150, 473, 
25, 150, 458, 150, 457, 150, 467, 150, 467, 150, 480, 150, 475, 
30, 150, 458, 150, 456, 149, 469, 149, 468, 150, 481, 150, 475, 
35, 150, 457, 149, 455, 150, 466, 149, 469, 150, 481, 150, 474, 
40, 150, 455, 150, 454, 150, 467, 149, 468, 150, 480, 150, 474, 
45, 150, 454, 150, 451, 149, 464, 150, 466, 149, 477, 150, 472, 
50, 150, 453, 150, 450, 150, 463, 150, 466, 149, 477, 150, 472, 
55, 150, 455, 150, 450, 150, 463, 150, 466, 150, 478, 150, 474, 
60, 150, 454, 150, 452, 149, 462, 149, 468, 149, 478, 150, 473, 
65, 150, 453, 150, 451, 150, 464, 150, 467, 150, 478, 149, 474, 
70, 150, 452, 150, 451, 150, 464, 149, 468, 150, 478, 150, 474, 
75, 150, 451, 150, 452, 149, 463, 149, 467, 150, 478, 150, 477, 
80, 150, 451, 150, 452, 150, 463, 149, 467, 149, 476, 150, 476, 
85, 149, 450, 150, 452, 149, 461, 149, 467, 150, 474, 150, 480, 
90, 150, 450, 150, 452, 148, 457, 149, 466, 150, 476, 150, 480, 
95, 150, 451, 150, 451, 150, 461, 149, 466, 150, 476, 150, 483, 
100, 150, 451, 150, 452, 150, 462, 149, 467, 150, 476, 150, 487, 
105, 150, 452, 150, 452, 150, 461, 150, 468, 150, 478, 150, 489, 
110, 150, 452, 150, 451, 150, 464, 149, 468, 150, 478, 150, 490, 
115, 150, 452, 150, 452, 148, 459, 149, 470, 150, 479, 150, 490, 
120, 149, 452, 150, 454, 150, 464, 149, 469, 149, 480, 149, 489, 
125, 150, 452, 150, 453, 149, 466, 150, 469, 150, 479, 150, 490, 
130, 150, 453, 150, 455, 150, 466, 150, 469, 150, 479, 150, 488, 
135, 149, 452, 150, 454, 150, 467, 149, 469, 150, 479, 150, 488, 
140, 150, 453, 150, 453, 149, 468, 150, 468, 150, 479, 150, 488, 
145, 150, 453, 150, 454, 149, 466, 149, 468, 149, 478, 150, 487, 
150, 150, 453, 150, 454, 150, 469, 150, 467, 149, 477, 150, 486, 
155, 150, 452, 149, 451, 150, 467, 149, 466, 150, 477, 150, 485, 
160, 150, 452, 150, 453, 150, 469, 149, 465, 150, 475, 150, 485, 
165, 150, 451, 151, 460, 149, 465, 149, 463, 149, 475, 150, 484, 
170, 150, 451, 150, 453, 149, 466, 150, 463, 149, 474, 150, 482, 
175, 150, 449, 150, 453, 149, 467, 149, 462, 149, 472, 149, 481, 
180, 150, 449, 150, 451, 149, 466, 149, 461, 149, 471, 149, 481, 
185, 150, 448, 150, 452, 149, 466, 150, 460, 149, 467, 150, 480, 
190, 150, 447, 150, 451, 150, 467, 149, 458, 150, 467, 150, 477, 
195, 150, 446, 150, 449, 149, 468, 149, 456, 149, 465, 150, 476, 
200, 150, 445, 150, 449, 150, 465, 150, 454, 150, 463, 149, 474, 
205, 150, 444, 150, 448, 150, 465, 150, 452, 150, 462, 150, 472, 
210, 150, 444, 150, 448, 150, 466, 150, 451, 149, 460, 149, 471, 
215, 150, 443, 150, 447, 150, 463, 150, 448, 149, 459, 149, 469, 
220, 150, 442, 149, 447, 149, 465, 150, 446, 150, 457, 149, 467, 
225, 150, 441, 150, 446, 150, 464, 150, 444, 150, 456, 150, 464, 
230, 150, 440, 150, 446, 149, 463, 150, 441, 150, 454, 150, 462, 
235, 149, 439, 150, 444, 150, 464, 149, 439, 150, 451, 150, 460, 
240, 150, 438, 150, 443, 149, 462, 150, 437, 149, 448, 150, 457, 
245, 150, 436, 150, 443, 149, 463, 150, 435, 150, 447, 150, 455, 
250, 150, 436, 150, 443, 150, 463, 150, 432, 150, 445, 150, 454, 
255, 150, 434, 149, 441, 150, 461, 149, 430, 150, 444, 150, 452, 
260, 150, 433, 150, 441, 150, 462, 149, 427, 150, 441, 150, 450, 
265, 150, 432, 150, 439, 150, 460, 149, 426, 150, 439, 149, 448, 
270, 150, 431, 149, 438, 150, 460, 150, 424, 149, 437, 150, 446, 
275, 150, 430, 150, 438, 150, 459, 149, 421, 149, 434, 150, 443, 
280, 149, 428, 150, 438, 149, 458, 149, 419, 149, 433, 149, 441, 
285, 150, 428, 148, 430, 150, 458, 149, 417, 150, 431, 150, 438, 
290, 150, 426, 150, 435, 150, 456, 149, 415, 150, 429, 149, 437, 
295, 150, 425, 150, 434, 149, 455, 150, 413, 149, 426, 149, 434, 
300, 150, 424, 150, 433, 150, 454, 149, 411, 149, 426, 150, 433, 
305, 149, 423, 150, 432, 150, 452, 149, 410, 149, 424, 149, 431, 
310, 149, 422, 150, 430, 150, 452, 150, 409, 149, 421, 150, 428, 
315, 150, 421, 150, 430, 149, 450, 149, 407, 150, 420, 150, 428, 
320, 150, 419, 150, 428, 150, 449, 149, 405, 149, 417, 150, 425, 
325, 150, 418, 150, 427, 150, 448, 150, 404, 150, 416, 150, 425, 
330, 150, 417, 149, 427, 149, 446, 150, 403, 150, 414, 150, 422, 
