t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 409, 150, 396, 150, 406, 149, 407, 150, 403, 150, 403, 
10, 150, 411, 149, 401, 150, 410, 150, 411, 150, 408, 150, 407, 
15, 150, 413, 150, 402, 150, 412, 150, 413, 150, 410, 149, 410, 
20, 150, 414, 150, 402, 150, 414, 150, 414, 149, 412, 150, 411, 
25, 149, 412, 149, 403, 150, 414, 149, 415, 149, 412, 149, 411, 
30, 150, 412, 150, 404, 150, 414, 149, 416, 150, 414, 150, 411, 
35, 149, 414, 150, 404, 149, 413, 149, 417, 149, 414, 150, 411, 
40, 150, 414, 149, 404, 150, 413, 149, 417, 149, 414, 150, 411, 
45, 150, 411, 150, 401, 150, 411, 149, 416, 150, 412, 150, 409, 
50, 149, 411, 150, 400, 150, 409, 149, 415, 150, 410, 150, 407, 
55, 150, 410, 150, 399, 149, 407, 150, 414, 150, 410, 150, 406, 
60, 150, 408, 150, 399, 150, 407, 150, 413, 150, 409, 150, 406, 
65, 150, 408, 149, 399, 150, 407, 150, 412, 150, 408, 150, 408, 
70, 150, 408, 151, 402, 149, 407, 150, 410, 150, 407, 150, 408, 
75, 150, 408, 150, 399, 150, 406, 149, 409, 150, 408, 150, 407, 
80, 150, 408, 150, 399, 149, 405, 149, 408, 150, 407, 150, 407, 
85, 150, 406, 150, 398, 150, 405, 150, 407, 150, 406, 150, 407, 
90, 150, 406, 150, 398, 149, 404, 149, 407, 150, 404, 150, 406, 
95, 150, 406, 150, 397, 150, 404, 149, 407, 150, 406, 150, 406, 
100, 150, 406, 150, 397, 150, 403, 149, 407, 150, 403, 150, 405, 
105, 150, 405, 150, 396, 150, 403, 149, 407, 150, 404, 150, 405, 
110, 150, 403, 150, 395, 150, 403, 150, 407, 150, 404, 150, 405, 
115, 149, 403, 149, 395, 149, 402, 150, 407, 150, 403, 150, 403, 
120, 150, 404, 150, 395, 150, 402, 150, 407, 150, 403, 150, 403, 
125, 150, 402, 150, 395, 150, 401, 149, 407, 149, 404, 150, 403, 
130, 150, 403, 150, 396, 150, 400, 150, 406, 149, 404, 150, 403, 
135, 150, 402, 150, 395, 150, 400, 150, 406, 150, 404, 150, 404, 
140, 150, 401, 150, 395, 150, 400, 150, 406, 150, 404, 150, 404, 
145, 149, 402, 150, 396, 150, 401, 149, 406, 150, 405, 150, 403, 
150, 150, 401, 149, 393, 150, 400, 150, 406, 150, 405, 150, 403, 
155, 150, 402, 150, 397, 149, 401, 150, 406, 150, 405, 150, 403, 
160, 150, 402, 150, 396, 150, 400, 149, 406, 149, 405, 150, 402, 
165, 150, 402, 150, 396, 149, 400, 149, 406, 149, 405, 150, 402, 
170, 149, 402, 150, 396, 149, 402, 149, 405, 150, 404, 150, 403, 
175, 150, 401, 149, 395, 150, 401, 149, 406, 150, 404, 150, 403, 
180, 150, 401, 150, 395, 150, 401, 149, 405, 150, 404, 150, 402, 
185, 150, 401, 150, 396, 150, 401, 149, 405, 150, 404, 150, 403, 
190, 150, 400, 149, 396, 149, 400, 150, 404, 150, 402, 150, 402, 
195, 149, 397, 149, 396, 150, 402, 149, 404, 149, 404, 150, 402, 
200, 150, 400, 150, 395, 150, 401, 149, 403, 150, 403, 150, 402, 
205, 150, 399, 150, 396, 150, 402, 149, 403, 150, 402, 150, 401, 
210, 150, 399, 149, 395, 150, 402, 149, 402, 150, 400, 150, 401, 
215, 150, 400, 150, 395, 150, 401, 150, 402, 150, 399, 150, 401, 
220, 150, 398, 149, 395, 149, 402, 149, 400, 149, 399, 150, 400, 
225, 150, 398, 150, 394, 150, 402, 150, 400, 149, 398, 150, 400, 
230, 150, 398, 150, 394, 150, 401, 149, 399, 149, 396, 150, 400, 
235, 150, 397, 150, 394, 150, 402, 150, 398, 149, 395, 150, 400, 
240, 150, 397, 150, 394, 149, 401, 150, 397, 149, 394, 150, 399, 
245, 150, 396, 150, 393, 149, 399, 149, 396, 149, 392, 150, 397, 
250, 150, 397, 150, 393, 150, 402, 149, 395, 150, 392, 150, 397, 
255, 150, 397, 150, 393, 150, 401, 149, 393, 150, 389, 150, 396, 
260, 150, 397, 150, 391, 150, 402, 150, 392, 149, 387, 150, 394, 
265, 150, 396, 150, 391, 150, 400, 150, 391, 150, 386, 150, 395, 
270, 150, 396, 150, 390, 149, 399, 149, 390, 149, 384, 150, 393, 
275, 150, 396, 150, 389, 150, 400, 149, 389, 150, 382, 150, 393, 
280, 150, 396, 149, 388, 150, 400, 150, 388, 149, 380, 150, 391, 
285, 150, 396, 149, 388, 149, 398, 149, 386, 150, 379, 150, 390, 
290, 150, 395, 150, 387, 149, 398, 149, 386, 150, 378, 149, 389, 
295, 150, 395, 149, 387, 150, 397, 149, 382, 149, 375, 149, 387, 
300, 150, 395, 149, 386, 150, 397, 149, 381, 150, 374, 149, 387, 
305, 150, 395, 150, 384, 150, 396, 149, 379, 149, 372, 150, 387, 
310, 150, 393, 150, 383, 150, 396, 150, 380, 150, 371, 150, 385, 
315, 150, 393, 149, 383, 150, 395, 149, 376, 150, 368, 150, 384, 
320, 150, 393, 150, 382, 150, 394, 150, 376, 150, 367, 150, 382, 
325, 150, 392, 149, 381, 150, 394, 150, 375, 149, 366, 150, 382, 
330, 150, 392, 150, 380, 150, 393, 150, 374, 150, 364, 150, 380, 
