t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 482, 149, 470, 150, 478, 150, 479, 150, 484, 150, 485, 
10, 150, 485, 150, 473, 150, 483, 150, 484, 149, 490, 150, 491, 
15, 150, 486, 150, 475, 150, 487, 149, 487, 150, 495, 150, 494, 
20, 149, 486, 150, 476, 150, 486, 150, 489, 150, 497, 149, 496, 
25, 150, 487, 150, 477, 150, 489, 150, 491, 150, 497, 149, 499, 
30, 150, 486, 150, 478, 149, 489, 149, 492, 149, 499, 149, 499, 
35, 150, 486, 150, 478, 150, 490, 149, 492, 150, 500, 150, 499, 
40, 149, 481, 150, 473, 150, 485, 149, 488, 150, 495, 149, 495, 
45, 150, 480, 150, 472, 150, 484, 149, 487, 149, 495, 150, 495, 
50, 150, 474, 150, 468, 149, 478, 149, 482, 149, 491, 150, 491, 
55, 149, 473, 150, 467, 150, 481, 150, 482, 149, 490, 149, 491, 
60, 149, 474, 149, 467, 149, 479, 150, 482, 149, 488, 150, 491, 
65, 150, 475, 149, 466, 150, 478, 150, 481, 149, 488, 149, 491, 
70, 150, 474, 150, 466, 150, 478, 150, 480, 149, 487, 150, 491, 
75, 150, 473, 150, 465, 150, 477, 150, 479, 149, 488, 149, 491, 
80, 150, 473, 149, 465, 149, 475, 150, 479, 150, 487, 150, 491, 
85, 149, 472, 150, 465, 150, 474, 149, 479, 150, 485, 150, 490, 
90, 150, 472, 150, 464, 150, 473, 150, 479, 149, 484, 149, 489, 
95, 150, 472, 150, 464, 149, 473, 150, 478, 149, 484, 149, 489, 
100, 149, 470, 150, 463, 150, 472, 149, 478, 150, 484, 150, 488, 
105, 150, 471, 149, 462, 150, 471, 149, 478, 150, 485, 150, 488, 
110, 150, 471, 150, 461, 150, 470, 149, 476, 150, 484, 150, 488, 
115, 150, 471, 150, 461, 150, 472, 150, 476, 150, 484, 149, 487, 
120, 150, 471, 149, 459, 150, 469, 149, 475, 149, 483, 149, 487, 
125, 150, 470, 150, 459, 150, 470, 149, 475, 150, 484, 149, 486, 
130, 149, 469, 150, 459, 149, 470, 150, 474, 149, 482, 149, 486, 
135, 150, 469, 150, 459, 149, 468, 150, 474, 149, 482, 150, 486, 
140, 150, 468, 150, 458, 150, 470, 149, 474, 150, 483, 150, 486, 
145, 150, 467, 150, 457, 150, 469, 149, 473, 149, 482, 150, 485, 
150, 150, 467, 150, 458, 149, 469, 150, 473, 149, 482, 150, 485, 
155, 150, 465, 150, 458, 150, 469, 149, 473, 150, 483, 150, 485, 
160, 150, 465, 150, 458, 150, 470, 150, 473, 149, 482, 150, 485, 
165, 150, 464, 150, 458, 150, 469, 149, 472, 150, 482, 150, 485, 
170, 150, 463, 150, 460, 149, 467, 150, 472, 150, 481, 150, 484, 
175, 149, 462, 149, 457, 150, 469, 150, 471, 149, 481, 149, 484, 
180, 150, 461, 149, 458, 149, 467, 149, 470, 149, 480, 150, 483, 
185, 150, 459, 150, 459, 149, 469, 150, 471, 150, 479, 150, 483, 
190, 150, 459, 149, 460, 150, 471, 149, 469, 150, 478, 150, 482, 
195, 149, 458, 150, 460, 150, 470, 150, 469, 150, 479, 149, 480, 
200, 150, 457, 150, 460, 149, 470, 150, 468, 150, 476, 149, 481, 
205, 150, 456, 150, 460, 150, 470, 149, 466, 149, 477, 150, 480, 
210, 150, 455, 150, 460, 149, 470, 149, 465, 150, 476, 150, 479, 
215, 150, 454, 150, 461, 150, 470, 149, 464, 150, 475, 150, 477, 
220, 150, 453, 150, 460, 150, 471, 150, 463, 149, 474, 150, 476, 
225, 150, 453, 150, 459, 150, 470, 150, 462, 150, 473, 149, 475, 
230, 150, 452, 150, 459, 149, 469, 149, 460, 150, 471, 150, 475, 
235, 150, 451, 150, 459, 150, 471, 149, 459, 150, 471, 150, 473, 
240, 150, 451, 150, 459, 150, 469, 150, 457, 150, 470, 150, 472, 
245, 150, 451, 150, 459, 149, 469, 150, 455, 150, 467, 150, 471, 
250, 150, 450, 150, 458, 149, 468, 150, 454, 150, 466, 150, 470, 
255, 150, 449, 150, 458, 150, 468, 149, 451, 150, 465, 150, 469, 
260, 150, 449, 150, 458, 150, 468, 150, 450, 150, 463, 150, 467, 
265, 150, 449, 150, 458, 150, 467, 149, 448, 150, 461, 150, 466, 
270, 150, 448, 150, 457, 150, 468, 150, 447, 150, 461, 150, 465, 
275, 150, 448, 150, 457, 150, 467, 149, 444, 150, 458, 150, 463, 
280, 149, 447, 149, 457, 150, 466, 150, 444, 149, 455, 150, 461, 
285, 150, 447, 150, 456, 149, 467, 149, 441, 149, 453, 149, 459, 
290, 149, 447, 150, 456, 150, 465, 149, 439, 150, 452, 150, 458, 
295, 149, 445, 150, 457, 150, 465, 149, 437, 150, 450, 149, 455, 
300, 150, 445, 150, 455, 150, 464, 149, 435, 150, 448, 150, 455, 
305, 150, 447, 150, 455, 150, 463, 149, 434, 150, 445, 149, 453, 
310, 150, 446, 150, 455, 149, 462, 150, 431, 150, 444, 150, 451, 
315, 150, 447, 150, 454, 150, 461, 149, 431, 150, 440, 150, 450, 
320, 149, 446, 150, 454, 150, 461, 149, 428, 150, 437, 150, 448, 
325, 149, 446, 150, 453, 149, 459, 149, 427, 150, 435, 150, 447, 
330, 150, 446, 150, 453, 150, 459, 149, 425, 150, 432, 150, 446, 
