t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 497, 150, 481, 150, 490, 149, 503, 149, 510, 149, 508, 
10, 148, 501, 150, 488, 150, 497, 149, 509, 149, 516, 150, 514, 
15, 150, 508, 150, 491, 150, 498, 149, 512, 149, 519, 149, 516, 
20, 150, 510, 150, 492, 150, 501, 149, 514, 150, 522, 150, 517, 
25, 150, 511, 150, 493, 150, 503, 150, 515, 150, 521, 149, 518, 
30, 150, 513, 150, 494, 150, 504, 149, 516, 149, 524, 150, 518, 
35, 149, 512, 150, 495, 149, 503, 150, 517, 150, 523, 149, 518, 
40, 150, 507, 150, 489, 150, 497, 150, 511, 150, 516, 150, 513, 
45, 150, 505, 150, 489, 150, 499, 150, 511, 149, 518, 149, 513, 
50, 150, 504, 150, 489, 150, 497, 149, 510, 149, 513, 150, 513, 
55, 150, 500, 150, 486, 150, 494, 149, 506, 150, 513, 149, 508, 
60, 150, 500, 150, 486, 149, 494, 149, 506, 150, 514, 150, 509, 
65, 150, 499, 150, 487, 150, 495, 150, 505, 150, 512, 150, 509, 
70, 149, 498, 150, 486, 150, 493, 149, 503, 150, 512, 150, 509, 
75, 150, 499, 150, 486, 150, 492, 149, 502, 149, 509, 150, 506, 
80, 150, 497, 150, 486, 150, 492, 149, 501, 149, 510, 150, 508, 
85, 150, 498, 150, 485, 150, 492, 150, 502, 149, 511, 150, 507, 
90, 150, 498, 149, 484, 150, 491, 149, 501, 150, 510, 150, 506, 
95, 150, 497, 150, 485, 149, 490, 150, 501, 149, 507, 150, 505, 
100, 150, 498, 150, 484, 150, 491, 150, 501, 149, 509, 149, 504, 
105, 150, 498, 149, 481, 150, 491, 149, 500, 150, 508, 150, 504, 
110, 149, 496, 150, 481, 150, 488, 149, 499, 149, 505, 150, 502, 
115, 150, 496, 150, 482, 150, 489, 150, 498, 150, 503, 149, 502, 
120, 150, 493, 150, 481, 150, 486, 149, 497, 149, 503, 150, 500, 
125, 150, 492, 150, 479, 150, 486, 150, 496, 150, 502, 150, 501, 
130, 150, 491, 150, 480, 149, 485, 149, 495, 149, 503, 149, 499, 
135, 150, 489, 150, 478, 150, 484, 149, 494, 150, 503, 150, 498, 
140, 150, 487, 150, 476, 150, 481, 149, 493, 149, 500, 150, 497, 
145, 150, 486, 150, 477, 150, 482, 149, 491, 149, 497, 150, 498, 
150, 150, 483, 150, 475, 150, 479, 149, 491, 149, 498, 150, 497, 
155, 149, 480, 150, 474, 150, 478, 149, 490, 149, 497, 150, 497, 
160, 150, 479, 150, 475, 150, 477, 149, 488, 150, 493, 150, 496, 
165, 150, 477, 150, 474, 149, 475, 150, 487, 149, 494, 149, 494, 
170, 150, 475, 150, 473, 149, 470, 149, 485, 150, 491, 150, 495, 
175, 150, 475, 150, 472, 149, 471, 149, 484, 149, 488, 150, 494, 
180, 150, 471, 150, 471, 150, 468, 150, 482, 150, 487, 150, 493, 
185, 150, 470, 150, 471, 150, 468, 149, 481, 150, 485, 149, 493, 
190, 149, 468, 150, 469, 148, 460, 149, 480, 150, 487, 150, 493, 
195, 150, 466, 150, 468, 150, 464, 150, 478, 149, 482, 150, 489, 
200, 150, 464, 151, 472, 150, 462, 150, 476, 149, 482, 149, 489, 
205, 150, 462, 150, 467, 150, 460, 150, 475, 149, 482, 150, 488, 
210, 150, 460, 149, 465, 150, 458, 150, 473, 150, 475, 150, 489, 
215, 150, 458, 150, 465, 150, 453, 150, 471, 150, 475, 149, 486, 
220, 150, 457, 149, 464, 150, 452, 149, 469, 150, 477, 150, 484, 
225, 150, 455, 150, 462, 149, 452, 149, 467, 150, 475, 150, 484, 
230, 150, 453, 150, 461, 150, 449, 150, 465, 149, 472, 150, 482, 
235, 150, 452, 150, 460, 150, 450, 150, 463, 150, 469, 150, 482, 
240, 150, 449, 150, 458, 150, 446, 150, 462, 150, 466, 149, 479, 
245, 150, 448, 150, 458, 150, 445, 150, 461, 149, 465, 150, 479, 
250, 150, 446, 150, 455, 150, 443, 150, 460, 150, 465, 150, 477, 
255, 150, 444, 150, 453, 150, 443, 150, 458, 149, 464, 150, 474, 
260, 150, 443, 150, 452, 150, 441, 149, 457, 149, 463, 150, 473, 
265, 150, 441, 150, 449, 150, 437, 150, 456, 150, 462, 150, 472, 
270, 150, 439, 149, 447, 150, 439, 149, 454, 149, 453, 150, 471, 
275, 150, 437, 150, 447, 150, 436, 150, 453, 150, 450, 150, 470, 
280, 150, 436, 150, 444, 150, 435, 149, 452, 150, 450, 150, 468, 
285, 149, 434, 150, 444, 149, 435, 149, 451, 150, 449, 150, 464, 
290, 150, 433, 150, 440, 150, 432, 150, 450, 149, 451, 150, 461, 
295, 150, 431, 150, 439, 150, 430, 149, 449, 149, 447, 150, 461, 
300, 149, 430, 150, 438, 150, 431, 150, 448, 149, 443, 150, 459, 
305, 149, 428, 150, 436, 150, 427, 149, 447, 150, 444, 150, 457, 
310, 150, 427, 150, 434, 150, 426, 150, 445, 149, 437, 150, 454, 
315, 150, 426, 150, 433, 150, 426, 149, 445, 150, 435, 150, 453, 
320, 150, 425, 150, 430, 150, 426, 150, 443, 149, 435, 150, 449, 
325, 150, 424, 150, 429, 150, 423, 150, 441, 149, 437, 149, 447, 
330, 149, 422, 149, 427, 150, 422, 150, 440, 150, 432, 150, 447, 
