t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 523, 150, 521, 150, 523, 149, 530, 150, 535, 150, 526, 
10, 150, 533, 150, 530, 150, 532, 150, 540, 149, 546, 150, 537, 
15, 150, 539, 150, 537, 150, 540, 150, 546, 149, 554, 150, 543, 
20, 150, 542, 150, 542, 150, 544, 149, 552, 150, 559, 150, 551, 
25, 149, 545, 150, 546, 150, 549, 149, 556, 150, 564, 150, 552, 
30, 150, 547, 150, 549, 150, 550, 150, 557, 150, 567, 150, 555, 
35, 150, 536, 149, 541, 150, 545, 150, 555, 150, 564, 150, 552, 
40, 149, 537, 150, 542, 149, 545, 150, 553, 150, 563, 150, 552, 
45, 150, 535, 150, 542, 150, 543, 149, 554, 149, 563, 150, 551, 
50, 150, 537, 150, 543, 149, 543, 150, 554, 150, 563, 150, 553, 
55, 150, 538, 149, 543, 150, 542, 149, 554, 150, 563, 150, 552, 
60, 150, 534, 150, 540, 150, 542, 149, 553, 150, 564, 150, 553, 
65, 150, 533, 150, 538, 150, 541, 150, 553, 150, 564, 150, 554, 
70, 150, 532, 150, 537, 150, 542, 150, 553, 149, 564, 150, 554, 
75, 150, 531, 149, 535, 149, 540, 149, 552, 150, 564, 150, 555, 
80, 150, 530, 150, 538, 150, 541, 150, 554, 150, 563, 150, 555, 
85, 150, 529, 150, 538, 150, 541, 150, 553, 149, 563, 150, 555, 
90, 150, 528, 150, 538, 149, 541, 149, 553, 150, 562, 150, 554, 
95, 150, 528, 149, 536, 150, 540, 149, 553, 150, 563, 150, 554, 
100, 150, 527, 150, 536, 149, 539, 150, 552, 150, 562, 150, 553, 
105, 149, 526, 150, 536, 150, 538, 150, 551, 150, 561, 149, 552, 
110, 150, 526, 150, 535, 150, 538, 150, 549, 150, 561, 150, 550, 
115, 150, 526, 149, 534, 150, 538, 150, 547, 149, 560, 150, 550, 
120, 150, 526, 150, 536, 150, 538, 150, 545, 150, 559, 150, 549, 
125, 150, 526, 150, 535, 149, 538, 149, 542, 149, 559, 150, 549, 
130, 150, 525, 150, 535, 150, 538, 150, 540, 150, 557, 150, 549, 
135, 150, 525, 150, 536, 150, 537, 149, 538, 150, 556, 149, 547, 
140, 150, 524, 150, 535, 150, 536, 149, 536, 150, 556, 150, 548, 
145, 150, 523, 150, 536, 150, 536, 150, 534, 150, 554, 150, 548, 
150, 150, 522, 150, 537, 149, 536, 149, 532, 150, 554, 150, 547, 
155, 150, 522, 149, 537, 150, 536, 149, 531, 149, 552, 150, 546, 
160, 150, 521, 149, 533, 150, 538, 149, 529, 149, 549, 150, 546, 
165, 150, 521, 150, 537, 150, 535, 149, 528, 150, 549, 150, 546, 
170, 150, 520, 150, 538, 150, 535, 149, 525, 149, 548, 150, 545, 
175, 150, 519, 150, 537, 150, 536, 149, 523, 149, 546, 150, 544, 
180, 150, 519, 150, 536, 150, 535, 149, 521, 150, 544, 150, 544, 
185, 150, 518, 150, 535, 150, 534, 149, 519, 149, 543, 149, 542, 
190, 150, 517, 149, 534, 150, 534, 149, 518, 150, 541, 150, 542, 
195, 150, 516, 150, 534, 149, 532, 150, 516, 149, 539, 150, 541, 
200, 150, 515, 150, 533, 150, 533, 150, 515, 150, 536, 149, 541, 
205, 150, 514, 150, 533, 150, 531, 149, 515, 150, 534, 150, 540, 
210, 150, 513, 149, 531, 149, 531, 149, 514, 150, 532, 150, 538, 
215, 150, 513, 149, 532, 150, 528, 149, 512, 150, 529, 150, 537, 
220, 149, 512, 150, 531, 149, 528, 150, 512, 150, 526, 150, 537, 
225, 150, 512, 150, 530, 150, 527, 150, 512, 150, 525, 150, 537, 
230, 150, 511, 150, 529, 150, 525, 150, 511, 150, 520, 149, 535, 
235, 150, 510, 150, 529, 149, 523, 149, 510, 150, 517, 149, 535, 
240, 150, 510, 150, 528, 149, 524, 150, 509, 149, 515, 150, 533, 
245, 150, 509, 149, 526, 149, 522, 149, 508, 150, 513, 150, 532, 
250, 150, 509, 150, 526, 150, 521, 149, 507, 149, 508, 150, 532, 
255, 150, 508, 150, 525, 150, 520, 149, 507, 150, 509, 149, 532, 
260, 150, 507, 150, 524, 149, 517, 149, 506, 150, 504, 149, 531, 
265, 149, 507, 150, 522, 150, 516, 149, 505, 150, 500, 150, 529, 
270, 150, 505, 150, 522, 150, 515, 150, 504, 150, 497, 150, 527, 
275, 150, 505, 150, 520, 150, 515, 149, 503, 150, 495, 150, 526, 
280, 150, 504, 150, 519, 151, 518, 149, 502, 149, 492, 150, 525, 
285, 149, 503, 150, 518, 150, 511, 149, 501, 149, 490, 150, 523, 
290, 149, 501, 151, 521, 150, 511, 150, 499, 149, 487, 149, 520, 
295, 150, 500, 150, 516, 150, 508, 149, 498, 149, 483, 150, 519, 
300, 150, 499, 150, 515, 150, 507, 150, 497, 149, 481, 150, 517, 
305, 150, 498, 150, 514, 150, 505, 150, 496, 150, 479, 150, 515, 
310, 150, 496, 149, 512, 150, 503, 149, 495, 149, 475, 150, 514, 
315, 150, 494, 150, 512, 149, 500, 150, 494, 149, 472, 150, 512, 
320, 150, 493, 150, 509, 150, 499, 150, 493, 149, 470, 150, 510, 
325, 150, 492, 149, 508, 149, 495, 149, 491, 150, 470, 150, 508, 
330, 150, 491, 150, 507, 150, 495, 149, 490, 149, 465, 150, 506, 
