t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 454, 150, 449, 150, 453, 149, 460, 149, 457, 150, 451, 
10, 150, 456, 150, 453, 150, 454, 149, 465, 150, 461, 149, 455, 
15, 150, 458, 150, 453, 150, 458, 150, 466, 150, 464, 150, 458, 
20, 150, 459, 150, 454, 150, 462, 149, 468, 149, 465, 150, 458, 
25, 150, 459, 150, 455, 150, 460, 150, 469, 150, 465, 149, 460, 
30, 150, 460, 149, 455, 150, 461, 150, 471, 150, 467, 150, 460, 
35, 150, 460, 150, 456, 150, 460, 149, 472, 150, 468, 150, 460, 
40, 149, 460, 151, 460, 150, 460, 150, 472, 149, 468, 150, 460, 
45, 150, 460, 150, 456, 149, 461, 149, 471, 149, 468, 149, 462, 
50, 150, 459, 150, 455, 150, 460, 149, 468, 150, 468, 150, 461, 
55, 149, 458, 150, 454, 149, 460, 149, 467, 149, 469, 150, 462, 
60, 150, 457, 150, 454, 149, 460, 150, 467, 150, 469, 150, 460, 
65, 150, 457, 149, 454, 150, 459, 150, 467, 150, 468, 150, 460, 
70, 149, 457, 150, 454, 150, 459, 150, 469, 149, 467, 150, 461, 
75, 150, 457, 150, 455, 150, 461, 150, 473, 149, 467, 149, 460, 
80, 150, 459, 150, 456, 150, 466, 150, 478, 149, 467, 149, 462, 
85, 150, 461, 150, 458, 150, 470, 150, 484, 150, 466, 150, 463, 
90, 150, 462, 150, 461, 149, 475, 150, 491, 150, 466, 150, 465, 
95, 150, 465, 150, 464, 150, 481, 149, 499, 149, 467, 150, 465, 
100, 150, 468, 150, 469, 149, 486, 150, 506, 149, 468, 150, 470, 
105, 150, 471, 150, 471, 150, 491, 150, 510, 150, 469, 150, 472, 
110, 150, 472, 150, 454, 150, 480, 150, 499, 150, 469, 149, 472, 
115, 150, 471, 150, 446, 150, 476, 150, 495, 149, 469, 150, 472, 
120, 150, 466, 150, 441, 150, 473, 150, 490, 150, 467, 150, 470, 
125, 150, 442, 150, 434, 150, 450, 149, 461, 150, 456, 149, 451, 
130, 150, 431, 150, 429, 149, 439, 150, 447, 150, 448, 150, 441, 
135, 150, 427, 148, 421, 150, 436, 149, 440, 150, 444, 150, 435, 
140, 150, 426, 150, 423, 149, 433, 149, 437, 150, 441, 150, 433, 
145, 149, 423, 150, 421, 150, 430, 150, 437, 150, 438, 149, 433, 
150, 150, 424, 150, 420, 150, 431, 150, 434, 150, 435, 150, 433, 
155, 150, 423, 150, 419, 150, 429, 149, 432, 150, 434, 150, 432, 
160, 150, 421, 150, 419, 150, 428, 150, 431, 150, 433, 150, 429, 
165, 150, 421, 150, 418, 150, 427, 150, 430, 149, 432, 150, 428, 
170, 150, 421, 150, 417, 150, 428, 149, 429, 150, 431, 150, 427, 
175, 150, 420, 150, 418, 150, 427, 150, 428, 150, 430, 150, 426, 
180, 150, 420, 150, 418, 149, 428, 149, 427, 149, 428, 150, 425, 
185, 150, 420, 150, 418, 149, 426, 150, 428, 150, 427, 150, 426, 
190, 150, 420, 150, 418, 150, 428, 149, 427, 149, 426, 150, 425, 
195, 150, 420, 150, 417, 150, 427, 149, 427, 149, 424, 150, 426, 
200, 150, 421, 150, 417, 150, 428, 149, 426, 150, 423, 150, 424, 
205, 150, 421, 150, 417, 149, 425, 149, 426, 150, 423, 150, 425, 
210, 150, 420, 150, 418, 150, 427, 149, 426, 149, 421, 150, 426, 
215, 150, 421, 150, 417, 150, 426, 149, 425, 150, 420, 150, 425, 
220, 150, 420, 150, 416, 150, 425, 149, 426, 150, 419, 149, 421, 
225, 150, 419, 150, 417, 150, 426, 149, 425, 150, 418, 150, 421, 
230, 150, 419, 149, 416, 150, 428, 149, 424, 149, 417, 150, 423, 
235, 150, 419, 150, 416, 149, 424, 150, 424, 150, 417, 150, 421, 
240, 149, 419, 150, 417, 149, 427, 149, 424, 150, 416, 150, 421, 
245, 150, 418, 150, 416, 150, 425, 150, 424, 149, 415, 150, 420, 
250, 150, 418, 150, 416, 150, 426, 149, 422, 149, 414, 149, 422, 
255, 150, 418, 150, 416, 150, 425, 149, 423, 149, 413, 150, 422, 
260, 150, 418, 150, 416, 150, 425, 150, 421, 149, 412, 150, 420, 
265, 150, 417, 150, 416, 150, 427, 149, 421, 149, 412, 150, 419, 
270, 150, 417, 150, 415, 150, 425, 149, 419, 149, 411, 149, 420, 
275, 149, 417, 150, 415, 150, 426, 150, 419, 150, 411, 150, 420, 
280, 149, 417, 150, 415, 150, 424, 150, 418, 150, 410, 150, 419, 
285, 150, 417, 150, 415, 150, 425, 150, 417, 150, 410, 150, 419, 
290, 150, 416, 150, 415, 150, 424, 150, 416, 150, 408, 150, 419, 
295, 150, 416, 150, 414, 150, 425, 149, 415, 150, 408, 150, 420, 
300, 150, 415, 150, 416, 150, 424, 150, 415, 150, 408, 150, 418, 
305, 150, 415, 150, 414, 150, 422, 150, 413, 149, 406, 150, 418, 
310, 150, 414, 150, 415, 149, 421, 150, 413, 150, 406, 149, 417, 
315, 150, 415, 150, 415, 150, 421, 149, 412, 150, 406, 149, 416, 
320, 150, 414, 150, 414, 150, 422, 149, 411, 149, 404, 150, 416, 
325, 150, 413, 150, 414, 150, 419, 149, 410, 150, 404, 150, 415, 
330, 149, 413, 150, 414, 150, 421, 150, 409, 150, 403, 150, 414, 
