t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 148, 413, 150, 417, 150, 431, 149, 429, 149, 425, 149, 423, 
10, 150, 420, 150, 420, 150, 433, 150, 433, 150, 429, 150, 425, 
15, 150, 421, 150, 422, 150, 435, 150, 435, 150, 430, 150, 427, 
20, 150, 423, 150, 423, 150, 438, 149, 437, 150, 431, 150, 429, 
25, 150, 423, 150, 425, 149, 436, 149, 437, 149, 432, 150, 430, 
30, 150, 423, 150, 424, 149, 437, 149, 437, 149, 433, 150, 431, 
35, 150, 423, 150, 424, 149, 438, 150, 439, 149, 433, 150, 432, 
40, 150, 423, 149, 426, 150, 441, 150, 441, 150, 437, 150, 433, 
45, 150, 426, 150, 427, 149, 444, 150, 443, 150, 438, 150, 435, 
50, 150, 425, 150, 427, 150, 445, 150, 444, 149, 438, 149, 437, 
55, 150, 426, 150, 427, 149, 446, 150, 445, 149, 439, 149, 439, 
60, 150, 428, 150, 431, 150, 450, 149, 447, 149, 443, 150, 442, 
65, 150, 429, 150, 432, 150, 453, 150, 447, 150, 447, 150, 443, 
70, 149, 429, 150, 432, 149, 452, 149, 446, 149, 446, 150, 444, 
75, 150, 428, 150, 433, 150, 453, 150, 446, 150, 447, 150, 444, 
80, 150, 429, 150, 433, 150, 452, 150, 445, 150, 447, 150, 443, 
85, 150, 429, 150, 433, 149, 452, 149, 445, 149, 447, 150, 443, 
90, 150, 428, 150, 432, 150, 452, 150, 445, 149, 447, 150, 442, 
95, 150, 427, 150, 432, 150, 452, 149, 444, 150, 446, 150, 442, 
100, 150, 427, 150, 431, 150, 450, 149, 444, 149, 445, 150, 441, 
105, 150, 427, 150, 430, 150, 450, 149, 443, 150, 445, 149, 441, 
110, 150, 426, 150, 429, 150, 449, 150, 443, 150, 443, 150, 440, 
115, 150, 427, 150, 428, 150, 448, 149, 442, 150, 442, 150, 441, 
120, 150, 426, 150, 428, 150, 448, 149, 442, 150, 442, 150, 439, 
125, 150, 426, 149, 426, 150, 449, 150, 442, 150, 440, 150, 441, 
130, 150, 426, 150, 426, 150, 447, 149, 441, 150, 439, 149, 438, 
135, 150, 425, 150, 425, 150, 446, 150, 441, 149, 438, 150, 439, 
140, 150, 425, 150, 424, 150, 446, 149, 440, 150, 438, 150, 438, 
145, 150, 426, 149, 424, 150, 446, 149, 440, 150, 437, 150, 438, 
150, 150, 425, 149, 421, 150, 446, 149, 440, 150, 437, 150, 438, 
155, 149, 425, 150, 424, 150, 446, 149, 440, 150, 436, 150, 438, 
160, 150, 424, 150, 424, 150, 445, 150, 440, 150, 435, 149, 437, 
165, 150, 426, 150, 423, 150, 445, 149, 439, 150, 434, 150, 437, 
170, 150, 425, 150, 423, 149, 444, 150, 439, 149, 435, 150, 437, 
175, 150, 426, 150, 423, 150, 444, 150, 440, 150, 434, 149, 437, 
180, 150, 426, 150, 423, 150, 444, 150, 439, 149, 433, 149, 437, 
185, 150, 425, 150, 424, 150, 444, 150, 439, 150, 434, 150, 436, 
190, 150, 425, 150, 423, 150, 443, 150, 438, 150, 434, 150, 436, 
195, 150, 426, 150, 425, 150, 444, 150, 439, 149, 433, 150, 436, 
200, 150, 426, 150, 423, 150, 443, 150, 438, 150, 434, 150, 435, 
205, 149, 425, 150, 424, 150, 444, 150, 439, 150, 433, 150, 435, 
210, 150, 426, 150, 424, 150, 444, 150, 438, 150, 433, 150, 433, 
215, 150, 427, 150, 424, 150, 444, 150, 439, 150, 433, 149, 434, 
220, 150, 426, 150, 425, 150, 445, 150, 439, 149, 433, 149, 434, 
225, 149, 427, 150, 424, 150, 444, 150, 438, 150, 432, 149, 434, 
230, 150, 428, 150, 424, 150, 444, 149, 438, 149, 433, 150, 433, 
235, 149, 428, 150, 421, 150, 445, 150, 438, 149, 433, 150, 433, 
240, 150, 428, 150, 424, 150, 445, 150, 436, 149, 432, 149, 433, 
245, 149, 428, 150, 426, 150, 445, 149, 436, 150, 433, 149, 431, 
250, 150, 428, 150, 425, 150, 446, 150, 434, 149, 432, 150, 432, 
255, 150, 429, 150, 426, 150, 446, 150, 434, 149, 432, 150, 430, 
260, 150, 429, 150, 425, 150, 445, 150, 434, 150, 433, 150, 430, 
265, 150, 429, 150, 425, 150, 445, 150, 432, 149, 433, 150, 429, 
270, 150, 429, 150, 426, 149, 446, 149, 432, 150, 433, 150, 430, 
275, 150, 429, 150, 425, 150, 445, 150, 431, 150, 434, 150, 429, 
280, 150, 429, 150, 425, 150, 446, 149, 430, 150, 433, 149, 428, 
285, 150, 429, 150, 425, 150, 446, 150, 430, 150, 433, 150, 428, 
290, 149, 430, 150, 425, 150, 445, 149, 430, 149, 433, 150, 426, 
295, 150, 430, 150, 426, 149, 445, 150, 429, 150, 433, 150, 426, 
300, 150, 431, 150, 424, 150, 444, 150, 428, 149, 431, 150, 425, 
305, 150, 431, 150, 425, 150, 446, 150, 430, 149, 432, 150, 424, 
310, 149, 431, 150, 424, 150, 443, 150, 426, 149, 431, 150, 423, 
315, 150, 431, 149, 424, 150, 443, 150, 426, 149, 431, 150, 422, 
320, 149, 431, 150, 424, 149, 442, 149, 423, 149, 432, 150, 420, 
325, 150, 431, 150, 423, 149, 443, 150, 425, 150, 431, 150, 419, 
330, 150, 431, 150, 423, 150, 443, 150, 423, 150, 431, 149, 417, 
