t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 511, 149, 495, 150, 523, 150, 527, 149, 527, 149, 532, 
10, 150, 513, 150, 501, 150, 526, 149, 533, 150, 535, 150, 539, 
15, 150, 514, 150, 503, 149, 530, 149, 537, 149, 539, 150, 544, 
20, 150, 514, 150, 503, 149, 531, 149, 539, 150, 542, 150, 547, 
25, 149, 515, 150, 504, 150, 532, 149, 541, 150, 544, 150, 549, 
30, 150, 515, 149, 505, 150, 533, 149, 542, 149, 546, 150, 550, 
35, 150, 512, 150, 503, 150, 531, 149, 540, 150, 544, 150, 549, 
40, 150, 511, 150, 501, 150, 530, 150, 539, 150, 543, 150, 548, 
45, 150, 507, 150, 498, 150, 526, 150, 536, 150, 540, 149, 544, 
50, 150, 504, 150, 495, 150, 524, 149, 533, 149, 539, 150, 543, 
55, 150, 501, 150, 494, 150, 522, 149, 531, 149, 538, 150, 544, 
60, 150, 499, 149, 492, 150, 519, 150, 530, 150, 537, 150, 543, 
65, 150, 497, 150, 492, 150, 517, 149, 528, 149, 537, 150, 543, 
70, 150, 497, 150, 491, 149, 515, 150, 527, 150, 536, 150, 542, 
75, 150, 495, 150, 490, 150, 512, 149, 526, 149, 535, 150, 541, 
80, 150, 495, 150, 489, 150, 511, 149, 525, 149, 534, 150, 539, 
85, 150, 494, 150, 487, 150, 510, 149, 524, 150, 534, 149, 539, 
90, 149, 492, 150, 486, 150, 509, 149, 523, 149, 532, 150, 539, 
95, 150, 493, 150, 484, 150, 508, 149, 522, 149, 530, 149, 537, 
100, 149, 492, 149, 482, 150, 508, 150, 521, 149, 529, 150, 536, 
105, 149, 492, 150, 483, 150, 508, 150, 520, 150, 529, 150, 536, 
110, 150, 493, 150, 483, 150, 506, 149, 519, 149, 528, 150, 535, 
115, 150, 495, 150, 482, 150, 506, 149, 519, 150, 527, 150, 534, 
120, 150, 496, 150, 483, 150, 507, 150, 518, 150, 527, 150, 535, 
125, 150, 497, 150, 483, 150, 507, 150, 518, 149, 526, 150, 533, 
130, 150, 499, 150, 483, 150, 506, 149, 517, 150, 526, 150, 534, 
135, 149, 500, 150, 484, 150, 506, 150, 517, 150, 525, 150, 533, 
140, 150, 503, 150, 485, 149, 506, 150, 517, 150, 525, 150, 533, 
145, 149, 502, 149, 486, 150, 506, 149, 517, 150, 524, 150, 531, 
150, 150, 502, 150, 486, 150, 506, 150, 517, 150, 524, 149, 534, 
155, 150, 503, 150, 486, 150, 505, 150, 516, 150, 523, 149, 533, 
160, 150, 503, 150, 487, 150, 506, 150, 516, 149, 522, 150, 533, 
165, 150, 502, 150, 487, 150, 505, 150, 515, 150, 523, 150, 532, 
170, 150, 502, 150, 488, 150, 506, 149, 515, 150, 521, 150, 531, 
175, 150, 503, 150, 488, 150, 505, 149, 515, 149, 519, 150, 530, 
180, 150, 502, 149, 488, 150, 505, 149, 514, 150, 519, 150, 530, 
185, 150, 502, 150, 489, 150, 506, 149, 514, 150, 519, 149, 530, 
190, 150, 501, 150, 489, 150, 505, 150, 514, 150, 519, 150, 529, 
195, 150, 500, 150, 488, 150, 506, 150, 513, 149, 517, 150, 528, 
200, 150, 501, 150, 489, 150, 505, 150, 514, 150, 516, 150, 527, 
205, 150, 500, 150, 488, 150, 505, 149, 513, 149, 514, 150, 526, 
210, 150, 499, 150, 487, 149, 504, 149, 513, 150, 513, 149, 524, 
215, 150, 500, 150, 488, 150, 506, 149, 512, 149, 509, 150, 523, 
220, 150, 498, 150, 486, 150, 505, 150, 512, 149, 510, 150, 522, 
225, 150, 498, 149, 486, 149, 505, 149, 511, 150, 508, 149, 521, 
230, 150, 499, 150, 485, 150, 505, 149, 510, 150, 506, 150, 521, 
235, 150, 497, 149, 485, 150, 505, 149, 510, 149, 504, 150, 520, 
240, 150, 497, 150, 485, 150, 506, 150, 508, 150, 502, 149, 517, 
245, 150, 498, 150, 484, 149, 504, 150, 507, 150, 500, 149, 515, 
250, 150, 496, 150, 483, 150, 504, 149, 505, 150, 498, 150, 514, 
255, 150, 496, 150, 482, 150, 503, 150, 504, 150, 496, 150, 515, 
260, 150, 496, 149, 481, 150, 504, 149, 503, 149, 494, 150, 512, 
265, 150, 495, 150, 481, 150, 504, 150, 502, 150, 492, 150, 511, 
270, 150, 494, 150, 480, 150, 503, 149, 500, 150, 489, 150, 509, 
275, 150, 494, 150, 481, 150, 503, 150, 499, 150, 488, 149, 507, 
280, 150, 493, 150, 480, 150, 502, 150, 497, 150, 486, 150, 506, 
285, 150, 493, 149, 479, 150, 501, 149, 496, 150, 484, 150, 504, 
290, 150, 494, 149, 477, 150, 501, 149, 494, 149, 483, 149, 501, 
295, 150, 493, 150, 477, 151, 506, 150, 493, 149, 478, 150, 500, 
300, 150, 491, 150, 477, 149, 497, 149, 490, 149, 478, 150, 499, 
305, 149, 490, 149, 477, 149, 498, 150, 490, 150, 476, 149, 497, 
310, 149, 490, 150, 477, 150, 497, 150, 488, 149, 474, 150, 497, 
315, 150, 491, 150, 477, 150, 496, 150, 487, 150, 473, 150, 494, 
320, 150, 488, 149, 476, 150, 496, 149, 485, 150, 473, 150, 493, 
325, 150, 488, 150, 477, 149, 494, 149, 483, 150, 471, 150, 492, 
330, 150, 489, 149, 475, 150, 492, 150, 481, 149, 469, 150, 491, 
